Repository,Author,Closed,ClosedAt, CreatedAt, LastEditedAt, State, Title, UpdatedAt
openshift-workshop,kelpisland,false,,2016-02-05T19:30:28Z,,OPEN,"BC Gov - Deploy App",2016-02-05T19:30:28Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:29Z,,OPEN,"Deploy mongo for ESM app",2016-02-05T19:30:29Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:31Z,,OPEN,"Install Metrics Component",2016-02-05T19:30:31Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:32Z,,OPEN,"Secrets",2016-02-05T19:30:32Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:33Z,,OPEN,"Deploy OS Node on Azure and add to on-prem OS cluster.",2016-02-05T19:30:33Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:34Z,,OPEN,"Prep executive demo",2016-02-05T19:30:34Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:35Z,,OPEN,"Github Auth",2016-02-05T19:30:35Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:36Z,,OPEN,"Explore SDK/API integration with OS",2016-02-05T19:30:36Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:37Z,,OPEN,"POC Wrap-Up",2016-02-05T19:30:37Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:38Z,,OPEN,"Remove Alfredo's OS account",2016-02-05T19:30:38Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:40Z,,OPEN,"OSE Labs",2016-02-05T19:30:40Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:41Z,,OPEN,"Install wildcard cert for router-based SSL termination",2016-02-05T19:30:41Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:42Z,,OPEN,"Install certificate chain for wildcard certificate used on console.pathfinder.gov.bc.ca",2016-02-05T19:30:42Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:43Z,,OPEN,"Project, Pods, Container Quotas",2016-02-05T19:30:43Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:44Z,,OPEN,"Persistent Volume Claims",2016-02-05T19:30:44Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:45Z,,OPEN,"Persistent Volume Configuration",2016-02-05T19:30:45Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:46Z,,OPEN,"Jenkins Deployment Ephemeral",2016-02-05T19:30:46Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:48Z,,OPEN,"Install wildcard cert for web console",2016-02-05T19:30:48Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:49Z,,OPEN,"Modify os_default_subdomain too routes are auto-exposed at new-app time",2016-02-05T19:30:49Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:50Z,,OPEN,"Deploy apps based on source code",2016-02-05T19:30:50Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:51Z,,OPEN,"Multiple projects and apps",2016-02-05T19:30:51Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:52Z,,OPEN,"Install OSE 3.1",2016-02-05T19:30:52Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:53Z,,OPEN,"Change public URL for web console",2016-02-05T19:30:53Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:54Z,,OPEN,"Deploy apps based on docker images",2016-02-05T19:30:54Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:56Z,,OPEN,"Deploy apps based on docker files",2016-02-05T19:30:56Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:57Z,,OPEN,"POC Check List Email",2016-02-05T19:30:57Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:58Z,,OPEN,"POC Check List - Phone Review",2016-02-05T19:30:58Z
openshift-workshop,kelpisland,false,,2016-02-05T19:30:59Z,,OPEN,"POC Kick Off",2016-02-05T19:30:59Z
openshift-workshop,kelpisland,false,,2016-02-05T19:31:00Z,,OPEN,"OSE Deep Dive",2016-02-05T19:31:00Z
openshift-workshop,kelpisland,false,,2016-02-05T19:31:01Z,,OPEN,"Provide Road Map Trello Card URL",2016-02-05T19:31:01Z
openshift-components,agehlers,true,2018-03-20T21:28:38Z,2018-03-01T23:04:17Z,,CLOSED,"LICENSE File mising",2018-03-20T21:28:38Z
openshift-components,agehlers,true,2018-03-20T21:28:24Z,2018-03-01T23:04:19Z,,CLOSED,"README File mising",2018-03-20T21:28:24Z
openshift-components,agehlers,true,2019-07-12T18:16:40Z,2018-05-25T01:16:02Z,2018-05-25T01:17:39Z,CLOSED,"ZAP Image - Encode html report ",2019-07-12T18:16:40Z
openshift-components,cvarjao,true,2018-07-19T04:09:08Z,2018-07-04T20:35:11Z,2018-07-04T20:36:40Z,CLOSED,"Hardcoded secret name",2018-07-19T04:09:21Z
openshift-components,thorwolpert,true,2019-07-12T18:18:35Z,2018-11-19T22:08:48Z,,CLOSED,"Change Python version from 3.5 to 3.6",2019-07-12T18:18:35Z
openshift-components,patricksimonian,true,2019-01-15T17:17:47Z,2019-01-14T20:26:24Z,,CLOSED,"More descriptive repo description",2019-01-15T17:17:51Z
openshift-components,stewartshea,false,,2019-01-31T01:46:49Z,,OPEN,"Document IPv4 / IPv6 performance impact / config",2019-07-12T18:19:48Z
openshift-components,stewartshea,false,,2019-02-12T21:07:10Z,,OPEN,"document quota structure in wiki and how to find them ",2019-02-12T21:07:10Z
openshift-components,cvarjao,false,,2019-04-15T22:24:16Z,,OPEN,"Jenkins failing handling of pull request closing event",2019-07-12T18:46:28Z
openshift-components,stewartshea,true,2019-04-26T00:21:43Z,2019-04-25T17:49:27Z,,CLOSED,"Aporeto Design Pattern #1",2019-04-26T00:23:35Z
openshift-components,stewartshea,true,2019-04-26T00:21:50Z,2019-04-25T17:50:12Z,,CLOSED,"Aporeto Design Pattern #2",2019-04-26T00:22:52Z
openshift-components,stewartshea,true,2019-04-29T19:50:02Z,2019-04-26T00:22:20Z,,CLOSED,"Aporeto design pattern #1",2019-04-29T19:50:02Z
openshift-components,stewartshea,true,2019-04-29T19:51:12Z,2019-04-26T00:22:31Z,,CLOSED,"Aporeto design pattern 2",2019-04-29T19:51:12Z
openshift-components,patricksimonian,true,2020-11-21T20:47:31Z,2019-06-07T17:09:02Z,,CLOSED,"Jenkins Branch Source Plugin Upgrade 2.5.2 -> 2.5.3",2020-11-21T20:47:32Z
openshift-components,gil0109,false,,2020-04-22T15:44:26Z,,OPEN,"newman recently failing with jenkins-slave-python3nodejs",2020-04-22T15:44:26Z
openshift-components,cvarjao,true,2020-11-21T20:45:00Z,2020-05-07T22:04:23Z,2020-05-07T22:04:37Z,CLOSED,"Jenkins is overwriting symlinks directories",2020-11-21T20:45:00Z
openshift-components,cvarjao,true,2020-11-21T20:43:23Z,2020-08-19T18:47:52Z,2020-08-19T18:48:43Z,CLOSED,"Update Jenkins from 2.176.1 to 2.235.5",2020-11-21T20:43:24Z
openshift-components,cvarjao,false,,2020-11-26T22:14:23Z,,OPEN,"Fine tuning Jenkins",2020-11-26T22:14:23Z
issues-and-solutions,sheaphillips,true,2017-04-23T19:17:50Z,2016-03-03T21:01:37Z,,CLOSED,"How can we restrict visibility of OpenShift-hosted apps to internal (SPAN/Gov) users only?",2017-04-23T19:17:50Z
issues-and-solutions,watkinspd,true,2016-03-08T00:43:03Z,2016-03-07T21:43:08Z,,CLOSED,"Template for Docker strategy build using code sourced from git repo",2016-03-08T01:10:53Z
issues-and-solutions,sheaphillips,true,2019-04-12T16:17:03Z,2016-03-11T17:21:58Z,,CLOSED,"How to rapidly deploy sites protected by SiteMinder when authentication via iDIR and/or BCEID integration is required?",2019-04-12T16:17:04Z
issues-and-solutions,sheaphillips,false,,2016-03-11T17:26:20Z,,OPEN,"Can we provide an shared/common application analytics solution for government apps?",2016-03-15T01:07:09Z
issues-and-solutions,f-w,true,2016-11-16T23:05:21Z,2016-03-14T18:49:22Z,,CLOSED,"S2I build failed at waiting for container",2016-11-16T23:05:21Z
issues-and-solutions,f-w,true,2019-04-12T16:17:52Z,2016-03-15T16:30:18Z,,CLOSED,"pod creation stuck on pending state",2019-04-12T16:17:53Z
issues-and-solutions,sheaphillips,true,2019-04-12T16:15:32Z,2016-03-25T03:13:32Z,,CLOSED,"re-executing build sometimes doesn't pull latest code from github",2019-04-12T16:15:32Z
issues-and-solutions,sheaphillips,false,,2016-03-29T19:22:21Z,,OPEN,"how to do cleanup on docker storage?",2016-05-26T23:28:58Z
issues-and-solutions,sheaphillips,true,2016-03-30T21:52:41Z,2016-03-30T21:41:04Z,,CLOSED,"404's on files I have changed the case on?",2016-03-30T22:00:27Z
issues-and-solutions,f-w,true,2019-04-12T16:14:49Z,2016-04-04T18:39:00Z,,CLOSED,"Update to image stream doesn't trigger deployment",2019-04-12T16:14:50Z
issues-and-solutions,sheaphillips,true,2019-03-27T21:40:55Z,2016-04-13T21:28:49Z,,CLOSED,"Can we support client-initiated websocket connections using the current firewall configuration?",2019-03-27T21:40:55Z
issues-and-solutions,ckayfish,true,2019-04-12T16:07:30Z,2016-06-24T23:10:05Z,,CLOSED,"Access to non-Pathfinder, STMS hosted, databases",2019-04-15T23:07:14Z
issues-and-solutions,ckayfish,true,2019-04-12T16:20:30Z,2016-06-25T03:53:37Z,,CLOSED,"Port Redirects not binding to IPv4 Interface: s2i-aspnet-example failing + workaround",2019-04-12T16:20:30Z
issues-and-solutions,sheaphillips,false,,2016-06-25T14:15:34Z,,OPEN,"What do we need to do to WRT OpenShift routers or other infrastructure where existing reverse proxies are in place?",2019-04-12T16:25:45Z
issues-and-solutions,sheaphillips,true,2019-04-12T16:22:03Z,2016-06-27T18:59:13Z,,CLOSED,"How can we implement source IP restrictions in a framework-y way for OpenShift applications that only want to accept traffic from specific hosts (e.g. SiteMinder RP/LB)?",2019-04-12T16:22:03Z
issues-and-solutions,ll911,true,2019-04-12T16:13:23Z,2016-07-06T18:36:56Z,,CLOSED,"question about private image stream.",2019-04-12T16:13:23Z
issues-and-solutions,GregTurner,true,2017-08-14T22:05:17Z,2016-10-06T16:38:35Z,,CLOSED,"Unknown network latency/timeouts under medium loads",2017-08-14T22:05:18Z
issues-and-solutions,erichjna,true,2019-04-12T16:23:00Z,2016-12-15T15:55:12Z,,CLOSED,"Pods get killed and no events log to investigate",2019-04-12T16:23:06Z
illr,ll911,true,2016-06-02T17:19:37Z,2016-06-02T17:19:34Z,,CLOSED,"add geocodered data",2016-06-02T17:19:37Z
shiftbot,sheaphillips,false,,2016-11-01T21:22:39Z,,OPEN,"Ability to explore/inquire about BC gov GitHub repos from chat client ",2016-11-01T21:22:39Z
