"Repository","owner","name_with_owner","url","homepage_url","description","forks","is_fork","is_mirror","is_private","is_archived","is_template","stars","disk_usage","has_issues_enabled","has_projects_enabled","has_wiki_enabled","merge_commit_allowed","rebase_merge_allowed","squash_merge_allowed","created_at","updated_at","pushed_at"
openshift-workshop,BCDevOps,BCDevOps/openshift-workshop,https://github.com/BCDevOps/openshift-workshop,,Config files exported from the Feb. 2016  RedHat OpenShift workshop,0,false,false,false,false,false,0,11,true,true,true,true,true,true,2016-02-04 14:46:45,2016-02-04 14:46:45,2016-02-05 10:06:26
gigles,BCDevOps,BCDevOps/gigles,https://github.com/BCDevOps/gigles,,ping-pong,0,false,false,false,false,false,0,7,true,true,true,true,true,true,2016-02-04 21:01:56,2020-07-30 05:32:42,2019-11-01 06:18:55
templates,BCDevOps,BCDevOps/templates,https://github.com/BCDevOps/templates,,Custom OpenShift application templates,1,false,false,false,false,false,1,18,true,true,true,true,true,true,2016-02-19 13:29:33,2017-05-29 07:05:39,2016-03-15 15:34:14
openshift-components,BCDevOps,BCDevOps/openshift-components,https://github.com/BCDevOps/openshift-components,," A trove of apps/components/stuff/things that are usable by anyone running OpenShift - in particular BC Gov teams ""doing"" Agile/DevOps.",24,false,false,false,false,false,4,2033,true,true,true,true,true,true,2016-02-23 12:04:46,2021-01-15 09:23:24,2021-04-22 16:41:28
issues-and-solutions,BCDevOps,BCDevOps/issues-and-solutions,https://github.com/BCDevOps/issues-and-solutions,,,0,false,false,false,false,false,6,1668,true,true,true,true,true,true,2016-03-01 16:05:18,2020-09-21 05:48:43,2016-11-16 15:00:57
meta-guide-docker,BCDevOps,BCDevOps/meta-guide-docker,https://github.com/BCDevOps/meta-guide-docker,,,0,false,false,false,false,false,0,5,true,true,true,true,true,true,2016-03-03 12:20:50,2016-03-03 12:20:50,2016-03-10 12:12:00
openopps-platform,BCDevOps,BCDevOps/openopps-platform,https://github.com/BCDevOps/openopps-platform,https://pages.18f.gov/openopps-platform/,Open Opportunities open source platform,0,true,false,false,true,false,0,22854,false,true,true,true,true,true,2016-04-16 13:56:19,2019-02-11 13:53:27,2019-02-04 22:49:30
illr,BCDevOps,BCDevOps/illr,https://github.com/BCDevOps/illr,,liquor on the way home,4,false,false,false,false,false,0,251,true,true,true,true,true,true,2016-06-02 10:14:46,2016-06-02 10:25:35,2016-06-02 16:14:18
shiftbot,BCDevOps,BCDevOps/shiftbot,https://github.com/BCDevOps/shiftbot,,A hubot for automating useful things related to OpenShift.,0,false,false,false,false,false,0,16,true,true,true,true,true,true,2016-07-14 21:07:14,2016-07-14 21:13:23,2016-07-14 21:13:22
openshift-tools,BCDevOps,BCDevOps/openshift-tools,https://github.com/BCDevOps/openshift-tools,,,17,false,false,false,false,false,15,2628,true,true,true,true,true,true,2016-09-12 13:18:20,2020-10-09 11:00:57,2021-03-31 04:56:07
openshift-jee-sample,BCDevOps,BCDevOps/openshift-jee-sample,https://github.com/BCDevOps/openshift-jee-sample,,A sample app to be deployed on openshift environments,0,true,false,false,false,false,0,41,false,true,true,true,true,true,2016-09-29 15:40:05,2016-09-29 15:40:06,2016-08-02 13:17:51
jee-wildfly-test,BCDevOps,BCDevOps/jee-wildfly-test,https://github.com/BCDevOps/jee-wildfly-test,,Experiments with Wildfly,0,false,false,false,false,false,0,55223,true,true,true,true,true,true,2016-09-29 16:10:23,2016-10-05 13:34:02,2016-10-05 14:42:52
s2i-nginx,BCDevOps,BCDevOps/s2i-nginx,https://github.com/BCDevOps/s2i-nginx,,S2I source code for making a builder image for nginx on OpenShift,6,true,false,false,false,false,0,82,true,true,true,true,true,true,2016-09-30 10:03:00,2018-12-05 20:07:10,2020-05-15 11:54:54
