"Repository","owner","name_with_owner","url","homepage_url","description","forks","is_fork","is_mirror","is_private","is_archived","is_template","stars","disk_usage","has_issues_enabled","has_projects_enabled","has_wiki_enabled","merge_commit_allowed","rebase_merge_allowed","squash_merge_allowed","created_at","updated_at","pushed_at"
s2i-nginx-example,BCDevOps,BCDevOps/s2i-nginx-example,https://github.com/BCDevOps/s2i-nginx-example,,Example repo of what's needed for the s2i-nginx build image,3,false,false,false,false,false,0,16,true,true,true,true,true,true,2016-10-03 09:24:51,2016-11-16 10:33:07,2016-11-16 10:33:05
nodejs-ex,BCDevOps,BCDevOps/nodejs-ex,https://github.com/BCDevOps/nodejs-ex,,node.js example,0,true,false,false,false,false,0,128,false,true,false,true,true,true,2016-10-14 17:05:21,2016-10-14 17:11:58,2016-10-17 21:49:33
s2i-nginx-npm,BCDevOps,BCDevOps/s2i-nginx-npm,https://github.com/BCDevOps/s2i-nginx-npm,,Source to Image (S2I) for web apps that build via npm and hosted on nginx static file server,1,false,false,false,false,false,0,64,true,true,true,true,true,true,2016-10-24 11:29:41,2016-10-24 11:32:34,2016-10-26 20:47:06
tree-model-bower,BCDevOps,BCDevOps/tree-model-bower,https://github.com/BCDevOps/tree-model-bower,,Bower Package for Tree Model JS - https://github.com/joaonuno/tree-model-js,0,false,false,false,false,false,0,7,true,true,true,true,true,true,2016-12-08 16:56:32,2016-12-08 17:49:15,2016-12-08 17:49:14
BCDevOps-Guide,BCDevOps,BCDevOps/BCDevOps-Guide,https://github.com/BCDevOps/BCDevOps-Guide,,,7,false,false,false,true,false,7,22,true,true,true,true,true,true,2017-02-09 13:23:27,2019-04-23 09:57:43,2019-04-23 09:57:28
pathfinder-jenkins,BCDevOps,BCDevOps/pathfinder-jenkins,https://github.com/BCDevOps/pathfinder-jenkins,,,0,false,false,false,false,false,0,6,true,true,true,true,true,true,2017-03-21 16:49:28,2017-03-21 16:49:28,2017-09-13 10:03:13
sonar-pipeline,BCDevOps,BCDevOps/sonar-pipeline,https://github.com/BCDevOps/sonar-pipeline,,,3,true,false,false,false,false,1,189,false,true,true,true,true,true,2017-05-12 16:38:41,2019-06-03 05:46:07,2017-05-16 11:06:12
pathfinder,BCDevOps,BCDevOps/pathfinder,https://github.com/BCDevOps/pathfinder,,Start of a basic site for pathfinder.gov.bc.ca using the BCGov 2.0 Bootstrap theme,2,false,false,false,false,false,1,129070,true,true,true,true,true,true,2017-07-06 10:58:01,2019-04-18 12:02:55,2020-09-10 23:28:25
s2i-caddy,BCDevOps,BCDevOps/s2i-caddy,https://github.com/BCDevOps/s2i-caddy,,,10,false,false,false,false,false,0,23,true,true,true,true,true,true,2017-07-07 11:47:49,2020-04-17 17:22:07,2020-04-17 17:22:05
openshift-wiki,BCDevOps,BCDevOps/openshift-wiki,https://github.com/BCDevOps/openshift-wiki,https://pathfinder-faq-ocio-pathfinder-prod.pathfinder.gov.bc.ca/,Gitbook URL of WIKI,11,false,false,false,false,false,10,1129,true,true,true,true,true,true,2017-09-09 15:00:28,2021-04-01 09:04:48,2021-04-01 09:07:14
exo-community,BCDevOps,BCDevOps/exo-community,https://github.com/BCDevOps/exo-community,,,0,true,false,false,false,false,0,51,false,true,true,true,true,true,2017-10-18 15:21:09,2017-10-18 15:21:10,2018-01-30 15:32:52
opendev-template,BCDevOps,BCDevOps/opendev-template,https://github.com/BCDevOps/opendev-template,,BC Gov Open Development Repo Template,5,false,false,false,false,true,2,55,true,true,true,true,true,true,2017-10-20 12:57:54,2020-07-17 16:31:53,2019-11-05 13:33:24
jenkins,BCDevOps,BCDevOps/jenkins,https://github.com/BCDevOps/jenkins,,,1,true,false,false,true,false,0,3218,false,true,false,true,true,true,2017-10-26 14:10:43,2018-11-29 10:21:19,2017-10-26 15:43:50
examples,BCDevOps,BCDevOps/examples,https://github.com/BCDevOps/examples,,A set of simple conceptual examples using things like Ansible and OpenShift,0,true,false,false,false,false,0,205,false,true,true,true,true,true,2017-10-27 15:51:28,2017-10-27 15:51:30,2017-08-21 12:56:31
openshift-templates,BCDevOps,BCDevOps/openshift-templates,https://github.com/BCDevOps/openshift-templates,,A Repository of Reusable OpenShift Templates,0,true,false,false,false,false,1,43,false,true,true,true,true,true,2017-10-27 15:56:57,2020-08-26 07:09:52,2018-11-08 15:07:49
openshift-developer-tools,BCDevOps,BCDevOps/openshift-developer-tools,https://github.com/BCDevOps/openshift-developer-tools,,Tools for managing OpenShift projects.,38,false,false,false,false,false,12,546,true,true,true,true,true,true,2017-11-15 15:08:20,2021-04-04 21:06:45,2021-03-12 10:37:34
minio-openshift,BCDevOps,BCDevOps/minio-openshift,https://github.com/BCDevOps/minio-openshift,,Minio Object Storage Server,11,false,false,false,false,false,9,31,true,true,true,true,true,true,2017-11-21 11:17:40,2021-03-30 02:22:57,2019-11-19 14:55:45
BDDStack,BCDevOps,BCDevOps/BDDStack,https://github.com/BCDevOps/BDDStack,,"This is the Geb, Spock Test stack as deployed at BCGOV, it supports Chrome and Firefox headless testing, which can be used in OpenShift pipelines. ***Warning: Default Branch is Develop, please clone from Latest Release for use in your project, or develop if you want to contribute.",12,false,false,false,false,false,3,782,true,true,true,true,true,true,2017-11-29 17:07:26,2020-08-02 22:50:42,2020-01-16 13:58:47
owasp-zap-openshift,BCDevOps,BCDevOps/owasp-zap-openshift,https://github.com/BCDevOps/owasp-zap-openshift,,A Docker build for OWASP Zed Attack Proxy to be used in CI/CD pipelines,2,true,false,false,false,false,0,2239,false,true,true,true,true,true,2018-01-05 10:40:07,2018-01-05 10:40:08,2020-05-01 16:13:12
innovation-lab-projects,BCDevOps,BCDevOps/innovation-lab-projects,https://github.com/BCDevOps/innovation-lab-projects,,Innovation LAB Project Tracking,0,false,false,false,false,false,0,6,true,true,true,true,true,true,2018-01-12 16:12:09,2018-01-12 16:12:09,2018-01-29 19:52:44
sonarqube,BCDevOps,BCDevOps/sonarqube,https://github.com/BCDevOps/sonarqube,,An OpenShift-focused Docker build of Sonarqube,22,true,false,false,false,false,3,226,true,true,true,true,true,true,2018-01-17 14:43:47,2021-03-04 12:10:57,2021-03-04 12:10:53
OWASP-ZAP,BCDevOps,BCDevOps/OWASP-ZAP,https://github.com/BCDevOps/OWASP-ZAP,,OWASP ZAP OpenShift Config/Setup,0,false,false,false,false,false,0,6,true,true,true,true,true,true,2018-01-23 13:08:08,2018-01-23 13:08:08,2018-01-29 19:49:53
geb-mobile,BCDevOps,BCDevOps/geb-mobile,https://github.com/BCDevOps/geb-mobile,,"A geb navigator factory for mobile support for Appium, Selendroid and IosDriver",1,true,false,false,false,false,0,88791,false,true,true,true,true,true,2018-02-01 14:41:48,2018-02-01 14:41:49,2018-04-09 13:55:00
jenkins-pipeline-shared-lib,BCDevOps,BCDevOps/jenkins-pipeline-shared-lib,https://github.com/BCDevOps/jenkins-pipeline-shared-lib,,Extending Jenkins with a Shared Library,20,false,false,false,false,false,16,184,true,true,true,true,true,true,2018-02-02 11:19:56,2021-04-13 01:21:54,2021-04-22 17:27:50
rhsso-examples,BCDevOps,BCDevOps/rhsso-examples,https://github.com/BCDevOps/rhsso-examples,,,0,false,false,false,false,false,0,380,true,true,true,true,true,true,2018-06-06 14:09:37,2018-06-07 13:17:22,2019-04-14 18:43:33
pathfinder-static-web-pages,BCDevOps,BCDevOps/pathfinder-static-web-pages,https://github.com/BCDevOps/pathfinder-static-web-pages,,"REPO for bcgov static file store - css, etc ",0,false,false,false,false,false,0,9,true,true,true,true,true,true,2018-06-07 13:13:00,2018-06-07 13:51:54,2018-06-07 13:51:53
certbot,BCDevOps,BCDevOps/certbot,https://github.com/BCDevOps/certbot,,RHEL-based certbot image  + CronJob,5,false,false,false,false,false,3,36,true,true,true,true,true,true,2018-07-04 11:04:05,2021-03-25 14:55:33,2021-03-25 14:55:30
ocp-cd-pipeline,BCDevOps,BCDevOps/ocp-cd-pipeline,https://github.com/BCDevOps/ocp-cd-pipeline,,,6,false,false,false,false,false,4,49,true,true,true,true,true,true,2018-07-18 12:15:57,2019-09-23 11:55:25,2019-08-04 19:17:19
keycloak-admin,BCDevOps,BCDevOps/keycloak-admin,https://github.com/BCDevOps/keycloak-admin,,,2,false,false,false,false,false,7,475,true,true,true,true,true,true,2018-08-23 14:58:50,2021-04-23 09:37:44,2021-04-23 09:37:40
developer-platform,BCDevOps,BCDevOps/developer-platform,https://github.com/BCDevOps/developer-platform,,Sandbox for prototyping some automation approaches.,0,false,false,false,false,false,1,24,false,false,false,true,true,true,2018-08-28 13:57:18,2018-09-13 11:16:35,2018-09-13 11:16:32
open-component-stewardship,BCDevOps,BCDevOps/open-component-stewardship,https://github.com/BCDevOps/open-component-stewardship,,,0,false,false,false,false,false,0,6,true,true,true,true,true,true,2018-09-05 13:45:59,2018-09-05 13:50:25,2018-09-05 13:50:24
backup-container,BCDevOps,BCDevOps/backup-container,https://github.com/BCDevOps/backup-container,,A simple container for a simple backup strategy. ,37,false,false,false,false,false,16,489,true,true,true,true,true,true,2018-09-20 06:12:04,2021-03-17 11:06:28,2021-03-03 14:12:08
devops-platform-workshops,BCDevOps,BCDevOps/devops-platform-workshops,https://github.com/BCDevOps/devops-platform-workshops,,OCP Training Workshop Material and Labs,12,false,false,false,false,false,7,76001,true,true,true,true,true,true,2018-09-20 23:42:40,2021-04-15 11:47:39,2021-04-07 09:03:58
devops-platform-workshops-labs,BCDevOps,BCDevOps/devops-platform-workshops-labs,https://github.com/BCDevOps/devops-platform-workshops-labs,,,22,false,false,false,false,false,0,6861,true,true,true,true,true,true,2018-09-25 13:11:14,2019-05-27 05:43:13,2020-02-04 22:35:12
provision-nfs-apb,BCDevOps,BCDevOps/provision-nfs-apb,https://github.com/BCDevOps/provision-nfs-apb,,Provision NFS persistent volume and claim for use as a backup target,1,false,false,false,false,false,0,239,true,true,true,true,true,true,2018-09-25 14:49:54,2019-10-28 14:31:24,2019-10-28 14:31:27
platform-services,BCDevOps,BCDevOps/platform-services,https://github.com/BCDevOps/platform-services,,Collection of platform related tools and configurations,25,false,false,false,false,false,13,42814,true,true,true,true,true,true,2018-11-01 16:36:01,2021-04-22 11:33:22,2021-04-22 11:33:23
pipeline-cli,BCDevOps,BCDevOps/pipeline-cli,https://github.com/BCDevOps/pipeline-cli,,,8,false,false,false,false,false,2,454,true,true,true,true,true,true,2018-11-01 23:00:22,2021-04-04 21:06:42,2020-12-29 09:18:29
fathom-openshift,BCDevOps,BCDevOps/fathom-openshift,https://github.com/BCDevOps/fathom-openshift,,OpenShift ready deployment of Fathom Analytics,3,false,false,false,false,false,0,106,true,true,true,true,true,true,2019-02-04 15:05:32,2021-02-24 12:55:49,2021-02-24 12:55:46
StorageMigration,BCDevOps,BCDevOps/StorageMigration,https://github.com/BCDevOps/StorageMigration,,Legacy Gluster Migration Project,9,false,false,false,false,false,0,169,true,true,true,true,true,true,2019-02-07 09:29:53,2021-04-10 06:08:46,2021-04-10 06:08:43
matomo-openshift,BCDevOps,BCDevOps/matomo-openshift,https://github.com/BCDevOps/matomo-openshift,,OpenShift ready deployment of Matomo Analytics ,9,false,false,false,false,false,2,145,true,true,true,true,true,true,2019-02-08 17:43:30,2021-03-03 09:16:27,2021-03-03 11:40:06
go-crond,BCDevOps,BCDevOps/go-crond,https://github.com/BCDevOps/go-crond,,:alarm_clock: Cron daemon written in golang (for eg. usage in docker images),3,true,false,false,false,false,0,106,false,true,true,true,true,true,2019-02-28 07:40:24,2020-02-10 12:16:10,2020-02-10 12:18:56
bcdk,BCDevOps,BCDevOps/bcdk,https://github.com/BCDevOps/bcdk,,BC Developer Kit,15,false,false,false,false,false,6,506,true,true,true,true,true,true,2019-03-06 11:19:31,2021-03-24 09:11:03,2021-03-30 15:50:19
developer-engagement,BCDevOps,BCDevOps/developer-engagement,https://github.com/BCDevOps/developer-engagement,,"Materials related to developer community engagement, surveys, feedback, etc.",0,false,false,false,false,false,1,2,true,true,true,true,true,true,2019-05-01 15:12:50,2019-06-06 09:02:48,2019-06-06 09:02:46
docker-weasyprint,BCDevOps,BCDevOps/docker-weasyprint,https://github.com/BCDevOps/docker-weasyprint,,,6,true,false,false,false,false,5,1648,false,true,true,true,true,true,2019-05-21 13:18:10,2021-03-05 07:56:42,2021-03-05 08:24:05
platform-services-status-page-notifications,BCDevOps,BCDevOps/platform-services-status-page-notifications,https://github.com/BCDevOps/platform-services-status-page-notifications,,"A simple repo for the source of notification files, separating it from the code itself to keep interaction as simple as possible.",2,false,false,false,false,false,0,255,true,true,true,true,true,true,2019-06-02 19:39:46,2021-04-20 09:13:31,2021-04-20 09:13:28
nr-pipeline-ext,BCDevOps,BCDevOps/nr-pipeline-ext,https://github.com/BCDevOps/nr-pipeline-ext,,Natural Resource (IIT) Module/Extension for pipeline-cli,8,false,false,false,false,false,0,828,true,true,true,true,true,true,2019-07-04 13:12:53,2020-11-09 14:02:20,2021-03-31 08:07:11
nr-jenkins-shared-lib,BCDevOps,BCDevOps/nr-jenkins-shared-lib,https://github.com/BCDevOps/nr-jenkins-shared-lib,,Jenkins Shared Library for IIT (Natural Resource Ministries),0,false,false,false,false,false,0,5,true,true,true,true,true,true,2019-07-11 11:46:11,2019-07-11 11:46:14,2019-07-11 11:46:12
nr-devops-tools,BCDevOps,BCDevOps/nr-devops-tools,https://github.com/BCDevOps/nr-devops-tools,,DevOps scripts and tools used by IIT (Natural Resource Ministries),0,false,false,false,false,false,0,5,true,true,true,true,true,true,2019-07-11 11:47:09,2019-07-11 11:47:12,2019-07-11 11:47:10
eval-crunchydata,BCDevOps,BCDevOps/eval-crunchydata,https://github.com/BCDevOps/eval-crunchydata,,Evaluating CrunchyData's Postgres Operator,0,false,false,false,false,false,0,0,true,true,true,true,true,true,2019-09-10 10:25:24,2019-09-10 10:33:50,2019-09-10 10:33:48
gh-deploy,BCDevOps,BCDevOps/gh-deploy,https://github.com/BCDevOps/gh-deploy,,A nodemodule/cli tool that wraps the github deployments API,0,false,false,false,false,false,1,855,true,true,true,true,true,true,2019-09-27 10:30:19,2020-09-08 13:47:17,2021-03-30 22:22:15
OpenShift4-RollOut,BCDevOps,BCDevOps/OpenShift4-RollOut,https://github.com/BCDevOps/OpenShift4-RollOut,,This is the primary board for all activities related to the roll out of OpenShift 4,1,false,false,false,false,false,1,700,true,true,true,true,true,true,2019-10-25 13:51:23,2020-11-03 16:59:24,2020-11-03 16:59:21
OpenShift4-Migration,BCDevOps,BCDevOps/OpenShift4-Migration,https://github.com/BCDevOps/OpenShift4-Migration,,Scripts and info for Ministry teams migration from OpenShift 3.11 to 4.x,0,false,false,false,false,false,2,17,true,true,true,true,true,true,2019-10-28 10:55:34,2021-01-15 00:58:08,2021-01-05 13:32:48
devops-requests,BCDevOps,BCDevOps/devops-requests,https://github.com/BCDevOps/devops-requests,,This repository is used to track the DevOps requests for platform services team.,9,false,false,false,false,false,13,142,true,true,true,true,true,true,2019-11-05 09:55:33,2021-03-30 10:51:05,2021-03-30 10:51:05
developer-experience,BCDevOps,BCDevOps/developer-experience,https://github.com/BCDevOps/developer-experience,,"This repository is used to track all work for the BCGov Platform Services Team (This includes work for: 1. Platform Experience, 2. Developer Experience 3. Platform Operations/OCP 3)",10,false,false,false,false,false,4,705894,true,true,true,true,true,true,2019-11-06 14:41:22,2021-04-22 11:58:35,2021-04-22 12:40:07
ha-tomcat9,BCDevOps,BCDevOps/ha-tomcat9,https://github.com/BCDevOps/ha-tomcat9,,Highly Available Tomcat 9 Image,1,false,false,false,false,false,0,95,true,true,true,true,true,true,2019-11-20 10:03:50,2021-02-25 13:50:24,2021-03-25 15:48:56
surveyjs-vue-scaffold,BCDevOps,BCDevOps/surveyjs-vue-scaffold,https://github.com/BCDevOps/surveyjs-vue-scaffold,,SurveyJS Widgets in Vue,4,false,false,false,false,false,1,2413,true,true,true,true,true,true,2020-01-27 15:10:13,2020-09-06 20:43:15,2021-03-31 06:58:22
managed-ocp,BCDevOps,BCDevOps/managed-ocp,https://github.com/BCDevOps/managed-ocp,,BC Gov OpenShift Container Platform Deployment Automation,4,false,false,false,false,false,1,29119,true,true,true,true,true,true,2020-04-16 11:08:20,2021-02-18 10:08:41,2020-06-17 17:24:34
azure-landing-zone,BCDevOps,BCDevOps/azure-landing-zone,https://github.com/BCDevOps/azure-landing-zone,,Automation scripts and other artifacts related to BC Gov's Landing Zone in Microsoft Azure.,0,false,false,false,false,false,0,5,true,true,true,true,true,true,2020-04-22 12:16:48,2020-04-22 12:16:52,2020-04-22 12:16:50
gcp-landing-zone,BCDevOps,BCDevOps/gcp-landing-zone,https://github.com/BCDevOps/gcp-landing-zone,,Automation scripts and other artifacts related to BC Gov's Landing Zone in Google Compute Platform.,0,false,false,false,false,false,0,5,true,true,true,true,true,true,2020-04-22 12:18:49,2020-04-22 12:18:53,2020-04-22 12:18:51
nr-elasticsearch-stack,BCDevOps,BCDevOps/nr-elasticsearch-stack,https://github.com/BCDevOps/nr-elasticsearch-stack,,NR Elastic Search Stack (Kibana + Elasticsearch),3,false,false,false,false,false,2,34,true,true,true,true,true,true,2020-05-25 13:00:43,2021-02-05 14:41:16,2021-04-12 16:49:15
aws-saml2sts-bookmarklet,BCDevOps,BCDevOps/aws-saml2sts-bookmarklet,https://github.com/BCDevOps/aws-saml2sts-bookmarklet,,,2,false,false,false,false,false,0,285,true,true,true,true,true,true,2020-06-01 16:08:09,2020-06-02 16:33:26,2020-07-20 16:11:46
nrdk,BCDevOps,BCDevOps/nrdk,https://github.com/BCDevOps/nrdk,,Natural Resource Ministries Developer/Deployment Kit,3,false,false,false,false,false,2,822,true,true,true,true,true,true,2020-06-18 10:20:42,2021-04-14 14:41:18,2021-04-19 13:13:50
aws-login,BCDevOps,BCDevOps/aws-login,https://github.com/BCDevOps/aws-login,,AWS login facility that supports web console access as well as temporary credential generation.,3,false,false,false,false,false,1,99,true,true,true,true,true,true,2020-06-29 13:15:27,2021-04-20 11:22:30,2021-04-20 11:22:27
bcgov-terraform-module-template,BCDevOps,BCDevOps/bcgov-terraform-module-template,https://github.com/BCDevOps/bcgov-terraform-module-template,,A template repo for BC Gov Terraform module repos.,1,false,false,false,false,true,0,17,true,true,true,true,true,true,2020-07-17 16:32:59,2020-07-17 16:44:07,2020-07-17 16:43:49
terraform-aws-account-set,BCDevOps,BCDevOps/terraform-aws-account-set,https://github.com/BCDevOps/terraform-aws-account-set,,"A Terraform module to automate consistent provisioning of ""account sets"" (project workspaces) in an AWS organization.",0,false,false,false,false,false,0,9,true,true,true,true,true,true,2020-07-17 16:46:20,2020-07-17 16:46:25,2020-07-17 16:46:23
terraform-aws-organization-info,BCDevOps,BCDevOps/terraform-aws-organization-info,https://github.com/BCDevOps/terraform-aws-organization-info,,A Terraform module that provides info/data about an existing AWS organization that is not available from AWS TF provider.,0,false,false,false,false,false,1,11,true,true,true,true,true,true,2020-07-22 12:36:47,2020-11-17 12:05:46,2020-10-19 12:05:52
terraform-octk-tf-workspace,BCDevOps,BCDevOps/terraform-octk-tf-workspace,https://github.com/BCDevOps/terraform-octk-tf-workspace,,"A Terraform module for creating Terraform Cloud (or Enterprise) workspaces and related resources, ready use as part of an automated pipeline.",0,false,false,false,false,false,0,10,true,true,true,true,true,true,2020-07-23 15:22:59,2020-12-01 20:38:24,2020-12-01 20:38:22
terraform-octk-aws-workspace,BCDevOps,BCDevOps/terraform-octk-aws-workspace,https://github.com/BCDevOps/terraform-octk-aws-workspace,,"A Terraform module that can create multi-account (environment) ""workspaces"" in AWS in a consistent manner.",0,false,false,false,false,false,0,9,true,true,true,true,true,true,2020-07-28 16:13:45,2020-07-28 16:13:50,2020-07-28 16:13:47
terraform-keycloak-role-group-simplification,BCDevOps,BCDevOps/terraform-keycloak-role-group-simplification,https://github.com/BCDevOps/terraform-keycloak-role-group-simplification,,"A Terraform module to create roles, groups, and mappings based on a set of simple conventions. This is of particular use where KeyCloak is being used to control access to a system which has a large number of resources, each requiring a unique set of role definitions.  For example, access to a public cloud environment where KeyCloak is used as the SSO identity provider.",0,false,false,false,false,false,0,14,true,true,true,true,true,true,2020-08-18 13:03:00,2021-03-10 21:25:16,2021-03-10 21:25:14
terraform-octk-gcp-workspace,BCDevOps,BCDevOps/terraform-octk-gcp-workspace,https://github.com/BCDevOps/terraform-octk-gcp-workspace,,Example of how a workspace might be provisioned in GCP.,0,false,false,false,false,false,0,9,true,true,true,true,true,true,2020-08-28 14:58:45,2020-08-28 14:58:50,2020-08-28 14:58:48
terraform-gcp-project-set,BCDevOps,BCDevOps/terraform-gcp-project-set,https://github.com/BCDevOps/terraform-gcp-project-set,,A Terraform module to automate the creation of a set of related projects in GCP.,0,false,false,false,false,false,0,9,true,true,true,true,true,true,2020-08-28 15:01:52,2020-08-28 15:01:59,2020-08-28 15:01:56
terraform-aws-keycloak-lz-sso-setup,BCDevOps,BCDevOps/terraform-aws-keycloak-lz-sso-setup,https://github.com/BCDevOps/terraform-aws-keycloak-lz-sso-setup,,A Terraform module to bootstrap/setup the elements needed to provide KeyCloak-based single sign-on to an AWS Landing Zone.,0,false,false,false,false,false,0,29,true,true,true,true,true,true,2020-10-02 16:00:43,2021-03-10 21:26:16,2021-03-10 21:26:13
terraform-aws-sea-organization-info,BCDevOps,BCDevOps/terraform-aws-sea-organization-info,https://github.com/BCDevOps/terraform-aws-sea-organization-info,,A Terraform module that provides a simple way to navigate/locate accounts in a Secure Enterprise Accelerator (SEA)-based AWS organization.,1,false,false,false,false,false,0,11,true,true,true,true,true,true,2020-10-13 16:45:40,2021-03-05 09:32:31,2021-03-05 09:32:29
terraform-aws-sea-account-set,BCDevOps,BCDevOps/terraform-aws-sea-account-set,https://github.com/BCDevOps/terraform-aws-sea-account-set,,"A Terraform module to create ""account sets"" in a simple, consistency manner in an AWS SEA-based landing zone.",0,false,false,false,false,false,0,13,true,true,true,true,true,true,2020-10-21 15:35:40,2021-03-03 20:43:15,2021-03-03 20:43:13
terraform-octk-aws-sea-workspace,BCDevOps,BCDevOps/terraform-octk-aws-sea-workspace,https://github.com/BCDevOps/terraform-octk-aws-sea-workspace,,A Terraform module to create OCTK workspace in an AWS SEA-based landing zone.,0,false,false,false,false,false,0,10,true,true,true,true,true,true,2020-10-21 15:37:47,2021-03-03 17:38:14,2021-03-03 17:42:35
aws-secure-environment-accelerator,BCDevOps,BCDevOps/aws-secure-environment-accelerator,https://github.com/BCDevOps/aws-secure-environment-accelerator,,The AWS Secure Environment Accelerator is a tool designed to help deploy and operate secure multi-account AWS environments on an ongoing basis. The power of the solution is the configuration file which enables the completely automated deployment of customizable architectures within AWS without changing a single line of code.,0,true,false,false,false,false,0,12779,false,true,true,true,true,true,2020-11-04 15:30:51,2020-11-04 15:30:53,2020-11-04 12:31:47
terraform-octk-aws-workload-automation-setup,BCDevOps,BCDevOps/terraform-octk-aws-workload-automation-setup,https://github.com/BCDevOps/terraform-octk-aws-workload-automation-setup,,,0,false,false,false,false,false,0,14,true,true,true,true,true,true,2020-11-13 21:31:38,2021-03-17 20:57:24,2021-03-17 20:57:52
baserow,BCDevOps,BCDevOps/baserow,https://github.com/BCDevOps/baserow,,BC Gov Containerized Baserow,0,false,false,false,false,false,0,4,true,true,true,true,true,true,2020-11-17 18:10:32,2020-11-17 18:10:36,2020-11-17 18:10:34
terraform-octk-aws-keycloak-account-set-role-setup,BCDevOps,BCDevOps/terraform-octk-aws-keycloak-account-set-role-setup,https://github.com/BCDevOps/terraform-octk-aws-keycloak-account-set-role-setup,,A Terraform module to be used as part of the tooling for setting up access to workload accounts with an AWS landing zone.,0,false,false,false,false,false,0,14,true,true,true,true,true,true,2020-11-24 16:31:19,2021-03-05 21:39:27,2021-03-10 21:30:47
cloudops,BCDevOps,BCDevOps/cloudops,https://github.com/BCDevOps/cloudops,,"A repo containing open documentation related to cloud operations processes, tooling, etc. and links to other locations  for non-BCGov, or internal documentation.",1,false,false,false,false,false,0,5,true,true,true,true,true,true,2020-11-27 10:31:49,2020-12-01 11:24:52,2020-12-01 11:24:50
