,Repository,owner,name_with_owner,url,homepage_url,description,stars,forks,disk_usage,is_fork,is_mirror,is_private,is_archived,is_template,has_issues_enabled,has_projects_enabled,has_wiki_enabled,merge_commit_allowed,rebase_merge_allowed,squash_merge_allowed,created_at,updated_at,pushed_at,license-file-exists,readme-file-exists,contributing-file-exists,code-of-conduct-file-exists,changelog-file-exists,security-file-exists,support-file-exists,readme-references-license,binaries-not-present,test-directory-exists,integrates-with-ci,code-of-conduct-file-contains-email,source-license-headers-exist,github-issue-template-exists,github-pull-request-template-exists,PackageCount,ProjectCount,ReleaseCount,SubmoduleCount,DeployKeyCount,TopicCount,License,CodeOfConduct,Days Open,Issue Count,PR Count,Commit Count,Branch Protection Rule Count,Avg. Issue Count Per Day,Avg. PR Count Per Day,Avg. Commit Count Per Day,Default Branch Name,Languages,Fork PullRequest Count,Review Count
0,openshift-workshop,BCDevOps,BCDevOps/openshift-workshop,https://github.com/BCDevOps/openshift-workshop,,Config files exported from the Feb. 2016  RedHat OpenShift workshop,0,0,11,False,False,False,False,False,True,True,True,True,True,True,2016-02-04T22:46:45Z,2016-02-04T22:46:45Z,2016-02-05T18:06:26Z,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1910,30,0,5,0,0.02,0.0,0.0,master,,0,0
1,gigles,BCDevOps,BCDevOps/gigles,https://github.com/BCDevOps/gigles,,ping-pong,0,0,7,False,False,False,False,False,True,True,True,True,True,True,2016-02-05T05:01:56Z,2020-07-30T12:32:42Z,2019-11-01T13:18:55Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1909,0,2,9,0,0.0,0.0,0.0,master,JavaScript,0,0
2,templates,BCDevOps,BCDevOps/templates,https://github.com/BCDevOps/templates,,Custom OpenShift application templates,1,1,18,False,False,False,False,False,True,True,True,True,True,True,2016-02-19T21:29:33Z,2017-05-29T14:05:39Z,2016-03-15T22:34:14Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1895,0,0,20,0,0.0,0.0,0.01,master,,0,0
3,openshift-components,BCDevOps,BCDevOps/openshift-components,https://github.com/BCDevOps/openshift-components,, A trove of apps/components/stuff/things that are usable by anyone running OpenShift - in particular BC Gov teams 'doing' Agile/DevOps.,4,24,2035,False,False,False,False,False,True,True,True,True,True,True,2016-02-23T20:04:46Z,2021-01-15T17:23:24Z,2021-04-29T22:24:41Z,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,9,Apache License 2.0,,1891,18,40,374,0,0.01,0.02,0.2,master,Python_Groovy_Dockerfile_Shell,0,5
4,issues-and-solutions,BCDevOps,BCDevOps/issues-and-solutions,https://github.com/BCDevOps/issues-and-solutions,,,6,0,1668,False,False,False,False,False,True,True,True,True,True,True,2016-03-02T00:05:18Z,2020-09-21T12:48:43Z,2016-11-16T23:00:57Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Creative Commons Zero v1.0 Universal,,1883,18,0,5,0,0.01,0.0,0.0,master,,0,0
5,meta-guide-docker,BCDevOps,BCDevOps/meta-guide-docker,https://github.com/BCDevOps/meta-guide-docker,,,0,0,5,False,False,False,False,False,True,True,True,True,True,True,2016-03-03T20:20:50Z,2016-03-03T20:20:50Z,2016-03-10T20:12:00Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1882,0,0,2,0,0.0,0.0,0.0,master,,0,0
6,openopps-platform,BCDevOps,BCDevOps/openopps-platform,https://github.com/BCDevOps/openopps-platform,https://pages.18f.gov/openopps-platform/,Open Opportunities open source platform,0,0,22854,True,False,False,True,False,False,True,True,True,True,True,2016-04-16T20:56:19Z,2019-02-11T21:53:27Z,2019-02-05T06:49:30Z,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,0,0,0,0,0,0,Other,,1838,0,2,2942,0,0.0,0.0,1.6,dev,JavaScript_HTML_CSS_PLpgSQL,0,0
7,illr,BCDevOps,BCDevOps/illr,https://github.com/BCDevOps/illr,,liquor on the way home,0,4,251,False,False,False,False,False,True,True,True,True,True,True,2016-06-02T17:14:46Z,2016-06-02T17:25:35Z,2016-06-02T23:14:18Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1791,1,0,68,0,0.0,0.0,0.04,master,Python_HTML,0,0
8,shiftbot,BCDevOps,BCDevOps/shiftbot,https://github.com/BCDevOps/shiftbot,,A hubot for automating useful things related to OpenShift.,0,0,16,False,False,False,False,False,True,True,True,True,True,True,2016-07-15T04:07:14Z,2016-07-15T04:13:23Z,2016-07-15T04:13:22Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1748,3,0,4,0,0.0,0.0,0.0,master,CoffeeScript_Batchfile_Shell,0,0
9,openshift-tools,BCDevOps,BCDevOps/openshift-tools,https://github.com/BCDevOps/openshift-tools,,,15,17,2628,False,False,False,False,False,True,True,True,True,True,True,2016-09-12T20:18:20Z,2020-10-09T18:00:57Z,2021-03-31T11:56:07Z,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1689,26,91,559,0,0.02,0.05,0.33,master,Python_Shell_JavaScript_Dockerfile_Go_PHP_Ruby_TypeScript_HTML_CSS,0,33
