,Repository,owner,name_with_owner,url,homepage_url,description,stars,forks,disk_usage,is_fork,is_mirror,is_private,is_archived,is_template,has_issues_enabled,has_projects_enabled,has_wiki_enabled,merge_commit_allowed,rebase_merge_allowed,squash_merge_allowed,created_at,updated_at,pushed_at,license-file-exists,readme-file-exists,contributing-file-exists,code-of-conduct-file-exists,changelog-file-exists,security-file-exists,support-file-exists,readme-references-license,binaries-not-present,test-directory-exists,integrates-with-ci,code-of-conduct-file-contains-email,source-license-headers-exist,github-issue-template-exists,github-pull-request-template-exists,PackageCount,ProjectCount,ReleaseCount,SubmoduleCount,DeployKeyCount,TopicCount,License,CodeOfConduct,Days Open,Issue Count,PR Count,Commit Count,Branch Protection Rule Count,Avg. Issue Count Per Day,Avg. PR Count Per Day,Avg. Commit Count Per Day,Default Branch Name,Languages,Fork PullRequest Count,Review Count
10,openshift-jee-sample,BCDevOps,BCDevOps/openshift-jee-sample,https://github.com/BCDevOps/openshift-jee-sample,,A sample app to be deployed on openshift environments,0,0,41,True,False,False,False,False,False,True,True,True,True,True,2016-09-29T22:40:05Z,2016-09-29T22:40:06Z,2016-08-02T20:17:51Z,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,,,1672,0,0,6,0,0.0,0.0,0.0,master,HTML_Java_Shell,0,0
11,jee-wildfly-test,BCDevOps,BCDevOps/jee-wildfly-test,https://github.com/BCDevOps/jee-wildfly-test,,Experiments with Wildfly,0,0,55223,False,False,False,False,False,True,True,True,True,True,True,2016-09-29T23:10:23Z,2016-10-05T20:34:02Z,2016-10-05T21:42:52Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1672,0,0,10,0,0.0,0.0,0.01,master,Shell,0,0
12,s2i-nginx,BCDevOps,BCDevOps/s2i-nginx,https://github.com/BCDevOps/s2i-nginx,,S2I source code for making a builder image for nginx on OpenShift,0,6,82,True,False,False,False,False,True,True,True,True,True,True,2016-09-30T17:03:00Z,2018-12-06T04:07:10Z,2020-05-15T18:54:54Z,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,0,0,1,0,0,0,Apache License 2.0,,1671,0,8,103,0,0.0,0.0,0.06,master,Shell_Groovy_Dockerfile_HTML_Makefile,0,2
13,s2i-nginx-example,BCDevOps,BCDevOps/s2i-nginx-example,https://github.com/BCDevOps/s2i-nginx-example,,Example repo of what's needed for the s2i-nginx build image,0,3,16,False,False,False,False,False,True,True,True,True,True,True,2016-10-03T16:24:51Z,2016-11-16T18:33:07Z,2016-11-16T18:33:05Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1668,0,0,28,0,0.0,0.0,0.02,master,,0,0
14,nodejs-ex,BCDevOps,BCDevOps/nodejs-ex,https://github.com/BCDevOps/nodejs-ex,,node.js example,0,0,128,True,False,False,False,False,False,True,False,True,True,True,2016-10-15T00:05:21Z,2016-10-15T00:11:58Z,2016-10-18T04:49:33Z,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,0,0,0,0,0,0,,,1656,0,0,124,0,0.0,0.0,0.07,master,HTML_JavaScript_Shell,0,0
15,s2i-nginx-npm,BCDevOps,BCDevOps/s2i-nginx-npm,https://github.com/BCDevOps/s2i-nginx-npm,,Source to Image (S2I) for web apps that build via npm and hosted on nginx static file server,0,1,64,False,False,False,False,False,True,True,True,True,True,True,2016-10-24T18:29:41Z,2016-10-24T18:32:34Z,2016-10-27T03:47:06Z,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1647,0,0,89,0,0.0,0.0,0.05,master,Shell_Nginx_HTML_Makefile,0,0
16,tree-model-bower,BCDevOps,BCDevOps/tree-model-bower,https://github.com/BCDevOps/tree-model-bower,,Bower Package for Tree Model JS - https://github.com/joaonuno/tree-model-js,0,0,7,False,False,False,False,False,True,True,True,True,True,True,2016-12-09T00:56:32Z,2016-12-09T01:49:15Z,2016-12-09T01:49:14Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,MIT License,,1601,0,0,6,0,0.0,0.0,0.0,master,,0,0
17,BCDevOps-Guide,BCDevOps,BCDevOps/BCDevOps-Guide,https://github.com/BCDevOps/BCDevOps-Guide,,,7,7,22,False,False,False,True,False,True,True,True,True,True,True,2017-02-09T21:23:27Z,2019-04-23T16:57:43Z,2019-04-23T16:57:28Z,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Other,,1539,1,1,10,0,0.0,0.0,0.01,master,,0,0
18,pathfinder-jenkins,BCDevOps,BCDevOps/pathfinder-jenkins,https://github.com/BCDevOps/pathfinder-jenkins,,,0,0,6,False,False,False,False,False,True,True,True,True,True,True,2017-03-21T23:49:28Z,2017-03-21T23:49:28Z,2017-09-13T17:03:13Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1499,0,0,4,0,0.0,0.0,0.0,master,,0,0
19,sonar-pipeline,BCDevOps,BCDevOps/sonar-pipeline,https://github.com/BCDevOps/sonar-pipeline,,,1,2,189,True,False,False,False,False,False,True,True,True,True,True,2017-05-12T23:38:41Z,2019-06-03T12:46:07Z,2017-05-16T18:06:12Z,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,0,0,0,0,0,0,,,1447,0,0,16,0,0.0,0.0,0.01,master,Java,0,0
20,pathfinder,BCDevOps,BCDevOps/pathfinder,https://github.com/BCDevOps/pathfinder,,Start of a basic site for pathfinder.gov.bc.ca using the BCGov 2.0 Bootstrap theme,1,2,129066,False,False,False,False,False,True,True,True,True,True,True,2017-07-06T17:58:01Z,2019-04-18T19:02:55Z,2021-05-07T20:38:38Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Other,Contributor Covenant,1392,0,7,78,0,0.0,0.01,0.06,master,HTML_CSS_JavaScript_Shell,0,1
21,s2i-caddy,BCDevOps,BCDevOps/s2i-caddy,https://github.com/BCDevOps/s2i-caddy,,,0,9,23,False,False,False,False,False,True,True,True,True,True,True,2017-07-07T18:47:49Z,2020-04-18T00:22:07Z,2020-04-18T00:22:05Z,True,True,False,False,False,False,False,True,True,True,True,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1391,3,5,24,0,0.0,0.0,0.02,master,Shell_Dockerfile_Groovy_Makefile,0,2
22,openshift-wiki,BCDevOps,BCDevOps/openshift-wiki,https://github.com/BCDevOps/openshift-wiki,https://pathfinder-faq-ocio-pathfinder-prod.pathfinder.gov.bc.ca/,Gitbook URL of WIKI,11,11,1129,False,False,False,False,False,True,True,True,True,True,True,2017-09-09T22:00:28Z,2021-04-28T11:13:26Z,2021-04-01T16:07:14Z,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,0,1,0,0,0,7,Apache License 2.0,,1327,33,42,300,0,0.02,0.03,0.23,master,Shell_CSS,0,24
23,exo-community,BCDevOps,BCDevOps/exo-community,https://github.com/BCDevOps/exo-community,,,0,0,51,True,False,False,False,False,False,True,True,True,True,True,2017-10-18T22:21:09Z,2017-10-18T22:21:10Z,2018-01-30T23:32:52Z,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,,,1288,0,0,58,0,0.0,0.0,0.05,master,Shell,0,0
24,opendev-template,BCDevOps,BCDevOps/opendev-template,https://github.com/BCDevOps/opendev-template,,BC Gov Open Development Repo Template,2,5,55,False,False,False,False,True,True,True,True,True,True,True,2017-10-20T19:57:54Z,2020-07-17T23:31:53Z,2019-11-05T21:33:24Z,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,1286,0,7,67,0,0.0,0.01,0.05,master,Shell,0,1
25,jenkins,BCDevOps,BCDevOps/jenkins,https://github.com/BCDevOps/jenkins,,,0,1,3218,True,False,False,True,False,False,True,False,True,True,True,2017-10-26T21:10:43Z,2018-11-29T18:21:19Z,2017-10-26T22:43:50Z,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,0,0,0,0,0,0,,,1280,0,0,593,0,0.0,0.0,0.46,master,Shell_Smarty_Makefile,0,0
26,examples,BCDevOps,BCDevOps/examples,https://github.com/BCDevOps/examples,,A set of simple conceptual examples using things like Ansible and OpenShift,0,0,205,True,False,False,False,False,False,True,True,True,True,True,2017-10-27T22:51:28Z,2017-10-27T22:51:30Z,2017-08-21T19:56:31Z,True,True,False,False,False,False,False,False,True,True,False,True,False,False,True,0,0,0,0,0,0,Apache License 2.0,,1279,0,0,53,0,0.0,0.0,0.04,master,Java_Shell_HTML_Batchfile_CSS,0,0
27,openshift-templates,BCDevOps,BCDevOps/openshift-templates,https://github.com/BCDevOps/openshift-templates,,A Repository of Reusable OpenShift Templates,1,0,43,True,False,False,False,False,False,True,True,True,True,True,2017-10-27T22:56:57Z,2020-08-26T14:09:52Z,2018-11-08T23:07:49Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1279,0,0,17,0,0.0,0.0,0.01,master,,0,0
28,openshift-developer-tools,BCDevOps,BCDevOps/openshift-developer-tools,https://github.com/BCDevOps/openshift-developer-tools,,Tools for managing OpenShift projects.,12,38,585,False,False,False,False,False,True,True,True,True,True,True,2017-11-15T23:08:20Z,2021-04-30T15:48:18Z,2021-04-30T15:48:15Z,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1260,2,136,337,0,0.0,0.11,0.27,master,Shell,124,22
29,minio-openshift,BCDevOps,BCDevOps/minio-openshift,https://github.com/BCDevOps/minio-openshift,,Minio Object Storage Server,9,11,31,False,False,False,False,False,True,True,True,True,True,True,2017-11-21T19:17:40Z,2021-03-30T09:22:57Z,2019-11-19T22:55:45Z,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,0,0,0,0,0,1,Apache License 2.0,Contributor Covenant,1254,3,3,30,0,0.0,0.0,0.02,master,Groovy_Dockerfile_Shell,0,1
30,BDDStack,BCDevOps,BCDevOps/BDDStack,https://github.com/BCDevOps/BDDStack,,"This is the Geb, Spock Test stack as deployed at BCGOV, it supports Chrome and Firefox headless testing, which can be used in OpenShift pipelines. ***Warning: Default Branch is Develop, please clone from Latest Release for use in your project, or develop if you want to contribute.",3,12,782,False,False,False,False,False,True,True,True,True,True,True,2017-11-30T01:07:26Z,2020-08-03T05:50:42Z,2020-01-16T21:58:47Z,True,True,False,False,False,False,False,True,True,True,False,True,False,False,False,0,1,4,0,0,9,Apache License 2.0,,1245,2,8,257,0,0.0,0.01,0.21,develop,Groovy_Dockerfile,0,1
31,owasp-zap-openshift,BCDevOps,BCDevOps/owasp-zap-openshift,https://github.com/BCDevOps/owasp-zap-openshift,,A Docker build for OWASP Zed Attack Proxy to be used in CI/CD pipelines,0,2,2239,True,False,False,False,False,False,True,True,True,True,True,2018-01-05T18:40:07Z,2018-01-05T18:40:08Z,2020-05-01T23:13:12Z,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,,,1209,0,1,46,0,0.0,0.0,0.04,master,Python_JavaScript_Shell,0,0
32,innovation-lab-projects,BCDevOps,BCDevOps/innovation-lab-projects,https://github.com/BCDevOps/innovation-lab-projects,,Innovation LAB Project Tracking,0,0,6,False,False,False,False,False,True,True,True,True,True,True,2018-01-13T00:12:09Z,2018-01-13T00:12:09Z,2018-01-30T03:52:44Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1201,3,1,3,0,0.0,0.0,0.0,master,,0,0
33,sonarqube,BCDevOps,BCDevOps/sonarqube,https://github.com/BCDevOps/sonarqube,,An OpenShift-focused Docker build of Sonarqube,3,22,226,True,False,False,False,False,True,True,True,True,True,True,2018-01-17T22:43:47Z,2021-03-04T20:10:57Z,2021-03-04T20:10:53Z,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,0,0,2,0,0,0,GNU Lesser General Public License v3.0,Contributor Covenant,1197,12,20,127,0,0.01,0.02,0.11,master,Dockerfile_Shell,0,11
34,OWASP-ZAP,BCDevOps,BCDevOps/OWASP-ZAP,https://github.com/BCDevOps/OWASP-ZAP,,OWASP ZAP OpenShift Config/Setup,0,0,6,False,False,False,False,False,True,True,True,True,True,True,2018-01-23T21:08:08Z,2018-01-23T21:08:08Z,2018-01-30T03:49:53Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1191,0,0,3,0,0.0,0.0,0.0,master,,0,0
35,geb-mobile,BCDevOps,BCDevOps/geb-mobile,https://github.com/BCDevOps/geb-mobile,,"A geb navigator factory for mobile support for Appium, Selendroid and IosDriver",0,1,88791,True,False,False,False,False,False,True,True,True,True,True,2018-02-01T22:41:48Z,2018-02-01T22:41:49Z,2018-04-09T20:55:00Z,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,0,0,0,0,0,0,,,1182,0,0,91,0,0.0,0.0,0.08,master,Groovy_Gherkin_Shell,0,0
36,jenkins-pipeline-shared-lib,BCDevOps,BCDevOps/jenkins-pipeline-shared-lib,https://github.com/BCDevOps/jenkins-pipeline-shared-lib,,Extending Jenkins with a Shared Library,17,20,185,False,False,False,False,False,True,True,True,True,True,True,2018-02-02T19:19:56Z,2021-05-07T10:06:48Z,2021-04-30T00:26:41Z,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,0,0,1,0,0,0,Apache License 2.0,,1181,2,5,62,0,0.0,0.0,0.05,master,Groovy,0,0
37,rhsso-examples,BCDevOps,BCDevOps/rhsso-examples,https://github.com/BCDevOps/rhsso-examples,,,0,0,380,False,False,False,False,False,True,True,True,True,True,True,2018-06-06T21:09:37Z,2018-06-07T20:17:22Z,2019-04-15T01:43:33Z,True,True,False,False,False,False,False,True,True,True,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1057,0,5,7,0,0.0,0.0,0.01,master,JavaScript_Groovy_CSS_HTML_Shell,0,0
38,pathfinder-static-web-pages,BCDevOps,BCDevOps/pathfinder-static-web-pages,https://github.com/BCDevOps/pathfinder-static-web-pages,,"REPO for bcgov static file store - css, etc ",0,0,9,False,False,False,False,False,True,True,True,True,True,True,2018-06-07T20:13:00Z,2018-06-07T20:51:54Z,2018-06-07T20:51:53Z,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1056,0,0,7,0,0.0,0.0,0.01,master,HTML,0,0
39,certbot,BCDevOps,BCDevOps/certbot,https://github.com/BCDevOps/certbot,,RHEL-based certbot image  + CronJob,3,5,36,False,False,False,False,False,True,True,True,True,True,True,2018-07-04T18:04:05Z,2021-03-25T21:55:33Z,2021-03-25T21:55:30Z,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,1029,6,5,36,0,0.01,0.0,0.03,master,Shell_Dockerfile,0,3
40,ocp-cd-pipeline,BCDevOps,BCDevOps/ocp-cd-pipeline,https://github.com/BCDevOps/ocp-cd-pipeline,,,4,6,49,False,False,False,False,False,True,True,True,True,True,True,2018-07-18T19:15:57Z,2019-09-23T18:55:25Z,2019-08-05T02:17:19Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,4,0,0,0,Apache License 2.0,,1015,2,5,22,0,0.0,0.0,0.02,master,Groovy_Shell,0,0
41,keycloak-admin,BCDevOps,BCDevOps/keycloak-admin,https://github.com/BCDevOps/keycloak-admin,,,7,2,475,False,False,False,False,False,True,True,True,True,True,True,2018-08-23T21:58:50Z,2021-04-23T16:37:44Z,2021-04-23T16:37:40Z,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,979,5,33,201,0,0.01,0.03,0.21,master,Jinja_JavaScript_Shell_Python_Dockerfile,0,26
42,developer-platform,BCDevOps,BCDevOps/developer-platform,https://github.com/BCDevOps/developer-platform,,Sandbox for prototyping some automation approaches.,1,0,24,False,False,False,False,False,False,False,False,True,True,True,2018-08-28T20:57:18Z,2018-09-13T18:16:35Z,2018-09-13T18:16:32Z,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,974,0,2,32,0,0.0,0.0,0.03,master,,0,0
43,open-component-stewardship,BCDevOps,BCDevOps/open-component-stewardship,https://github.com/BCDevOps/open-component-stewardship,,,0,0,6,False,False,False,False,False,True,True,True,True,True,True,2018-09-05T20:45:59Z,2018-09-05T20:50:25Z,2018-09-05T20:50:24Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,966,0,0,3,0,0.0,0.0,0.0,master,,0,0
44,backup-container,BCDevOps,BCDevOps/backup-container,https://github.com/BCDevOps/backup-container,,A simple container for a simple backup strategy. ,16,37,489,False,False,False,False,False,True,True,True,True,True,True,2018-09-20T13:12:04Z,2021-03-17T18:06:28Z,2021-03-03T22:12:08Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,11,0,0,10,Apache License 2.0,Contributor Covenant,951,20,57,309,0,0.02,0.06,0.32,master,Shell_JavaScript_Dockerfile,0,32
45,devops-platform-workshops,BCDevOps,BCDevOps/devops-platform-workshops,https://github.com/BCDevOps/devops-platform-workshops,,OCP Training Workshop Material and Labs,8,12,76015,False,False,False,False,False,True,True,True,True,True,True,2018-09-21T06:42:40Z,2021-05-05T18:14:49Z,2021-05-05T16:22:48Z,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,0,0,0,0,0,4,Apache License 2.0,,950,47,50,346,0,0.05,0.05,0.36,master,JavaScript_Shell_HTML_CSS_Dockerfile_SCSS,0,21
46,devops-platform-workshops-labs,BCDevOps,BCDevOps/devops-platform-workshops-labs,https://github.com/BCDevOps/devops-platform-workshops-labs,,,0,21,6861,False,False,False,False,False,True,True,True,True,True,True,2018-09-25T20:11:14Z,2019-05-27T12:43:13Z,2020-02-05T06:35:12Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,946,1,13,5,0,0.0,0.01,0.01,master,Dockerfile_Shell,0,0
47,provision-nfs-apb,BCDevOps,BCDevOps/provision-nfs-apb,https://github.com/BCDevOps/provision-nfs-apb,,Provision NFS persistent volume and claim for use as a backup target,0,1,239,False,False,False,False,False,True,True,True,True,True,True,2018-09-25T21:49:54Z,2019-10-28T21:31:24Z,2019-10-28T21:31:27Z,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,946,4,6,24,0,0.0,0.01,0.03,master,Shell_Dockerfile_Makefile,0,2
48,platform-services,BCDevOps,BCDevOps/platform-services,https://github.com/BCDevOps/platform-services,,Collection of platform related tools and configurations,13,25,42872,False,False,False,False,False,True,True,True,True,True,True,2018-11-01T23:36:01Z,2021-04-22T18:33:22Z,2021-05-06T16:18:08Z,True,True,True,False,False,False,False,False,True,True,True,True,False,True,False,0,0,0,0,0,6,Apache License 2.0,,909,470,221,564,0,0.52,0.24,0.62,master,Jinja_JavaScript_Shell_Dockerfile_Groovy_CSS_HTML_Python,0,141
49,pipeline-cli,BCDevOps,BCDevOps/pipeline-cli,https://github.com/BCDevOps/pipeline-cli,,,2,8,454,False,False,False,False,False,True,True,True,True,True,True,2018-11-02T06:00:22Z,2021-04-05T04:06:42Z,2020-12-29T17:18:29Z,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,0,0,2,0,0,0,Apache License 2.0,,908,15,12,86,0,0.02,0.01,0.09,master,JavaScript_Shell,0,4
50,fathom-openshift,BCDevOps,BCDevOps/fathom-openshift,https://github.com/BCDevOps/fathom-openshift,,OpenShift ready deployment of Fathom Analytics,0,3,106,False,False,False,False,False,True,True,True,True,True,True,2019-02-04T23:05:32Z,2021-02-24T20:55:49Z,2021-02-24T20:55:46Z,True,True,True,True,False,False,False,False,True,True,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,814,1,7,55,0,0.0,0.01,0.07,master,Shell_Dockerfile,0,3
51,StorageMigration,BCDevOps,BCDevOps/StorageMigration,https://github.com/BCDevOps/StorageMigration,,Legacy Gluster Migration Project,0,9,169,False,False,False,False,False,True,True,True,True,True,True,2019-02-07T17:29:53Z,2021-04-10T13:08:46Z,2021-04-10T13:08:43Z,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,0,0,0,0,0,0,Apache License 2.0,,811,46,12,76,0,0.06,0.01,0.09,master,Shell_Dockerfile,0,8
52,matomo-openshift,BCDevOps,BCDevOps/matomo-openshift,https://github.com/BCDevOps/matomo-openshift,,OpenShift ready deployment of Matomo Analytics ,2,9,145,False,False,False,False,False,True,True,True,True,True,True,2019-02-09T01:43:30Z,2021-03-03T17:16:27Z,2021-03-03T19:40:06Z,True,True,True,True,False,False,False,False,True,True,False,True,False,False,False,0,0,4,0,0,0,Apache License 2.0,Contributor Covenant,809,6,17,92,0,0.01,0.02,0.11,master,Shell_Dockerfile,0,11
53,go-crond,BCDevOps,BCDevOps/go-crond,https://github.com/BCDevOps/go-crond,,:alarm_clock: Cron daemon written in golang (for eg. usage in docker images),0,3,106,True,False,False,False,False,False,True,True,True,True,True,2019-02-28T15:40:24Z,2020-02-10T20:16:10Z,2020-02-10T20:18:56Z,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,0,0,2,0,0,0,GNU General Public License v2.0,,790,0,4,109,0,0.0,0.01,0.14,master,Go_Makefile_Dockerfile,0,0
54,bcdk,BCDevOps,BCDevOps/bcdk,https://github.com/BCDevOps/bcdk,,BC Developer Kit,6,15,506,False,False,False,False,False,True,True,True,True,True,True,2019-03-06T19:19:31Z,2021-03-24T16:11:03Z,2021-03-30T22:50:19Z,True,True,True,False,False,False,False,True,True,False,True,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,784,64,32,91,0,0.08,0.04,0.12,master,JavaScript_Groovy_Dockerfile_Python_Shell,0,17
