Repository,DaysOpen,IssueCount,PrCount,CommitCount,AverageIssueCountPerDay,AveragePrCountPerDay,AverageCommitCountPerDay,DefaultBranchName,Languages
go-crond,785,0,4,109,0,0.01,0.14,master,Go_Makefile_Dockerfile
bcdk,779,64,32,91,0.08,0.04,0.12,master,JavaScript_Groovy_Dockerfile_Python_Shell
developer-engagement,722,0,0,3,0,0,0,master,
docker-weasyprint,702,0,6,49,0,0.01,0.07,master,Python_Dockerfile_HTML
platform-services-status-page-notifications,690,11,126,366,0.02,0.18,0.53,master,
nr-pipeline-ext,658,1,106,191,0,0.16,0.29,release/0.0.1,JavaScript_Shell
nr-jenkins-shared-lib,652,0,0,1,0,0,0,master,
nr-devops-tools,652,0,0,1,0,0,0,master,
eval-crunchydata,591,6,0,1,0.01,0,0,master,
gh-deploy,574,2,22,78,0,0.04,0.14,master,JavaScript_Batchfile
OpenShift4-RollOut,545,486,8,12,0.89,0.01,0.02,master,
OpenShift4-Migration,543,73,1,9,0.13,0,0.02,master,
devops-requests,535,998,44,147,1.87,0.08,0.27,master,
developer-experience,533,989,131,516,1.85,0.25,0.97,master,Jinja_JavaScript_Perl_TypeScript_Shell_SCSS_Makefile_HTML_Dockerfile
ha-tomcat9,520,0,9,34,0,0.02,0.07,release/0.0.1,JavaScript_Dockerfile_Shell
surveyjs-vue-scaffold,451,0,23,79,0,0.05,0.17,master,Vue_TypeScript_CSS_JavaScript_HTML
managed-ocp,372,1,33,44,0,0.09,0.12,master,Shell_HCL
azure-landing-zone,366,0,0,1,0,0,0,master,
gcp-landing-zone,366,0,0,1,0,0,0,master,
nr-elasticsearch-stack,332,1,9,2,0,0.03,0.01,master,Shell_JavaScript
aws-saml2sts-bookmarklet,325,0,2,12,0,0.01,0.04,master,HTML_JavaScript
nrdk,309,30,35,21,0.1,0.11,0.07,master,TypeScript_Groovy_Dockerfile_JavaScript_Shell
aws-login,297,0,7,24,0,0.02,0.08,master,HTML_JavaScript_HCL
bcgov-terraform-module-template,279,0,0,2,0,0,0.01,master,HCL
terraform-aws-account-set,279,0,0,1,0,0,0,master,HCL
terraform-aws-organization-info,275,0,0,4,0,0,0.01,master,HCL
terraform-octk-tf-workspace,273,0,0,2,0,0,0.01,master,HCL
terraform-octk-aws-workspace,268,0,0,1,0,0,0,master,HCL
terraform-keycloak-role-group-simplification,247,0,0,9,0,0,0.04,master,HCL
terraform-octk-gcp-workspace,237,0,0,1,0,0,0,master,HCL
terraform-gcp-project-set,237,0,0,1,0,0,0,master,HCL
terraform-aws-keycloak-lz-sso-setup,202,0,0,20,0,0,0.1,master,HCL_Shell
terraform-aws-sea-organization-info,191,0,0,7,0,0,0.04,master,HCL
terraform-aws-sea-account-set,183,0,0,9,0,0,0.05,master,HCL
terraform-octk-aws-sea-workspace,183,0,0,4,0,0,0.02,master,HCL
aws-secure-environment-accelerator,169,0,0,125,0,0,0.74,master,TypeScript_Python_PowerShell_HTML_JavaScript_Shell
terraform-octk-aws-workload-automation-setup,160,0,1,6,0,0.01,0.04,master,HCL
baserow,156,0,0,1,0,0,0.01,main,
terraform-octk-aws-keycloak-account-set-role-setup,149,0,1,8,0,0.01,0.05,master,HCL
cloudops,147,0,1,4,0,0.01,0.03,main,
terraform-octk-aws-sea-dns,146,0,0,3,0,0,0.02,master,HCL
terraform-octk-tfc-workspace-set,142,0,1,3,0,0.01,0.02,master,HCL
cloud-guardrails-aws,141,0,0,39,0,0,0.28,master,Shell
allure-framework-openshift,140,0,5,30,0,0.04,0.21,main,Shell_Dockerfile
sig-cli,133,0,0,1,0,0,0.01,main,
terraform-octk-aws-sea-network-info,100,0,1,11,0,0.01,0.11,master,HCL
terraform-octk-aws-workload-alb,100,0,1,12,0,0.01,0.12,master,HCL
platform-services-documize,92,12,5,4,0.13,0.05,0.04,main,
terraform-octk-aws-sea-routing,77,0,1,8,0,0.01,0.1,master,HCL
terraform-octk-aws-workload-ecr,63,0,0,3,0,0,0.05,master,HCL
terraform-octk-aws-sea-rocketchat-notifications,62,0,1,3,0,0.02,0.05,master,Python_HCL
terraform-aws-sea-organization-info-extended,39,0,0,4,0,0,0.1,master,HCL
terraform-octk-aws-sea-client-vpn-setup,14,0,0,1,0,0,0.07,main,HCL
