Repository,license-file-exists,readme-file-exists,contributing-file-exists,code-of-conduct-file-exists,changelog-file-exists,security-file-exists,support-file-exists,readme-references-license,binaries-not-present,test-directory-exists,integrates-with-ci,code-of-conduct-file-contains-email,source-license-headers-exist,github-issue-template-exists,github-pull-request-template-exists,javascript-package-metadata-exists,ruby-package-metadata-exists,java-package-metadata-exists,python-package-metadata-exists,objective-c-package-metadata-exists,swift-package-metadata-exists,erlang-package-metadata-exists,elixir-package-metadata-exists,license-detectable-by-licensee,notice-file-exists
terraform-aws-keycloak-lz-sso-setup,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
terraform-aws-sea-organization-info,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
terraform-aws-sea-account-set,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
terraform-octk-aws-sea-workspace,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
aws-secure-environment-accelerator,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,PASSED,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
terraform-octk-aws-workload-automation-setup,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
baserow,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
terraform-octk-aws-keycloak-account-set-role-setup,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
cloudops,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
terraform-octk-aws-sea-dns,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
terraform-octk-tfc-workspace-set,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
