Repository,IssueTotalCount,PrTotalCount,CommitTotalCount,DaysOpen,AverageIssueCountPerDay,AveragePrCountPerDay,AverageCommitCountPerDay,DefaultBranchName
wqbc,104,56,778,2319,0.04,0.02,0.34,master
BC-Policy-Framework-For-GitHub,20,43,186,2246,0.01,0.02,0.08,master
bcgroundwater,19,14,256,2231,0.01,0.01,0.11,master
groundwater-levels-indicator,12,5,218,2231,0.01,0,0.1,master
ckanext-googleanalytics,0,6,105,2200,0,0,0.05,master
ckanext-hierarchy,0,6,36,2200,0,0,0.02,master
ckanext-ga-report,0,13,262,2200,0,0.01,0.12,master
EnvReportBC,3,3,87,2189,0,0,0.04,master
envreportutils,12,18,247,2189,0.01,0.01,0.11,master
CSB-eFile,0,1,7,2183,0,0,0,master
ckanext-bcgov,462,405,1429,2168,0.21,0.19,0.66,dev
bcmaps,51,45,720,2150,0.02,0.02,0.33,master
dbcrss,5,23,192975,2142,0,0.01,90.08,master
bc-laws-api,4,11,31,2092,0,0.01,0.01,master
rcaaqs,42,12,719,2072,0.02,0.01,0.35,master
ozone-caaqs-indicator,6,10,273,2072,0,0,0.13,master
pm25-caaqs-indicator,6,9,221,2072,0,0,0.11,master
esm-server,1,527,5061,1989,0,0.26,2.54,dev
datapusher,0,1,236,1981,0,0,0.12,master
ltema,2,1,6,1981,0,0,0,master
bearmon,2,2,9,1981,0,0,0,master
openconsult,7,4,27,1954,0,0,0.01,master
protected-lands-and-waters-indicator,4,5,187,1932,0,0,0.1,main
BCDevExchange-app,0,0,1042,1931,0,0,0.54,master
bc-population-indicator,3,4,183,1905,0,0,0.1,master
data-fp,12,56,220,1882,0.01,0.03,0.12,dev
nrs-sparx-automation,2,2,5,1878,0,0,0,master
playbook,0,4,259,1877,0,0,0.14,BCDev
govHackServiceCatalogue,0,2,3,1875,0,0,0,bcv1
guides,0,1,64,1874,0,0,0.03,bcv1
pages,0,2,140,1871,0,0,0.07,18f-pages
guides-template,0,2,271,1870,0,0,0.14,18f-pages
DBC-APIM,106,1,450,1870,0.06,0,0.24,master
cpf,67,33,513,1868,0.04,0.02,0.27,master
drivebc-webcam-api,2,1,3,1863,0,0,0,master
databc-web-map-services,4,2,6,1861,0,0,0,master
agile-guide,2,3,268,1857,0,0,0.14,18f-pages
digital-toolkit,16,56,424,1856,0.01,0.03,0.23,master
eba-guide,3,5,362,1855,0,0,0.2,18f-pages
bcdc-devops,3,5,19,1848,0,0,0.01,master
data-fp-features,5,22,79,1847,0,0.01,0.04,master
issue-aggregator,3,6,13,1847,0,0,0.01,master
