Repository,IssueTotalCount,DaysOpen,AverageIssueCountPerDay
von-connector,1,1265,0
von-network,46,1261,0.04
s2i-nginx,0,1260,0
getting_started_with_R,5,1259,0
WES-results-visualization,5,1250,0
nrts-prc-public,3,1246,0
forest-management-indicators,2,1244,0
gcpe-news-api-client,2,1240,0
ssdtools,112,1239,0.09
bcgov-data-science-resources,6,1238,0
Family-Protection-Order,2,1236,0
greenlight,76,1234,0.06
esm-admin,2,1233,0
secure-image-android,4,1226,0
secure-image-ios,1,1226,0
jag-shuber-frontend,1,1225,0
jag-shuber-api,0,1225,0
secure-image-api,1,1224,0
nrts-prc-api,3,1223,0
air-monitoring-visualization,4,1220,0
gcpe-news-media-proxy,2,1219,0
nrts-prc-admin,3,1219,0
splunk-forwarder,2,1218,0
mobile-authentication-ios,6,1202,0
mobile-authentication-android,2,1202,0
mobile-authentication-js,2,1202,0
bc-aquifer-dashboard,30,1202,0.02
smk-legacy-ui,211,1196,0.18
smk-datastore,0,1192,0
gcpe-news-webapp,2,1190,0
name-examination,891,1188,0.75
canwqdata,2,1183,0
shinyssdtools,56,1169,0.05
range-ios,19,1166,0.02
range-web,501,1166,0.43
indy-sdk,0,1159,0
wqindex,6,1153,0.01
GDX-Analytics,2,1149,0
http-did-auth-proxy,2,1148,0
jag-efiling-hub,2,1146,0
jag-efiling-frontend,2,1146,0
jag-efiling-api,2,1146,0
jag-lcrb-carla-public,3,1142,0
gcpe-news-archive,2,1141,0
did-auth-relying-party,3,1136,0
did-auth-extension,3,1135,0
eao-inspections-web,4,1128,0
GDX-Analytics-Looker-Snowplow-Web-Block,2,1118,0
grizzly-bear-IUCN-threats,2,1113,0
clus,33,1104,0.03
clamav,3,1099,0
workforce-profile-tool,129,1097,0.12
mds,8,1092,0.01
student-outcomes-dataviz,4,1091,0
msw-disposal-indicator,16,1089,0.01
namex-solr,2,1083,0
bc-hydrometric-dashboard,8,1080,0.01
Skeena-CE-Grizzly,2,1076,0
namex,23,1072,0.02
queue-management,9,1072,0.01
