Repository,IssueTotalCount,DaysOpen,AverageIssueCountPerDay
vue-scaffold,5,204,0.02
EDUC-MSDYN-COMMON,3,204,0.01
EDUC-PEN-SERVICES-API,3,204,0.01
bcrs-testing,3,203,0.01
FNDFAS,0,203,0
pssg-cscp-vsu,3,196,0.02
EDUC-STUDENT-COURSE_API,3,196,0.02
gwa-api,4,196,0.02
EDUC-STUDENT-ASSESSMENT-API,3,196,0.02
EDUC-GRAD-TOOLS,3,196,0.02
EDUC-PEN-REG-AUTOMATION,3,195,0.02
GDX-Analytics-Looker-Maintenance,3,195,0.02
EDUC-GRAD-STUDENT-API,3,189,0.02
EDUC-GRAD-ADMIN,3,187,0.02
MOH-MSP-Enrolment,3,187,0.02
whse_2_agol,16,186,0.09
EDUC-GRAD-COURSE-API,3,183,0.02
issuer-kit-demo-verifier-chat,6,183,0.03
MoH-SAT,3,183,0.02
ddm-documents,3,183,0.02
BGC3D,1,182,0.01
ClimateApp_FLP,1,182,0.01
nr-designer-erstudio,3,181,0.02
EDUC-GRAD-SANDBOX-REPO,3,181,0.02
EDUC-GRAD-ASSESSMENT-API,3,180,0.02
von-bc-registries-audit,1,176,0.01
EDUC-GRAD-PROGRAM-MANAGEMENT-API,3,174,0.02
EDUC-GRAD-ALGORITHM-API,3,173,0.02
jag-document-utils,3,172,0.02
EDUC-GRAD-SCHOOL-API,3,170,0.02
patroni-postgres-container,4,170,0.02
EDUC-GRAD-PSI-API,3,166,0.02
smk-fap-bcfls,3,166,0.02
smk-fap-fcb,3,166,0.02
smk-fap-stcb,3,166,0.02
geoserver_build,6,165,0.04
EDUC-GRAD-CODE-API,3,162,0.02
ofi-tools,3,161,0.02
court-interpreter-scheduling,3,159,0.02
tracks,4,159,0.03
tracks-devops,4,159,0.03
jag-pci-gateway,3,159,0.02
Wetland_Summary,3,153,0.02
sbc-maximus-services,3,153,0.02
mines-digital-trust,4,153,0.03
EDUC-GRAD-GRADUATION-STATUS-API,3,148,0.02
cmip6-BC,12,148,0.08
EDUC-GRAD-GRADUATION-API,3,147,0.02
EDUC-GRAD-COMMON-API,3,147,0.02
moh-bcer,3,146,0.02
EDUC-SCHOOL-API,3,145,0.02
SSAF_FFH_Summary,1,144,0.01
safepaths,5,141,0.04
pssg-cscp-cpu,3,140,0.02
crt,4,140,0.03
EDUC-SLD-API,3,139,0.02
EDUC-PEN-TRAX-API,3,139,0.02
jag-lrb-web,3,137,0.02
NotifyBC,11,135,0.08
SIMS,253,134,1.87
moh-maid,3,131,0.02
cas-airflow-upstream,0,127,0
climate-disturbances,0,127,0
nr-fom-admin,2,125,0.02
aps-portal,2,125,0.02
nr-fom-public,2,124,0.02
nr-fom-api,2,124,0.02
MOH-AOP-OOP,2,124,0.02
bc-data-literacy-self-assessment,0,123,0
streamflow-indicator,2,121,0.02
ccsummary-tahltan,2,112,0.02
MOH-BCP-Enrolment,2,106,0.02
moh-hnclient-v2,2,104,0.02
moh-hni-esb,2,104,0.02
ccsummary-FLP,2,104,0.02
jag-traffic-courts-online,2,104,0.02
jag-trafficcourts-partner,2,104,0.02
jag-trafficcourts-api,2,104,0.02
rocketchat,2,103,0.02
moh-external-api-protocol-mapper,2,101,0.02
performance,181,98,1.83
citz-imb-sp-aar,2,98,0.02
PSP,2,98,0.02
MOH-FPC-Enrolment,2,98,0.02
startup-sample-project-terraform-modules,2,97,0.02
Wetzinkwa,2,97,0.02
aries-vcr-client,3,96,0.03
Mautic-Subscription-App,2,95,0.02
EDUC-PEN-REPORT-GENERATION-API,2,95,0.02
smk-helms,2,95,0.02
orgbook-bc-client,6,94,0.06
orgbook-on-client,0,94,0
ets-cpf-ea-onboarding,2,91,0.02
citz-imb-sp-restapi,2,91,0.02
transportation-datascience-sandbox,2,89,0.02
smk-actions,2,89,0.02
jag-rsbc-nextcloud,2,89,0.02
Teams-FAQ-Bot,2,89,0.02
cloud-custodian-policies,2,88,0.02
ppr,2,85,0.02
registry-schemas,2,85,0.02
EDUC-PEN-REPLICATION-API,2,85,0.02
material-table,0,85,0
aries-vcr-issuer-agency,5,84,0.06
GDX-Analytics-microservice,2,83,0.02
nrm-ea-onboarding,2,81,0.02
dip-metadata-viewer,0,78,0
bc_dtm_testing,10,78,0.13
court-of-appeal,2,77,0.03
nr-rfc-processing,3,77,0.04
networkpolicy-migration-workshop,4,75,0.05
MOH-IAM-Enrolment,2,75,0.03
nr-rfc-ensweather,4,75,0.05
representation-grant-app,2,75,0.03
economic_recovery_indicators,2,75,0.03
geodock,0,74,0
Distributed-Leader-ToolKit,2,74,0.03
access-to-technology,2,71,0.03
Mautic-Openshift,2,70,0.03
EDUC-FSA-ILR,2,69,0.03
mds-startup-sample-project,2,68,0.03
citz-imb-sp-gdx-bif,2,67,0.03
discover-camping,2,62,0.03
smk-moh-mhsu,2,62,0.03
ised-business-banking-initiative,6,62,0.1
dbutils,2,61,0.03
CCISS_ShinyApp,25,61,0.41
moh-ldap-service,2,60,0.03
eco-info,4,60,0.07
EDUC-TRAX-NOTIFICATION-API,2,58,0.03
digital_talent,4,57,0.07
moh-iam-sf,2,56,0.04
SBC-AUTH-Service,2,56,0.04
css-job-scheduling,2,55,0.04
EDUC-GRAD-BATCH-GRADUATION-API,2,55,0.04
common-lib-vue,2,53,0.04
groundwater-level-review-report,2,49,0.04
identity-kit-configurations,2,48,0.04
aps-testing,2,48,0.04
jag-github-templates,2,45,0.04
BCP-CMS,2,42,0.05
platform-services-edb-template,2,41,0.05
jag-mail-it,2,40,0.05
EDUC-PEN-API-GATEWAY,2,38,0.05
mtc-scripts,2,35,0.06
mhsu-broker,2,35,0.06
elmsd-workbc-comms,2,34,0.06
nr-lidar-viewer,2,34,0.06
vue-test-utils-helpers,0,33,0
github-optimization,12,30,0.4
cas-onboarding,0,28,0
platform-services-requestron,2,25,0.08
dts-vc-issuer-service,13,24,0.54
platform-services-template,2,20,0.1
nr-playbook,2,14,0.13
b2b-credential-manager,0,13,0
platform-services-archeobot,2,13,0.14
cas-payment-interface,2,12,0.16
nr-flnr-ecas-processing,2,12,0.17
PECSF,2,9,0.22
cmip6-BC-eval,3,8,0.34
bcregistry-sre,2,8,0.25
jason-test-delete-me,2,8,0.25
foi-flow,2,7,0.28
