Repository,DaysOpen,IssueCount,PrCount,CommitCount,AverageIssueCountPerDay,AveragePrCountPerDay,AverageCommitCountPerDay,DefaultBranchName,Languages
wqbc,2319,104,56,778,0.04,0.02,0.34,master,R_TeX_Rebol
BC-Policy-Framework-For-GitHub,2246,20,43,186,0.01,0.02,0.08,master,
bcgroundwater,2231,19,14,256,0.01,0.01,0.11,master,R_Makefile
groundwater-levels-indicator,2231,12,5,218,0.01,0,0.1,master,R_CSS_TeX
ckanext-googleanalytics,2201,0,6,105,0,0,0.05,master,Python_JavaScript_HTML
ckanext-hierarchy,2201,0,6,36,0,0,0.02,master,Python_HTML_JavaScript_CSS
ckanext-ga-report,2201,0,13,262,0,0.01,0.12,master,JavaScript_Python_HTML_CSS
EnvReportBC,2189,3,3,87,0,0,0.04,master,R
envreportutils,2189,12,18,247,0.01,0.01,0.11,master,R_CSS
CSB-eFile,2183,0,1,7,0,0,0,master,XSLT_HTML_Shell_JavaScript
ckanext-bcgov,2168,462,405,1429,0.21,0.19,0.66,dev,Python_HTML_JavaScript_CSS
bcmaps,2150,51,45,720,0.02,0.02,0.33,master,R
dbcrss,2142,5,23,192975,0,0.01,90.06,master,Python
bc-laws-api,2092,4,11,31,0,0.01,0.01,master,XSLT
rcaaqs,2072,42,12,719,0.02,0.01,0.35,master,R
ozone-caaqs-indicator,2072,6,10,273,0,0,0.13,master,R_CSS
pm25-caaqs-indicator,2072,6,9,221,0,0,0.11,master,R_CSS
esm-server,1989,1,527,5061,0,0.26,2.54,dev,JavaScript_HTML_CSS_Groovy_Shell_Dockerfile_Batchfile
datapusher,1981,0,1,236,0,0,0.12,master,Python
ltema,1981,2,1,6,0,0,0,master,JavaScript_Python_CSS
bearmon,1981,2,2,9,0,0,0,master,JavaScript_CSS_HTML
openconsult,1954,7,4,27,0,0,0.01,master,
protected-lands-and-waters-indicator,1932,4,5,187,0,0,0.1,main,R
BCDevExchange-app,1931,0,0,1042,0,0,0.54,master,JavaScript_CSS_HTML_ApacheConf_Shell
bc-population-indicator,1905,3,4,183,0,0,0.1,master,R
data-fp,1882,12,56,220,0.01,0.03,0.12,dev,JavaScript_SCSS_HTML_Dockerfile
nrs-sparx-automation,1879,2,2,5,0,0,0,master,JavaScript
playbook,1877,0,4,259,0,0,0.14,BCDev,CSS_JavaScript_HTML_Ruby
govHackServiceCatalogue,1876,0,2,3,0,0,0,bcv1,JavaScript
guides,1874,0,1,64,0,0,0.03,bcv1,Ruby_HTML_CSS
pages,1871,0,2,140,0,0,0.07,18f-pages,Ruby_HTML_CSS
guides-template,1870,0,2,271,0,0,0.14,18f-pages,HTML_Ruby_CSS
DBC-APIM,1870,106,1,450,0.06,0,0.24,master,JavaScript_CSS_HTML
cpf,1868,67,33,513,0.04,0.02,0.27,master,Java_JavaScript_HTML_Shell_CSS_Batchfile_PLSQL_PLpgSQL_VBScript
drivebc-webcam-api,1863,2,1,3,0,0,0,master,
databc-web-map-services,1861,4,2,6,0,0,0,master,
agile-guide,1857,2,3,268,0,0,0.14,18f-pages,Ruby_CSS
digital-toolkit,1856,16,56,424,0.01,0.03,0.23,master,CSS_JavaScript_HTML_Ruby_Shell_Dockerfile
eba-guide,1855,3,5,362,0,0,0.2,18f-pages,HTML_Ruby_CSS
bcdc-devops,1848,3,5,19,0,0,0.01,master,Shell_Python
data-fp-features,1847,5,22,79,0,0.01,0.04,master,HTML_CSS
issue-aggregator,1847,3,6,13,0,0,0.01,master,JavaScript
api-specs,1821,335,57,533,0.18,0.03,0.29,master,
DevEx-Roadmap,1799,9,10,400,0.01,0.01,0.22,18f-pages,HTML_CSS_Ruby
interactive-infographic,1790,8,11,82,0,0.01,0.05,master,HTML_CSS
service-patterns,1787,4,4,3,0,0,0,master,
piwik,1777,0,2,23086,0,0,12.99,master,PHP_JavaScript_HTML_CSS_C_Shell_Smarty_Makefile_Java_ApacheConf
Gov-2.0-Bootstrap-Skeleton,1748,12,11,37,0.01,0.01,0.02,master,HTML_CSS_JavaScript
ckan,1737,0,19,15969,0,0.01,9.19,2.5.5-bcgov,Python_CSS_JavaScript_HTML_Shell_Nginx
PMO-Database,1736,2,1,1,0,0,0,master,
rems,1734,45,18,333,0.03,0.01,0.19,master,R
ckanext-geoview,1722,0,2,115,0,0,0.07,0.0.12-bcgov,JavaScript_Python_CSS_HTML
agile-labor-categories,1721,0,2,15,0,0,0.01,gh-pages,CSS_JavaScript_HTML
FGDB-Standards-Tools,1707,4,2,14,0,0,0.01,master,Python
ghg-emissions-indicator,1706,3,6,147,0,0,0.09,master,R
ols-devkit,1706,136,58,130,0.08,0.03,0.08,master,
MyGovBC-core-server,1697,0,1,51,0,0,0.03,master,JavaScript
MyGovBC-core-client,1697,0,1,291,0,0,0.17,master,CSS_JavaScript_TypeScript_HTML_Shell
MyGovBC-core-headerFooterService,1697,2,5,181,0,0,0.11,master,JavaScript_HTML_CSS_Shell
MyGovBC-notification-server,1696,42,44,725,0.02,0.03,0.43,master,JavaScript_Vue_Shell_HTML_Dockerfile
MyGovBC-widget-sharedservices-foodsafe,1696,2,1,24,0,0,0.01,master,HTML_JavaScript
MyGovBC-widget-info-template,1696,2,1,10,0,0,0.01,master,HTML_JavaScript
BCStats,1693,5,4,22,0,0,0.01,main,
WES-engagement-states,1693,25,3,131,0.01,0,0.08,master,R_Dockerfile_Shell_CSS_Rebol_Perl
simple-R-shiny,1688,16,5,136,0.01,0,0.08,master,Dockerfile_Shell_R_Perl_CSS
land-designations-indicator,1686,4,2,203,0,0,0.12,master,R
land-designations-shinyapp,1686,26,11,280,0.02,0.01,0.17,master,R_CSS
envreportbc-snippets,1682,2,5,142,0,0,0.08,master,R
climate-change-indicators-2015,1678,3,2,42,0,0,0.03,master,R
tire-recycling-indicator,1675,4,2,25,0,0,0.01,master,R
invasive-species-indicator,1673,2,2,44,0,0,0.03,master,R
update-VRI-volumes,1672,4,2,10,0,0,0.01,master,Python
cccharts,1671,41,8,398,0.02,0,0.24,master,R
mygovbc,1668,3,2,65,0,0,0.04,master,Shell
WES-demographic-profile,1665,4,1,7,0,0,0,master,R
eDivorce,1658,0,196,1861,0,0.12,1.12,master,HTML_Python_JavaScript_SCSS_Vue_Shell_CSS
designatedlands,1657,63,11,275,0.04,0.01,0.17,master,Python_PLpgSQL_Shell
mygovbc-nginx,1652,2,1,46,0,0,0.03,master,
mygovbc-foodsafe-nginx,1652,2,1,16,0,0,0.01,master,
water-quality-analysis,1645,24,4,75,0.01,0,0.05,master,R
SecurityAwareness,1645,2,4,186,0,0,0.11,master,JavaScript_CSS_HTML_Shell
MyGovBC-MSP,1637,0,656,4592,0,0.4,2.8,master,TypeScript_HTML_SCSS_JavaScript_Dockerfile_Shell
smtp-om-core,1637,2,21,11,0,0.01,0.01,master,PLSQL_SQLPL_Java
schoolbus-orig,1630,1,1,10,0,0,0.01,master,C#_JavaScript_CSS_Shell
schoolbus,1630,5,597,1547,0,0.37,0.95,master,C#_JavaScript_Mustache_SCSS_Groovy_HTML_Shell_Dockerfile
burn-severity,1625,5,2,9,0,0,0.01,master,Python
housing-data-visualization-project,1619,7,1,83,0,0,0.05,master,
ckanext-openapiviewer,1618,12,34,83,0.01,0.02,0.05,master,HTML_Python
BC-demography,1611,6,1,32,0,0,0.02,master,
smtp-om-cas-common,1605,4,38,3,0,0.02,0,master,JavaScript_PLSQL_CSS_HTML_SQLPL_Java
HelloSimon_Web,1604,0,2,2,0,0,0,master,C#
slack-dev-bot-BCGov,1601,2,1,9,0,0,0.01,master,JavaScript_CoffeeScript
Mock-Server,1597,2,7,8,0,0,0.01,master,JavaScript
Swagger-Editor,1597,3,6,11,0,0,0.01,master,JavaScript
SchemaSpy,1597,3,11,54,0,0.01,0.03,master,Dockerfile_Shell
streamflow-trends-on-multi-stats,1590,0,2,12,0,0,0.01,master,R
Swagger-Codegen-Extension,1587,3,30,62,0,0.02,0.04,master,HTML_Java_Batchfile_Shell_Scala
career-survey,1568,2,1,10,0,0,0.01,master,R
mygovbc-foodsafe,1568,2,1,29,0,0,0.02,master,Shell
hets,1567,3,1949,4456,0,1.24,2.84,master,C#_JavaScript_SCSS_PLpgSQL_Groovy_HTML_Shell_Batchfile_Dockerfile_Handlebars
MyGovBC-MSP-Service,1560,2,5,129,0,0,0.08,master,JavaScript
gwa,1560,58,2,108,0.04,0,0.07,master,
jxon,1556,0,1,88,0,0,0.06,master,JavaScript_HTML
batch-pdf-reports,1555,3,2,12,0,0,0.01,master,R
R-presentation,1548,3,3,20,0,0,0.01,master,HTML
tfrs,1547,728,1016,2486,0.47,0.66,1.61,release-1.6.24,Python_JavaScript_CSS_Shell_Groovy_SCSS_Less_Dockerfile_PLpgSQL_Go_HTML_Batchfile_Makefile
fabric.js,1547,0,1,3541,0,0,2.29,master,JavaScript_CSS_HTML_Shell
MyGovBC-CAPTCHA-Service,1546,5,11,133,0,0.01,0.09,master,TypeScript
MyGovBC-CAPTCHA-Widget,1546,5,12,98,0,0.01,0.06,master,TypeScript_HTML_SCSS_JavaScript
housing-data-challenge-ruby,1536,8,7,175,0.01,0,0.11,master,HTML_R_CSS_JavaScript_Dockerfile
