Repository,DaysOpen,IssueCount,PrCount,CommitCount,AverageIssueCountPerDay,AveragePrCountPerDay,AverageCommitCountPerDay,DefaultBranchName,Languages
ligo-lib,1535,15,17,218,0.01,0.01,0.14,master,Python_HTML_Dockerfile_Shell
kapua,1533,0,23,757,0,0.01,0.49,develop,Java_CSS_HTML_Gherkin_Shell_PowerShell_JavaScript
kura,1531,0,2,3002,0,0,1.96,develop,Java_HTML_C_Shell_JavaScript_C++_CSS_Makefile_Batchfile_Protocol Buffer_Objective-C
housing-data-challenge-exponentian,1528,3,17,82,0,0.01,0.05,master,JavaScript_CSS_HTML_Ruby
housing-data-challenge-plot-scatter,1528,3,5,18,0,0,0.01,master,Jupyter Notebook_JavaScript_CSS_HTML
housing-data-challenge-plotly,1528,4,3,54,0,0,0.04,master,R_Makefile_CSS
housing-data-challenge-foundry-spatial,1528,4,5,115,0,0,0.08,master,Vue_JavaScript_HTML_Dockerfile
BCWaterDischargeAnalysis-SampleScripts,1518,2,1,12,0,0,0.01,master,R
Oahu-UI,1514,0,2,287,0,0,0.19,master,JavaScript_CSS_HTML_Shell
gwells,1514,11,1777,8485,0.01,1.17,5.6,release,Python_Vue_JavaScript_Groovy_Shell_HTML_SCSS_Dockerfile_Makefile_CSS
oahu-api,1511,0,3,8,0,0,0.01,master,C#
oahu-dbsrv,1511,0,2,8,0,0,0.01,master,Java_Shell
kura-emulator,1510,0,4,9,0,0,0.01,master,
chart-tool,1509,0,1,391,0,0,0.26,master,JavaScript_CSS_HTML
legacy-eao-inspections-ios,1506,2,2,67,0,0,0.04,master,Swift_Objective-C_Ruby
epic-mobile-app-android,1506,2,1,2,0,0,0,master,Java
moti-iot-challenges,1505,3,2,21,0,0,0.01,master,
LTEM-sample-analyses,1501,2,2,15,0,0,0.01,master,HTML_R
moti-iot-poc,1500,0,1,10,0,0,0.01,master,JavaScript_CSS_HTML_Java_C#_Shell
sonarqube-openshift-docker,1497,0,2,5,0,0,0,master,Shell
navUnit,1480,0,0,3,0,0,0,master,Groovy
tfrs-sonar-scanner,1479,3,2,10,0,0,0.01,master,Java
dbc-kml-apps,1477,11,22,184,0.01,0.01,0.12,master,XSLT_FreeMarker_Shell
dbc-cms-vis,1472,3,18,90,0,0.01,0.06,gh-pages,HTML_CSS_JavaScript_Dockerfile
tfrs-functional-test-runner,1472,3,2,6,0,0,0,master,
SSD-methods,1464,2,1,9,0,0,0.01,master,HTML_R
csnr-dmod,1451,2,104,223,0,0.07,0.15,master,JavaScript_HTML_CSS_Java_Groovy_Shell_Dockerfile
nrs-cmdb,1441,21,33,72,0.01,0.02,0.05,master,Java_HTML_Batchfile
sbc-qsystem,1436,17,331,875,0.01,0.23,0.61,master,Java_HTML_JavaScript_PLpgSQL_CSS_Groovy_PLSQL_SQLPL_Shell_Dockerfile
openshift-openjfx,1435,0,1,54,0,0,0.04,master,Shell_Java_Makefile
agile-sdlc,1426,2,4,17,0,0,0.01,master,
eao-nginx,1421,2,22,76,0,0.02,0.05,master,
mygovbc-bootstrap-theme,1420,5,2,35,0,0,0.02,master,CSS_JavaScript
angular-scaffold,1420,12,20,165,0.01,0.01,0.12,master,Shell_TypeScript_HTML_JavaScript_Dockerfile_SCSS
eao-parse-server,1419,2,18,37,0,0.01,0.03,master,JavaScript_HTML_CSS_Dockerfile
eao-public,1416,1,320,555,0,0.23,0.39,dev,TypeScript_HTML_CSS_Groovy_Shell_JavaScript_Dockerfile
eao-public-consultation,1416,2,1,3,0,0,0,master,
dbc-j2ee-template,1412,2,1,13,0,0,0.01,master,
gw-licensing-transition-summary,1406,3,9,262,0,0.01,0.19,master,R
service-patterns-temp,1401,3,1,11,0,0,0.01,master,
ligo,1400,3,5,176,0,0,0.13,master,Python_HTML_JavaScript_Shell_CSS_SCSS_Dockerfile
FASSTX,1398,3,2,48,0,0,0.03,master,
shinyhydat,1398,5,10,87,0,0.01,0.06,master,R
mem-admin,1393,3,317,4520,0,0.23,3.24,dev,JavaScript_HTML_CSS_Groovy_Shell_Dockerfile_Batchfile
mem-mmti,1393,2,49,4223,0,0.04,3.03,master,JavaScript_HTML_CSS_Shell_Batchfile
eao-geo-service,1392,2,4,17,0,0,0.01,master,JavaScript
mem-geo-service,1386,2,4,30,0,0,0.02,master,JavaScript
mem-nginx,1385,2,9,50,0,0.01,0.04,master,
mem-mmti-public,1385,4,348,741,0,0.25,0.53,BCMI-V2,TypeScript_HTML_Groovy_SCSS_JavaScript_Shell
nifi-atlas,1384,4,22,38,0,0.02,0.03,master,Java_HTML_Dockerfile_Shell
namer,1380,2,13,62,0,0.01,0.04,master,Python_TypeScript_JavaScript_HTML_CSS_Dockerfile
bcgovr,1372,38,24,606,0.03,0.02,0.44,master,R
angular-scaffold-captcha,1370,3,2,19,0,0,0.01,master,TypeScript_HTML_JavaScript_Shell_CSS
agri-nmp,1370,4,555,2800,0,0.4,2.04,master,C#_HTML_JavaScript_CSS_Shell_Groovy_Batchfile_PowerShell_Dockerfile
sm-bridge-service,1368,2,3,38,0,0,0.03,master,JavaScript_HTML
von,1364,251,120,330,0.18,0.09,0.24,master,
bc-raster-roads,1357,3,5,107,0,0,0.08,master,R
IM-Report-GBears,1357,2,1,30,0,0,0.02,master,R
CANSIM-dataviewer,1357,4,1,154,0,0,0.11,master,R
prime-web,1343,2,29,1643,0,0.02,1.22,master,TypeScript_HTML_CSS_JavaScript_Shell_Dockerfile
MyGovBC-ServiceProviderTools,1337,2,1,32,0,0,0.02,master,Shell
water-quality-analysis-northeastbc,1329,3,3,59,0,0,0.04,master,R
hydrolook,1322,14,10,147,0.01,0.01,0.11,master,R_TeX
TheOrgBook,1310,314,576,2578,0.24,0.44,1.97,master,Python_TypeScript_HTML_Shell_SCSS_JavaScript_Dockerfile
openshift-postgresql-oracle_fdw,1309,2,9,119,0,0.01,0.09,master,Dockerfile_Shell_Python
NatureServe-GBPU-Ranking,1308,2,1,6,0,0,0,master,R
ocp-sso,1307,261,59,165,0.2,0.05,0.13,master,Java_JavaScript_Shell_FreeMarker_Groovy_CSS_Dockerfile
s2i-ruby-nodejs,1304,2,1,18,0,0,0.01,master,Shell_Makefile
jekyll-barebones,1304,2,9,20,0,0.01,0.02,master,CSS_Shell_JavaScript_HTML_Python_Ruby
ckanext-galileo,1303,0,1,6,0,0,0,master,Python
WES-NLP-tool,1302,6,1,7,0,0,0.01,master,Python
HectaresBC,1300,13,1,1,0.01,0,0,master,
bootstrap-theme,1293,9,13,156,0.01,0.01,0.12,master,CSS_Ruby_HTML_JavaScript_Shell
quickstart,1293,0,10,1754,0,0.01,1.36,11.x,JavaScript_Java_CSS_HTML_Shell_Batchfile_GLSL
roadless-areas-indicator,1292,6,4,195,0,0,0.15,master,R_CSS
child-support-lookup-tool,1289,2,5,8,0,0,0.01,master,JavaScript_CSS_HTML
bcmapsdata,1280,12,10,155,0.01,0.01,0.12,master,R
drat,1279,6,5,62,0,0,0.05,gh-pages,
fasstr,1270,53,26,724,0.04,0.02,0.57,master,R
openshift-solr,1266,0,8,34,0,0.01,0.03,master,Shell
von-connector,1266,1,4,14,0,0,0.01,master,Python_Shell
von-network,1261,46,94,425,0.04,0.07,0.34,master,Python_HTML_Shell_JavaScript_CSS_Dockerfile
s2i-nginx,1261,0,1,93,0,0,0.07,master,Shell_HTML_Makefile
getting_started_with_R,1260,5,1,31,0,0,0.02,master,
WES-results-visualization,1251,5,1,10,0,0,0.01,master,R
nrts-prc-public,1246,3,426,947,0,0.34,0.76,master,TypeScript_SCSS_HTML_JavaScript_Shell_Dockerfile
forest-management-indicators,1245,2,3,75,0,0,0.06,master,R
gcpe-news-api-client,1240,2,62,214,0,0.05,0.17,master,Shell_C#_JavaScript_Batchfile
ssdtools,1240,112,68,698,0.09,0.05,0.56,master,R_C++_TeX
bcgov-data-science-resources,1238,6,3,11,0,0,0.01,master,
Family-Protection-Order,1237,2,82,537,0,0.07,0.43,master,TypeScript_HTML_Python_Shell_SCSS_JavaScript_Dockerfile
greenlight,1235,76,187,835,0.06,0.15,0.68,master,TypeScript_Shell_HTML_Python_SCSS_JavaScript_CSS_Dockerfile
esm-admin,1233,2,14,4616,0,0.01,3.74,master,JavaScript_HTML_CSS_Shell_Batchfile
secure-image-android,1227,4,5,209,0,0,0.17,master,Kotlin_Dockerfile
secure-image-ios,1227,1,33,183,0,0.03,0.15,master,Swift_Shell_Ruby
jag-shuber-frontend,1226,1,227,1895,0,0.19,1.54,master,TypeScript_CSS_JavaScript_Shell_Groovy_HTML_Dockerfile
jag-shuber-api,1226,0,123,919,0,0.1,0.75,master,TypeScript_TSQL_Shell_HTML_Batchfile_Groovy_JavaScript_Dockerfile
secure-image-api,1225,1,17,285,0,0.01,0.23,master,JavaScript_HTML_CSS_Dockerfile_Shell
nrts-prc-api,1224,3,248,453,0,0.2,0.37,master,JavaScript
air-monitoring-visualization,1220,4,1,27,0,0,0.02,master,JavaScript_HTML_CSS
gcpe-news-media-proxy,1220,2,49,110,0,0.04,0.09,develop,C#_Shell_HTML
nrts-prc-admin,1219,3,396,918,0,0.32,0.75,master,TypeScript_SCSS_HTML_JavaScript_Shell_Dockerfile
splunk-forwarder,1219,2,1,113,0,0,0.09,master,JavaScript
mobile-authentication-ios,1203,6,6,19,0,0,0.02,master,Swift_Ruby_Objective-C
mobile-authentication-android,1203,2,1,25,0,0,0.02,master,Kotlin
mobile-authentication-js,1203,2,1,1,0,0,0,master,
bc-aquifer-dashboard,1203,30,4,178,0.02,0,0.15,master,JavaScript_CSS_HTML
smk-legacy-ui,1197,211,96,782,0.18,0.08,0.65,master,Java_JavaScript_HTML_CSS_SCSS_Groovy_Dockerfile_Shell
smk-datastore,1192,0,1,4,0,0,0,master,
gcpe-news-webapp,1191,2,548,888,0,0.46,0.75,develop,JavaScript_CSS_HTML_C#_PowerShell_Groovy_Shell_TypeScript_Batchfile
name-examination,1189,891,382,900,0.75,0.32,0.76,master,JavaScript_Vue_CSS_Groovy_Gherkin_HTML_Stylus_Shell
canwqdata,1184,2,2,78,0,0,0.07,master,R
shinyssdtools,1170,56,30,332,0.05,0.03,0.28,master,HTML_R_TeX_CSS
range-ios,1167,19,147,595,0.02,0.13,0.51,master,Swift_Ruby_Shell
range-web,1167,501,436,2636,0.43,0.37,2.26,dev,JavaScript_Less_SCSS_HTML_Shell_Python_Dockerfile
indy-sdk,1160,0,14,7495,0,0.01,6.46,master,Rust_HTML_Java_C#_Python_Objective-C++_Objective-C_C_Shell_TypeScript_JavaScript_CSS_C++_Groovy_Ruby_Dockerfile_Makefile_CMake_Swift
wqindex,1154,6,3,638,0.01,0,0.55,master,R_TeX
GDX-Analytics,1150,2,332,1570,0,0.29,1.36,master,Python_JavaScript_Shell_Raku
http-did-auth-proxy,1149,2,5,11,0,0,0.01,master,Java_Dockerfile_Shell
jag-efiling-hub,1147,2,25,166,0,0.02,0.14,master,Java_JavaScript_Shell_Dockerfile
jag-efiling-frontend,1147,2,209,887,0,0.18,0.77,master,JavaScript_CSS_Shell_HTML_Dockerfile
jag-efiling-api,1147,2,50,304,0,0.04,0.26,master,JavaScript_TSQL_HTML_Shell
jag-lcrb-carla-public,1143,3,3132,16837,0,2.74,14.72,develop,C#_HTML_TypeScript_Gherkin_Mustache_Python_Shell_SCSS_JavaScript_Dockerfile_CSS_Groovy_Makefile_Batchfile
gcpe-news-archive,1142,2,12,20,0,0.01,0.02,develop,CSS_HTML_C#_TypeScript_JavaScript_Shell
did-auth-relying-party,1137,3,4,19,0,0,0.02,master,Java_Dockerfile_Shell
did-auth-extension,1136,3,2,12,0,0,0.01,master,JavaScript_HTML
eao-inspections-web,1129,4,78,460,0,0.07,0.41,master,TypeScript_HTML_CSS_JavaScript_Makefile_Dockerfile
GDX-Analytics-Looker-Snowplow-Web-Block,1119,2,234,776,0,0.21,0.69,master,LookML
grizzly-bear-IUCN-threats,1114,2,2,31,0,0,0.03,master,R
clus,1105,33,119,2041,0.03,0.11,1.85,master,HTML_R_Python_PLpgSQL_Java_JavaScript_TeX_Dockerfile_CSS
clamav,1100,3,7,21,0,0.01,0.02,master,Dockerfile
workforce-profile-tool,1097,129,26,501,0.12,0.02,0.46,master,TypeScript_SCSS_Shell_HTML_JavaScript
mds,1092,8,1707,2280,0.01,1.56,2.09,develop,JavaScript_Python_Groovy_PLpgSQL_SCSS_C#_Shell_Dockerfile_Makefile_HTML_PowerShell_Mako
student-outcomes-dataviz,1092,4,2,8,0,0,0.01,master,R_CSS
msw-disposal-indicator,1090,16,4,127,0.01,0,0.12,master,R_CSS
namex-solr,1083,2,4,21,0,0,0.02,master,Shell_Dockerfile
bc-hydrometric-dashboard,1081,8,6,16,0.01,0.01,0.01,master,
Skeena-CE-Grizzly,1077,2,1,10,0,0,0.01,master,R
namex,1073,23,1036,2237,0.02,0.96,2.08,master,HTML_Python_PLSQL_Makefile_Jupyter Notebook_Groovy_JavaScript_Shell_Dockerfile_Mako
queue-management,1073,9,561,2391,0.01,0.52,2.23,master,Vue_Python_TypeScript_JavaScript_Groovy_Shell_CSS_HTML_Dockerfile_SCSS_Makefile_Batchfile_Mako
GDX-Analytics-Looker-cfms_block,1073,2,159,408,0,0.15,0.38,master,LookML
moh-fpcare,1072,0,79,533,0,0.07,0.5,master,TypeScript_HTML_SCSS_Shell_JavaScript_Dockerfile
intro-to-tidyhydat-and-tidyverse,1072,6,2,111,0.01,0,0.1,master,
field-inspection-app-ios,1069,10,31,163,0.01,0.03,0.15,master,Swift_Objective-C_Ruby
field-inspection-app-android,1069,2,2,2,0,0,0,master,Kotlin
prime-session,1065,2,3,33,0,0,0.03,master,HTML_Python_Shell
nbcclim,1065,4,4,110,0,0,0.1,master,R_CSS_JavaScript
gwa-ip-anonymity,1058,6,10,39,0.01,0.01,0.04,master,Lua_Shell
gwa-ui,1057,5,33,275,0,0.03,0.26,master,Java_TypeScript_HTML_CSS_JavaScript_Dockerfile
gwa-kong-endpoint,1057,5,8,45,0,0.01,0.04,master,Lua_Shell
dbc-pylib,1056,2,34,106,0,0.03,0.1,master,Python
argg-api,1056,9,13,41,0.01,0.01,0.04,master,Python_Dockerfile
argg-ui,1056,14,22,79,0.01,0.02,0.07,master,TypeScript_HTML_JavaScript_Dockerfile_CSS
ols-router,1055,268,45,312,0.25,0.04,0.3,dev,Java_CSS_Dockerfile
mwslds,1051,2,38,250,0,0.04,0.24,master,JavaScript_CSS_HTML
GDX-Analytics-Looker-Redshift_Admin_By_AWS,1051,2,6,25,0,0.01,0.02,master,LookML
devhub-signing-agent,1049,7,40,224,0.01,0.04,0.21,master,JavaScript_Shell
devhub-signing-api,1049,3,35,352,0,0.03,0.34,master,JavaScript_Shell_Dockerfile
devhub-signing-web,1049,9,56,247,0.01,0.05,0.24,master,JavaScript_CSS_Groovy_HTML_Dockerfile_Shell
prime-oauth,1045,2,1,8,0,0,0.01,master,JavaScript
sp2s3,1035,3,5,31,0,0,0.03,master,JavaScript_Dockerfile
kirk,1030,3,51,209,0,0.05,0.2,master,Python_Smarty_Dockerfile
von-bc-registries-agent,1026,75,207,883,0.07,0.2,0.86,master,Python_Shell_Dockerfile_CSS_Makefile_JavaScript
geometr,1024,7,5,40,0.01,0,0.04,master,R
SecNewsFeedReader,1023,1,2,4,0,0,0,master,Python_JavaScript_CSS_HTML_Tcl_PowerShell_Batchfile
env-moosetracker-android,1022,2,4,17,0,0,0.02,master,Java_PostScript
env-moosetracker-ios,1022,5,5,29,0,0,0.03,master,Objective-C_Ruby_C
servicebc,1021,2,2,1,0,0,0,master,
common-nodejs-utils,1021,10,18,79,0.01,0.02,0.08,master,JavaScript
gcpe-azure-sample,1021,2,3,74,0,0,0.07,master,TypeScript_C#_HTML_CSS_JavaScript
representation-grant,1004,2,39,368,0,0.04,0.37,master,TypeScript_HTML_JavaScript_Python_Shell_SCSS_Dockerfile
pssg-cscp-vsd,1004,2,239,1010,0,0.24,1.01,development,C#_TypeScript_HTML_SCSS_Shell_Groovy_JavaScript_Dockerfile_Batchfile
BCwebcheck,999,1,1,3,0,0,0,master,Python_JavaScript_HTML_CSS_Tcl_PowerShell_Batchfile
SecNewsFeedReader-Drupal,999,2,7,79,0,0.01,0.08,master,Dockerfile
moh-oauth,996,2,1,1,0,0,0,master,
smk,988,62,39,868,0.06,0.04,0.88,master,JavaScript_HTML_CSS_Shell_Scheme
snow-dur-analysis,987,3,2,96,0,0,0.1,master,R
bcgov-sso-theme,982,1,5,13,0,0.01,0.01,master,CSS_Dockerfile
smk-bcparks,981,6,7,39,0.01,0.01,0.04,qa,CSS_HTML
smk-moh,980,2,78,179,0,0.08,0.18,qa,JavaScript_CSS_HTML
RasterLandCover,978,2,1,2,0,0,0,master,R
gcpe-NRMS-frontend,978,2,36,37,0,0.04,0.04,develop,TypeScript_HTML_CSS_Shell_JavaScript_Dockerfile
gcpe-NRMS-api,978,2,11,22,0,0.01,0.02,develop,C#_Shell
jag-scheduling-hub,968,2,21,53,0,0.02,0.05,master,Java_Shell
kq-ui,966,25,20,78,0.03,0.02,0.08,master,TypeScript_HTML_JavaScript_CSS_Dockerfile
kq-api,966,2,11,54,0,0.01,0.06,master,Python_Dockerfile
sbc-mcap,959,2,2,267,0,0,0.28,master,HTML_CSS_JavaScript_Shell
scj-online-booking-system,954,3,1,3,0,0,0,master,
ldf_drf_db_comments,954,2,4,15,0,0,0.02,master,Python
range-api,951,65,196,1710,0.07,0.21,1.8,dev,JavaScript_HTML_Makefile_Dockerfile_Shell
devhub-app-web,951,683,887,2599,0.72,0.93,2.73,master,JavaScript_Shell_CSS_HTML_Dockerfile
OCWA,950,146,173,1859,0.15,0.18,1.95,master,JavaScript_Groovy_Python_Shell_HCL_Gherkin_CSS_HTML_Smarty_Dockerfile_TypeScript_Rust_Pug_SCSS
common-ui-components,943,1,4,14,0,0,0.01,master,JavaScript_CSS
repomountie,933,55,77,539,0.06,0.08,0.58,master,TypeScript_JavaScript_Shell
common-web-utils,932,19,34,73,0.02,0.04,0.08,master,JavaScript
spa-env-server,925,2,6,40,0,0.01,0.04,master,JavaScript
design-system,924,156,110,1150,0.17,0.12,1.24,master,HTML_CSS
bcgov-useR,923,4,8,42,0,0.01,0.05,master,R
bowron-ssn,918,2,2,25,0,0,0.03,master,R
scheduler,917,0,1,78,0,0,0.09,master,JavaScript
jag-pill-press-registry,915,2,292,750,0,0.32,0.82,master,C#_HTML_TypeScript_CSS_Shell_JavaScript_Batchfile
gcpe-news-dashboard,911,2,397,424,0,0.44,0.47,develop,TypeScript_HTML_SCSS_Shell_JavaScript_Dockerfile
