"repository","owner","name_with_owner","url","homepage_url","description","stars","forks","disk_usage","is_fork","is_mirror","is_private","is_archived","is_template","has_issues_enabled","has_projects_enabled","has_wiki_enabled","merge_commit_allowed","rebase_merge_allowed","squash_merge_allowed","created_at","updated_at","pushed_at"
"ckanext-bcgov","bcgov","bcgov/ckanext-bcgov","https://github.com/bcgov/ckanext-bcgov","http://catalogue.data.gov.bc.ca","BC Data Catalogue source code, main ckan extension ","20","20","23909","false","false","false","false","false","true","true","true","true","true","true","2015-05-15T19:49:55Z","2021-05-05T15:17:07Z","2021-05-05T15:17:06Z"
"bcmaps","bcgov","bcgov/bcmaps","https://github.com/bcgov/bcmaps","","An R package of map layers for British Columbia","50","14","286012","false","false","false","false","false","true","true","true","true","true","true","2015-06-02T17:51:25Z","2021-04-09T05:45:31Z","2021-04-09T05:45:35Z"
"dbcrss","bcgov","bcgov/dbcrss","https://github.com/bcgov/dbcrss","https://uptime.apps.gov.bc.ca","DataBC Application Feeds Service","3","6","1061623","false","false","false","false","false","true","true","true","true","true","true","2015-06-10T21:42:29Z","2020-12-15T22:40:44Z","2021-03-29T00:36:48Z"
"bc-laws-api","bcgov","bcgov/bc-laws-api","https://github.com/bcgov/bc-laws-api","","","4","6","6600","false","false","false","false","false","true","true","true","true","true","true","2015-07-30T20:44:53Z","2018-03-20T15:39:36Z","2020-01-17T00:32:48Z"
"rcaaqs","bcgov","bcgov/rcaaqs","https://github.com/bcgov/rcaaqs","","An R package to facilitate the calculation of air quality metrics according to Canadian Ambient Air Quality Standards","11","4","8812","false","false","false","false","false","true","true","true","true","true","true","2015-08-19T22:46:42Z","2021-05-03T22:49:53Z","2021-05-03T22:49:50Z"
"ozone-caaqs-indicator","bcgov","bcgov/ozone-caaqs-indicator","https://github.com/bcgov/ozone-caaqs-indicator","","R scripts to calculate the Canadian Ambient Air Quality Standards (CAAQS) for Ozone for B.C. published on Environmental Reporting BC","6","4","1173","false","false","false","false","false","true","true","true","true","true","true","2015-08-19T22:54:10Z","2021-04-13T20:31:39Z","2021-04-13T20:32:31Z"
"pm25-caaqs-indicator","bcgov","bcgov/pm25-caaqs-indicator","https://github.com/bcgov/pm25-caaqs-indicator","","R scripts to calculate the Canadian Ambient Air Quality Standards (CAAQS) for fine particulate matter (PM2.5) for B.C. published on Environmental Reporting BC","8","5","194","false","false","false","false","false","true","true","true","true","true","true","2015-08-19T22:58:23Z","2021-04-13T20:37:56Z","2021-05-06T23:59:02Z"
"esm-server","bcgov","bcgov/esm-server","https://github.com/bcgov/esm-server","","A Project of the Environmental Assessment Office","7","23","15041","false","false","false","true","false","true","true","true","true","true","true","2015-11-10T21:19:18Z","2020-01-06T19:41:58Z","2019-09-23T05:58:53Z"
"datapusher","bcgov","bcgov/datapusher","https://github.com/bcgov/datapusher","http://docs.ckan.org/projects/datapusher","A standalone web service that pushes data files from a CKAN site's resources into its DataStore","0","0","560","true","false","false","true","false","false","false","false","true","true","true","2015-11-18T19:21:31Z","2018-06-28T00:14:46Z","2016-07-28T18:38:12Z"
"ltema","bcgov","bcgov/ltema","https://github.com/bcgov/ltema","","","0","1","3195","false","false","false","false","false","true","true","true","true","true","true","2015-11-18T23:18:42Z","2016-04-22T21:23:14Z","2020-01-17T00:27:30Z"
"bearmon","bcgov","bcgov/bearmon","https://github.com/bcgov/bearmon","","Bear Monitoring App","0","1","3842","false","false","false","false","false","true","true","true","true","true","true","2015-11-18T23:19:23Z","2020-07-30T12:31:26Z","2020-01-17T00:34:45Z"
"openconsult","bcgov","bcgov/openconsult","https://github.com/bcgov/openconsult","","","6","3","33","false","false","false","false","false","true","true","true","true","true","true","2015-12-16T00:33:38Z","2018-06-15T14:35:43Z","2020-01-17T00:33:51Z"
"protected-lands-and-waters-indicator","bcgov","bcgov/protected-lands-and-waters-indicator","https://github.com/bcgov/protected-lands-and-waters-indicator","","R scripts for an indicator summarising protected lands and waters in B.C. published on Environmental Reporting BC","7","1","7842","false","false","false","false","false","true","true","true","true","true","true","2016-01-07T00:34:16Z","2021-01-25T22:22:48Z","2021-05-06T23:47:15Z"
"BCDevExchange-app","bcgov","bcgov/BCDevExchange-app","https://github.com/bcgov/BCDevExchange-app","http://bcdevexchange.org","The BCDevExchange website is the public facing site for the BC Developers' Exchange - an experiment in tech innovation and collaboration.","2","0","5544","true","false","false","true","false","false","true","true","true","true","true","2016-01-07T21:33:56Z","2017-12-01T00:24:37Z","2016-01-07T01:17:15Z"
"bc-population-indicator","bcgov","bcgov/bc-population-indicator","https://github.com/bcgov/bc-population-indicator","","R scripts for an indicator on trends in B.C.'s population size & distribution published on Environmental Reporting BC","12","2","152","false","false","false","false","false","true","true","true","true","true","true","2016-02-02T22:53:34Z","2020-12-16T23:20:53Z","2020-12-16T23:20:50Z"
"data-fp","bcgov","bcgov/data-fp","https://github.com/bcgov/data-fp","","Data Showcase for BCGOV Data based on Jekyll","3","4","7585","false","false","false","false","false","true","true","true","true","true","true","2016-02-25T21:20:44Z","2020-10-21T23:38:28Z","2021-01-25T17:17:37Z"
"nrs-sparx-automation","bcgov","bcgov/nrs-sparx-automation","https://github.com/bcgov/nrs-sparx-automation","","","0","2","19","false","false","false","false","false","true","true","true","true","true","true","2016-02-29T17:05:51Z","2016-04-22T22:34:50Z","2020-01-17T00:30:45Z"
"playbook","bcgov","bcgov/playbook","https://github.com/bcgov/playbook","http://playbook.cio.gov","The U.S. Digital Services Playbook","1","1","3754","true","false","false","false","false","false","true","false","true","true","true","2016-03-01T22:55:46Z","2016-04-21T04:10:29Z","2020-01-17T00:56:46Z"
"govHackServiceCatalogue","bcgov","bcgov/govHackServiceCatalogue","https://github.com/bcgov/govHackServiceCatalogue","","Government Services Catalogue (For govHack)","0","0","257","true","false","false","false","false","false","true","true","true","true","true","2016-03-03T15:05:58Z","2016-03-03T15:05:59Z","2020-01-17T00:56:25Z"
"guides","bcgov","bcgov/guides","https://github.com/bcgov/guides","http://pages.18f.gov/guides","A collection of 18F guides.","0","0","3745","true","false","false","false","false","false","true","true","true","true","true","2016-03-04T21:42:29Z","2016-03-04T21:42:32Z","2020-01-17T00:47:52Z"
"pages","bcgov","bcgov/pages","https://github.com/bcgov/pages","https://pages.18f.gov","Publishing platform for 18F sites a la GitHub pages","0","0","96","true","false","false","false","false","false","true","false","true","true","true","2016-03-07T23:58:45Z","2016-03-07T23:58:46Z","2020-01-17T00:33:57Z"
"guides-template","bcgov","bcgov/guides-template","https://github.com/bcgov/guides-template","https://pages.18f.gov/guides-template/","Jekyll template for 18F Guides, based on CFPB/DOCter","0","2","2773","true","false","false","false","false","false","true","true","true","true","true","2016-03-08T21:17:08Z","2016-03-31T22:39:26Z","2020-01-17T00:47:58Z"
"DBC-APIM","bcgov","bcgov/DBC-APIM","https://github.com/bcgov/DBC-APIM","","DataBC OPEN API Services","0","0","11864","true","false","false","false","false","true","true","true","true","true","true","2016-03-08T22:53:21Z","2020-07-31T17:01:12Z","2020-01-17T00:38:24Z"
"cpf","bcgov","bcgov/cpf","https://github.com/bcgov/cpf","https://bcgov.github.io/cpf/","Concurrent Processing Framework","1","2","180509","false","false","false","false","false","true","true","true","true","true","true","2016-03-11T00:42:30Z","2021-04-15T20:26:12Z","2021-04-15T20:26:07Z"
"drivebc-webcam-api","bcgov","bcgov/drivebc-webcam-api","https://github.com/bcgov/drivebc-webcam-api","","","2","0","9","false","false","false","false","false","true","true","true","true","true","true","2016-03-15T21:17:30Z","2016-05-27T01:31:04Z","2020-01-17T00:40:56Z"
"databc-web-map-services","bcgov","bcgov/databc-web-map-services","https://github.com/bcgov/databc-web-map-services","","","1","2","17","false","false","false","true","false","true","true","true","true","true","true","2016-03-17T20:52:45Z","2021-01-03T19:09:30Z","2020-01-17T00:38:26Z"
"agile-guide","bcgov","bcgov/agile-guide","https://github.com/bcgov/agile-guide","","can be deleted, incorporated into digital-toolkit (Caution: agile-sdlc refers to this)","0","3","1545","false","false","false","false","false","true","true","true","true","true","true","2016-03-21T22:30:08Z","2020-05-25T22:53:07Z","2021-01-11T19:23:08Z"
"digital-toolkit","bcgov","bcgov/digital-toolkit","https://github.com/bcgov/digital-toolkit","https://digital-toolkit.pathfinder.gov.bc.ca/","The BCGov Digital Toolkit is the reference repository for digital best practices across our teams","6","4","7452","false","false","false","false","false","true","true","true","true","true","true","2016-03-22T17:55:42Z","2019-09-11T21:30:50Z","2020-01-17T00:41:04Z"
"eba-guide","bcgov","bcgov/eba-guide","https://github.com/bcgov/eba-guide","","ensure this is not the only copy of clickable; else can be deleted, incorporated into digital-toolkit","0","2","7212","false","false","false","false","false","true","true","true","true","true","true","2016-03-23T22:19:11Z","2020-05-25T22:54:35Z","2021-01-11T19:18:19Z"
"bcdc-devops","bcgov","bcgov/bcdc-devops","https://github.com/bcgov/bcdc-devops","","Developer Template for BCDC","1","1","33","false","false","false","false","false","true","true","true","true","true","true","2016-03-30T20:28:11Z","2020-07-21T22:06:17Z","2020-07-21T22:06:14Z"
"data-fp-features","bcgov","bcgov/data-fp-features","https://github.com/bcgov/data-fp-features","","carousel content for data-fp","1","3","103","false","false","false","false","false","true","true","true","true","true","true","2016-03-31T21:31:55Z","2020-10-21T15:34:02Z","2020-10-21T15:33:58Z"
"issue-aggregator","bcgov","bcgov/issue-aggregator","https://github.com/bcgov/issue-aggregator","","","0","1","30","false","false","false","false","false","true","true","true","true","true","true","2016-03-31T22:13:59Z","2016-03-31T22:47:41Z","2020-01-17T00:50:13Z"
"api-specs","bcgov","bcgov/api-specs","https://github.com/bcgov/api-specs","https://catalogue.data.gov.bc.ca/group/bc-government-api-registry","[OpenAPI Specification](https://github.com/OAI/OpenAPI-Specification/blob/master/versions/3.0.1.md) Repository","16","18","1332","false","false","false","false","false","true","true","true","true","true","true","2016-04-26T18:17:42Z","2021-04-15T20:27:53Z","2021-04-15T20:27:51Z"
"DevEx-Roadmap","bcgov","bcgov/DevEx-Roadmap","https://github.com/bcgov/DevEx-Roadmap","","Repo containing the roadmap for the BC Developers' Exchange.","1","5","2888","false","false","false","false","false","true","true","true","true","true","true","2016-05-18T21:04:39Z","2017-06-15T16:55:27Z","2020-01-17T00:39:47Z"
"interactive-infographic","bcgov","bcgov/interactive-infographic","https://github.com/bcgov/interactive-infographic","","","2","4","13806","false","false","false","false","false","true","true","true","true","true","true","2016-05-27T22:32:11Z","2017-08-11T15:37:13Z","2020-01-17T00:50:28Z"
"service-patterns","bcgov","bcgov/service-patterns","https://github.com/bcgov/service-patterns","","TBD","2","1","81","false","false","false","false","false","true","true","true","true","true","true","2016-05-30T21:08:53Z","2016-06-03T18:00:24Z","2020-01-17T00:57:19Z"
"piwik","bcgov","bcgov/piwik","https://github.com/bcgov/piwik","http://piwik.org/","Liberating Web Analytics. Star us on Github? +1. Piwik is the leading open alternative to Google Analytics that gives you full control over your data. Piwik lets you easily collect data from websites, apps & the IoT and visualise this data and extract insights. Privacy is built-in. We love Pull Requests! ","0","0","153443","true","false","false","true","false","false","true","true","true","true","true","2016-06-09T20:32:55Z","2019-02-12T20:43:48Z","2019-02-07T02:07:23Z"
"Gov-2.0-Bootstrap-Skeleton","bcgov","bcgov/Gov-2.0-Bootstrap-Skeleton","https://github.com/bcgov/Gov-2.0-Bootstrap-Skeleton","","An HTML5/CSS3/Bootstrap skeleton to accompany the gov.bc.ca. Developer's Guide.","9","9","2406","false","false","false","false","false","true","true","true","true","true","true","2016-07-08T19:21:24Z","2021-02-17T10:11:41Z","2020-01-17T00:57:04Z"
"ckan","bcgov","bcgov/ckan","https://github.com/bcgov/ckan","http://ckan.org/","CKAN is an open-source DMS (data management system) for powering data hubs and data portals. CKAN makes it easy to publish, share and use data. It powers datahub.io, catalog.data.gov and data.gov.uk among many other sites.","0","2","115924","true","false","false","true","false","false","false","false","true","true","true","2016-07-19T23:19:37Z","2018-06-28T00:15:22Z","2018-01-05T23:49:32Z"
"PMO-Database","bcgov","bcgov/PMO-Database","https://github.com/bcgov/PMO-Database","","An Access DB for contract and cost management","0","0","4","false","false","false","false","false","true","true","true","true","true","true","2016-07-20T20:39:52Z","2016-07-20T20:39:52Z","2020-01-17T00:34:39Z"
"rems","bcgov","bcgov/rems","https://github.com/bcgov/rems","","An R package to access data from British Columbia's Environmental Monitoring System","17","4","1461","false","false","false","false","false","true","true","true","true","true","true","2016-07-23T00:03:38Z","2021-04-14T23:25:41Z","2021-04-14T23:26:07Z"
"ckanext-geoview","bcgov","bcgov/ckanext-geoview","https://github.com/bcgov/ckanext-geoview","","CKAN Geospatial ResourceView","0","0","2562","true","false","false","true","false","false","false","false","true","true","true","2016-08-04T16:20:27Z","2019-06-04T00:05:03Z","2017-06-15T17:53:54Z"
"agile-labor-categories","bcgov","bcgov/agile-labor-categories","https://github.com/bcgov/agile-labor-categories","https://pages.18f.gov/agile-labor-categories/","","0","0","3738","true","false","false","false","false","false","true","true","true","true","true","2016-08-04T18:46:50Z","2016-08-04T18:46:51Z","2020-01-17T00:54:55Z"
"FGDB-Standards-Tools","bcgov","bcgov/FGDB-Standards-Tools","https://github.com/bcgov/FGDB-Standards-Tools","https://www2.gov.bc.ca/assets/gov/data/geographic/bcgw/file_geodatabase_standards.pdf","File Geodatabas Standards Tools","1","0","72","false","false","false","false","false","true","true","true","true","true","true","2016-08-19T00:12:50Z","2021-01-03T19:11:32Z","2020-12-15T16:28:46Z"
"ghg-emissions-indicator","bcgov","bcgov/ghg-emissions-indicator","https://github.com/bcgov/ghg-emissions-indicator","","R scripts for a GHG emissions indicator published on Environmental Reporting BC","4","0","376","false","false","false","false","false","true","true","true","true","true","true","2016-08-19T21:03:41Z","2021-04-12T22:42:42Z","2021-04-13T00:03:09Z"
"ols-devkit","bcgov","bcgov/ols-devkit","https://github.com/bcgov/ols-devkit","","Developer Tool Kit using Province Physical Address Geocoder Web Service","3","4","958","false","false","false","false","false","true","true","false","true","true","true","2016-08-19T23:46:57Z","2021-05-04T15:17:58Z","2021-05-04T15:17:54Z"
"MyGovBC-core-server","bcgov","bcgov/MyGovBC-core-server","https://github.com/bcgov/MyGovBC-core-server","","","0","0","36","false","false","false","true","false","true","true","true","true","true","true","2016-08-29T16:46:54Z","2019-02-04T23:15:44Z","2019-02-04T23:11:39Z"
"MyGovBC-core-client","bcgov","bcgov/MyGovBC-core-client","https://github.com/bcgov/MyGovBC-core-client","","","1","2","636","false","false","false","true","false","true","true","true","true","true","true","2016-08-29T17:03:15Z","2020-01-22T22:08:09Z","2020-01-17T00:29:09Z"
"MyGovBC-core-headerFooterService","bcgov","bcgov/MyGovBC-core-headerFooterService","https://github.com/bcgov/MyGovBC-core-headerFooterService","","https://gov.bc.ca header footer as a service","0","0","4884","false","false","false","false","false","true","true","true","true","true","true","2016-08-29T17:27:53Z","2020-01-17T00:46:54Z","2021-05-07T20:42:06Z"
"MyGovBC-notification-server","bcgov","bcgov/MyGovBC-notification-server","https://github.com/bcgov/MyGovBC-notification-server","","A versatile notification API server","4","8","3424","false","false","false","true","false","true","true","false","true","true","true","2016-08-29T17:38:46Z","2021-03-30T18:12:25Z","2021-03-30T18:12:00Z"
"MyGovBC-widget-sharedservices-foodsafe","bcgov","bcgov/MyGovBC-widget-sharedservices-foodsafe","https://github.com/bcgov/MyGovBC-widget-sharedservices-foodsafe","","","0","0","61","false","false","false","false","false","true","true","true","true","true","true","2016-08-29T18:28:41Z","2016-08-29T18:29:36Z","2020-01-17T00:29:51Z"
"MyGovBC-widget-info-template","bcgov","bcgov/MyGovBC-widget-info-template","https://github.com/bcgov/MyGovBC-widget-info-template","","","0","0","11","false","false","false","false","false","true","true","true","true","true","true","2016-08-29T18:32:00Z","2016-08-29T18:32:33Z","2020-01-17T00:29:29Z"
"BCStats","bcgov","bcgov/BCStats","https://github.com/bcgov/BCStats","","List of repositories administered by BC Stats (http://www.bcstats.gov.bc.ca/Home.aspx)","10","1","16","false","false","false","false","false","true","true","true","true","true","true","2016-09-02T16:27:46Z","2021-04-15T13:50:45Z","2021-04-15T13:50:43Z"
"WES-engagement-states","bcgov","bcgov/WES-engagement-states","https://github.com/bcgov/WES-engagement-states","","Work Environment Survey employee engagement states","5","4","1652","false","false","false","false","false","true","true","true","true","true","true","2016-09-02T16:38:42Z","2021-05-05T14:02:18Z","2021-05-05T14:02:15Z"
"simple-R-shiny","bcgov","bcgov/simple-R-shiny","https://github.com/bcgov/simple-R-shiny","","Simple shiny app to test Shiny Server on openshift","17","15","152","false","false","false","false","false","true","true","true","true","true","true","2016-09-06T22:47:50Z","2020-12-16T21:06:00Z","2020-12-16T21:05:57Z"
"land-designations-indicator","bcgov","bcgov/land-designations-indicator","https://github.com/bcgov/land-designations-indicator","","R scripts for an indicator on land designations that contribute to conservation in B.C. published on Environmental Reporting BC","0","2","12789","false","false","false","false","false","true","true","true","true","true","true","2016-09-08T23:52:07Z","2020-12-16T22:54:20Z","2021-04-27T18:27:05Z"
"land-designations-shinyapp","bcgov","bcgov/land-designations-shinyapp","https://github.com/bcgov/land-designations-shinyapp","","R Shiny application for interactive data visualization of land designations that contribute to conservation in B.C.","4","7","45846","false","false","false","false","false","true","true","true","true","true","true","2016-09-08T23:59:21Z","2020-12-16T22:52:31Z","2020-12-16T22:52:27Z"
"envreportbc-snippets","bcgov","bcgov/envreportbc-snippets","https://github.com/bcgov/envreportbc-snippets","","R scripts & snippets supporting Environmental Reporting BC workflows 👩‍💻👨‍💻","2","0","105","false","false","false","false","false","true","true","true","true","true","true","2016-09-12T23:29:14Z","2021-04-12T22:00:58Z","2021-04-12T22:00:56Z"
"climate-change-indicators-2015","bcgov","bcgov/climate-change-indicators-2015","https://github.com/bcgov/climate-change-indicators-2015","","R scripts for creating data visualizations for climate change indicators published on Environmental Reporting BC","5","1","38","false","false","false","false","false","true","true","true","true","true","true","2016-09-16T21:23:33Z","2020-12-16T23:00:43Z","2020-12-16T23:00:40Z"
"tire-recycling-indicator","bcgov","bcgov/tire-recycling-indicator","https://github.com/bcgov/tire-recycling-indicator","","R script for a trends in scrap tire recycling indicator publlished on Environmental Reporting BC","0","0","20","false","false","false","false","false","true","true","true","true","true","true","2016-09-20T16:45:14Z","2020-12-16T21:04:31Z","2020-12-16T21:04:28Z"
"invasive-species-indicator","bcgov","bcgov/invasive-species-indicator","https://github.com/bcgov/invasive-species-indicator","","R scripts for an indicator on status of invasive species in B.C. published on Environmental Reporting BC ","1","2","48","false","false","false","false","false","true","true","true","true","true","true","2016-09-22T17:10:01Z","2020-12-16T23:05:14Z","2020-12-16T23:05:11Z"
"update-VRI-volumes","bcgov","bcgov/update-VRI-volumes","https://github.com/bcgov/update-VRI-volumes","","","0","0","17","false","false","false","false","false","true","true","true","true","true","true","2016-09-22T22:47:01Z","2020-12-15T16:28:50Z","2020-12-15T16:28:48Z"
"cccharts","bcgov","bcgov/cccharts","https://github.com/bcgov/cccharts","","An R package for creating data visualizations for a set of climate change indicators published on Environmental Reporting BC","9","2","5950","false","false","false","false","false","true","true","true","true","true","true","2016-09-23T18:44:37Z","2020-12-16T23:02:24Z","2020-12-16T23:02:21Z"
"mygovbc","bcgov","bcgov/mygovbc","https://github.com/bcgov/mygovbc","","","0","1","162029","false","false","false","false","false","true","true","true","true","true","true","2016-09-26T21:58:46Z","2016-10-06T16:00:38Z","2020-01-17T00:28:59Z"
"WES-demographic-profile","bcgov","bcgov/WES-demographic-profile","https://github.com/bcgov/WES-demographic-profile","","","0","0","15","false","false","false","false","false","true","true","true","true","true","true","2016-09-30T15:52:19Z","2021-05-05T14:04:46Z","2021-05-05T14:08:57Z"
"eDivorce","bcgov","bcgov/eDivorce","https://github.com/bcgov/eDivorce","https://justice.gov.bc.ca/divorce","PDF form generation tool for self represented divorces in British Columbia","8","11","7988","true","false","false","false","false","false","true","false","true","true","true","2016-10-06T18:41:52Z","2021-04-14T22:36:27Z","2021-05-07T17:51:26Z"
"designatedlands","bcgov","bcgov/designatedlands","https://github.com/bcgov/designatedlands","","Python script to combine conservation related spatial data from many sources to create a single 'Designated Lands' layer for British Columbia","6","2","665","false","false","false","false","false","true","true","true","true","true","true","2016-10-07T21:39:43Z","2020-12-16T22:59:59Z","2021-04-21T20:17:56Z"
"mygovbc-nginx","bcgov","bcgov/mygovbc-nginx","https://github.com/bcgov/mygovbc-nginx","","NGinx configuration for MyGovBC","0","0","21","false","false","false","false","false","true","true","true","true","true","true","2016-10-12T21:25:56Z","2020-06-04T21:03:44Z","2020-01-17T00:29:33Z"
"mygovbc-foodsafe-nginx","bcgov","bcgov/mygovbc-foodsafe-nginx","https://github.com/bcgov/mygovbc-foodsafe-nginx","","Nginx configuraiton for MyGovBC FoodSafe service provider","0","1","17","false","false","false","false","false","true","true","true","true","true","true","2016-10-12T21:27:26Z","2021-03-08T20:53:15Z","2021-03-08T20:53:11Z"
"water-quality-analysis","bcgov","bcgov/water-quality-analysis","https://github.com/bcgov/water-quality-analysis","","R scripts to calculate water quality trends and the water quality index at selected ambient monitoring stations in B.C.","7","3","378","false","false","false","false","false","true","true","true","true","true","true","2016-10-19T20:47:21Z","2020-12-16T21:01:57Z","2020-12-16T21:01:55Z"
"SecurityAwareness","bcgov","bcgov/SecurityAwareness","https://github.com/bcgov/SecurityAwareness","","Information Security Branch - Security Awareness materials","8","4","316696","false","false","false","false","false","true","true","true","true","true","true","2016-10-19T21:56:40Z","2021-01-16T00:48:15Z","2021-01-16T00:48:11Z"
"MyGovBC-MSP","bcgov","bcgov/MyGovBC-MSP","https://github.com/bcgov/MyGovBC-MSP","","","14","14","24799","false","false","false","false","false","false","false","false","true","true","true","2016-10-27T23:58:05Z","2021-02-25T06:44:21Z","2021-04-01T05:47:00Z"
"smtp-om-core","bcgov","bcgov/smtp-om-core","https://github.com/bcgov/smtp-om-core","","Order Management Supporting Tools","0","0","94","false","false","false","false","false","true","true","true","true","true","true","2016-10-28T14:39:54Z","2016-11-19T02:59:55Z","2020-07-01T17:49:50Z"
"schoolbus-orig","bcgov","bcgov/schoolbus-orig","https://github.com/bcgov/schoolbus-orig","","Example projects for the ASP.NET builder image","0","0","75","true","false","false","false","false","true","true","true","true","true","true","2016-11-03T21:12:59Z","2016-11-03T22:12:28Z","2020-01-17T00:49:19Z"
"schoolbus","bcgov","bcgov/schoolbus","https://github.com/bcgov/schoolbus","","Schoolbus inspection tracking system","1","17","36179","true","false","false","false","false","true","true","true","true","true","true","2016-11-03T22:12:57Z","2021-04-13T15:20:31Z","2021-04-13T15:20:24Z"
"burn-severity","bcgov","bcgov/burn-severity","https://github.com/bcgov/burn-severity","","GIS tools for classifying wildfire burn severity from satellite imagery","1","1","24","false","false","false","false","false","true","true","true","true","true","true","2016-11-08T20:02:18Z","2020-12-15T21:27:48Z","2020-12-15T21:27:45Z"
"housing-data-visualization-project","bcgov","bcgov/housing-data-visualization-project","https://github.com/bcgov/housing-data-visualization-project","","Housing Data: BCIC Innovation Exchange™ Public Service Challenge for BC Stats","9","4","10255","false","false","false","false","false","true","true","true","true","true","true","2016-11-14T20:14:59Z","2021-05-05T14:44:50Z","2021-05-05T14:44:47Z"
"ckanext-openapiviewer","bcgov","bcgov/ckanext-openapiviewer","https://github.com/bcgov/ckanext-openapiviewer","","BC Data Catalogue extension for OpenAPI (AKA Swagger) console","6","3","14133","false","false","false","false","false","true","true","true","true","true","true","2016-11-15T19:36:38Z","2020-08-10T04:39:53Z","2020-08-10T04:39:51Z"
"BC-demography","bcgov","bcgov/BC-demography","https://github.com/bcgov/BC-demography","","","1","1","1479","false","false","false","false","false","true","true","true","true","true","true","2016-11-23T15:51:58Z","2021-05-05T15:15:41Z","2021-05-05T15:15:38Z"
"smtp-om-cas-common","bcgov","bcgov/smtp-om-cas-common","https://github.com/bcgov/smtp-om-cas-common","","Common Services for interacting with CAS","0","0","35353","false","false","false","false","false","true","true","true","true","true","true","2016-11-28T22:44:48Z","2020-07-30T12:38:30Z","2020-07-01T17:50:52Z"
"HelloSimon_Web","bcgov","bcgov/HelloSimon_Web","https://github.com/bcgov/HelloSimon_Web","","This is a test of web program for DotNet Core","0","0","47","true","false","false","false","false","false","true","true","true","true","true","2016-11-29T20:06:50Z","2016-11-29T20:06:51Z","2020-01-17T00:56:16Z"
