"repository","owner","name_with_owner","url","homepage_url","description","stars","forks","disk_usage","is_fork","is_mirror","is_private","is_archived","is_template","has_issues_enabled","has_projects_enabled","has_wiki_enabled","merge_commit_allowed","rebase_merge_allowed","squash_merge_allowed","created_at","updated_at","pushed_at"
"wqbc","bcgov","bcgov/wqbc","https://github.com/bcgov/wqbc","http://bcgov.github.io/wqbc/","An R package for water quality thresholds and index calculation for British Columbia","14","9","26448","false","false","false","false","false","true","true","true","true","true","true","2014-12-16T03:26:57Z","2021-01-27T21:45:38Z","2020-12-16T23:14:54Z"
"BC-Policy-Framework-For-GitHub","bcgov","bcgov/BC-Policy-Framework-For-GitHub","https://github.com/bcgov/BC-Policy-Framework-For-GitHub","","Policy information for BC Government employees using GitHub","101","44","1096","false","false","false","false","false","true","true","true","true","true","true","2015-02-26T23:52:57Z","2021-04-13T07:19:10Z","2021-05-05T17:07:20Z"
"bcgroundwater","bcgov","bcgov/bcgroundwater","https://github.com/bcgov/bcgroundwater","","An R package to facilitate analysis and  visualization of groundwater data from the British Columbia groundwater observation well network ","17","4","1470","false","false","false","false","false","true","true","true","true","true","true","2015-03-13T20:46:25Z","2021-03-11T15:20:08Z","2020-12-16T23:28:56Z"
"groundwater-levels-indicator","bcgov","bcgov/groundwater-levels-indicator","https://github.com/bcgov/groundwater-levels-indicator","","R scripts for an indicator on long-term trends in groundwater levels in B.C. published on Environmental Reporting BC","16","6","18458","false","false","false","false","false","true","true","true","true","true","true","2015-03-13T20:47:17Z","2021-03-11T14:57:12Z","2020-12-16T23:16:54Z"
"ckanext-googleanalytics","bcgov","bcgov/ckanext-googleanalytics","https://github.com/bcgov/ckanext-googleanalytics","","CKAN extension to integrate Google Analytics data into CKAN. Gives download stats on package pages, list of most popular packages, etc.","0","1","115","true","false","false","false","false","false","false","false","true","true","true","2015-04-13T16:16:07Z","2020-08-10T04:37:35Z","2020-08-10T04:37:33Z"
"ckanext-hierarchy","bcgov","bcgov/ckanext-hierarchy","https://github.com/bcgov/ckanext-hierarchy","","Organization hierarchy - CKAN extension","0","2","104","true","false","false","false","false","false","false","false","true","true","true","2015-04-13T16:24:38Z","2020-08-10T04:38:40Z","2020-08-10T04:38:38Z"
"ckanext-ga-report","bcgov","bcgov/ckanext-ga-report","https://github.com/bcgov/ckanext-ga-report","","For creating detailed reports of CKAN analytics, sliced by group","0","3","1078","true","false","false","false","false","false","false","false","true","true","true","2015-04-13T16:47:21Z","2021-04-14T18:23:17Z","2021-04-14T18:23:14Z"
"EnvReportBC","bcgov","bcgov/EnvReportBC","https://github.com/bcgov/EnvReportBC","","List of repositories administered by Environmental Reporting BC (www.gov.bc.ca/environmental-reporting-bc)","17","7","84","false","false","false","false","false","true","true","true","true","true","true","2015-04-24T21:15:01Z","2020-12-16T23:19:53Z","2020-12-16T23:19:50Z"
"envreportutils","bcgov","bcgov/envreportutils","https://github.com/bcgov/envreportutils","","An R package with ggplot2 themes & other functions related to Environmental Reporting BC work flows","10","4","224","false","false","false","false","false","true","true","true","true","true","true","2015-04-24T22:29:40Z","2020-12-16T23:18:14Z","2020-12-16T23:18:12Z"
"CSB-eFile","bcgov","bcgov/CSB-eFile","https://github.com/bcgov/CSB-eFile","","Court Services Branch Electronic Document Filing API","0","1","952","false","false","false","true","false","true","true","true","true","true","true","2015-05-01T04:17:31Z","2018-03-09T22:30:28Z","2015-05-05T21:53:53Z"
