Repository,license-file-exists,readme-file-exists,contributing-file-exists,code-of-conduct-file-exists,changelog-file-exists,security-file-exists,support-file-exists,readme-references-license,binaries-not-present,test-directory-exists,integrates-with-ci,code-of-conduct-file-contains-email,source-license-headers-exist,github-issue-template-exists,github-pull-request-template-exists,javascript-package-metadata-exists,ruby-package-metadata-exists,java-package-metadata-exists,python-package-metadata-exists,objective-c-package-metadata-exists,swift-package-metadata-exists,erlang-package-metadata-exists,elixir-package-metadata-exists,license-detectable-by-licensee,notice-file-exists
ckanext-bcgov,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_WARN,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
bcmaps,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
dbcrss,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,PASSED,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
bc-laws-api,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
rcaaqs,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
ozone-caaqs-indicator,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
pm25-caaqs-indicator,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
esm-server,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
datapusher,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
ltema,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
bearmon,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
openconsult,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
protected-lands-and-waters-indicator,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
BCDevExchange-app,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
bc-population-indicator,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
data-fp,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
nrs-sparx-automation,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
playbook,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
govHackServiceCatalogue,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
guides,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
pages,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
guides-template,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
DBC-APIM,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
cpf,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
drivebc-webcam-api,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
databc-web-map-services,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
agile-guide,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
digital-toolkit,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
eba-guide,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
bcdc-devops,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
data-fp-features,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
issue-aggregator,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
api-specs,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
DevEx-Roadmap,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
interactive-infographic,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
service-patterns,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
piwik,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
Gov-2.0-Bootstrap-Skeleton,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
ckan,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
PMO-Database,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
rems,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
ckanext-geoview,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
agile-labor-categories,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
FGDB-Standards-Tools,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
ghg-emissions-indicator,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
ols-devkit,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
MyGovBC-core-server,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
MyGovBC-core-client,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
MyGovBC-core-headerFooterService,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
MyGovBC-notification-server,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
