Repository,license-file-exists,readme-file-exists,contributing-file-exists,code-of-conduct-file-exists,changelog-file-exists,security-file-exists,support-file-exists,readme-references-license,binaries-not-present,test-directory-exists,integrates-with-ci,code-of-conduct-file-contains-email,source-license-headers-exist,github-issue-template-exists,github-pull-request-template-exists,javascript-package-metadata-exists,ruby-package-metadata-exists,java-package-metadata-exists,python-package-metadata-exists,objective-c-package-metadata-exists,swift-package-metadata-exists,erlang-package-metadata-exists,elixir-package-metadata-exists,license-detectable-by-licensee,notice-file-exists
wqbc,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
BC-Policy-Framework-For-GitHub,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
bcgroundwater,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
groundwater-levels-indicator,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
ckanext-googleanalytics,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
ckanext-hierarchy,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
ckanext-ga-report,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,PASSED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
EnvReportBC,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
envreportutils,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
CSB-eFile,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
