Repository,PackageCount,ProjectCount,ReleaseCount,SubmoduleCount,DeployKeyCount,TopicCount,License,CodeOfConduct
wqbc,0,0,9,0,0,5,Apache License 2.0,Contributor Covenant
BC-Policy-Framework-For-GitHub,0,0,1,0,0,8,Other,Contributor Covenant
bcgroundwater,0,0,2,0,0,4,Apache License 2.0,Contributor Covenant
groundwater-levels-indicator,0,0,0,0,0,5,Apache License 2.0,Contributor Covenant
ckanext-googleanalytics,0,0,0,0,0,1,,
ckanext-hierarchy,0,0,0,0,0,1,,
ckanext-ga-report,0,0,0,0,0,0,Other,
EnvReportBC,0,0,0,0,0,4,Other,Contributor Covenant
envreportutils,0,0,14,0,0,4,Apache License 2.0,Contributor Covenant
CSB-eFile,0,0,0,0,0,0,Apache License 2.0,
ckanext-bcgov,0,0,48,0,0,4,GNU Affero General Public License v3.0,
bcmaps,0,1,26,0,0,5,Apache License 2.0,Contributor Covenant
dbcrss,0,0,0,0,0,6,Apache License 2.0,
bc-laws-api,0,0,0,0,0,0,Other,
rcaaqs,0,0,3,0,0,4,Apache License 2.0,Contributor Covenant
ozone-caaqs-indicator,0,0,1,0,0,4,Apache License 2.0,Contributor Covenant
pm25-caaqs-indicator,0,0,1,0,0,4,Apache License 2.0,Contributor Covenant
esm-server,0,0,27,0,0,0,Other,
datapusher,0,0,0,0,0,0,GNU Affero General Public License v3.0,
ltema,0,0,0,0,0,0,Other,
bearmon,0,0,0,0,0,0,Apache License 2.0,
openconsult,0,0,0,0,0,0,Creative Commons Attribution 4.0 International,
protected-lands-and-waters-indicator,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
BCDevExchange-app,0,0,0,0,0,0,Other,
bc-population-indicator,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
data-fp,0,0,4,0,0,3,MIT License,
nrs-sparx-automation,0,0,0,0,0,0,Apache License 2.0,
playbook,0,0,0,0,0,0,,
govHackServiceCatalogue,0,0,0,0,0,0,,
guides,0,0,0,0,0,0,Other,
pages,0,0,0,0,0,0,Other,
guides-template,0,0,0,0,0,0,Other,
DBC-APIM,0,0,0,0,0,2,Apache License 2.0,
cpf,0,0,3,0,0,0,Apache License 2.0,
drivebc-webcam-api,0,0,0,0,0,0,Other,
databc-web-map-services,0,0,0,0,0,0,Other,
agile-guide,0,0,0,0,0,6,Other,
digital-toolkit,0,0,2,0,0,7,Apache License 2.0,
eba-guide,0,0,0,0,0,4,Other,
bcdc-devops,0,0,0,0,0,1,MIT License,
data-fp-features,0,0,0,0,0,3,Apache License 2.0,
issue-aggregator,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
api-specs,0,0,0,0,0,4,Other,
DevEx-Roadmap,0,0,0,0,0,0,Other,
interactive-infographic,0,0,0,0,0,0,Other,Contributor Covenant
service-patterns,0,0,0,0,0,0,,
piwik,0,0,0,13,0,0,,
Gov-2.0-Bootstrap-Skeleton,0,0,0,0,0,4,,
ckan,0,0,0,0,0,0,Other,
PMO-Database,0,0,0,0,0,0,Apache License 2.0,
rems,0,0,14,0,0,4,Apache License 2.0,Contributor Covenant
ckanext-geoview,0,0,0,0,0,1,MIT License,
agile-labor-categories,0,0,0,0,0,0,,
FGDB-Standards-Tools,0,0,0,0,0,7,Apache License 2.0,
ghg-emissions-indicator,0,0,1,0,0,4,Apache License 2.0,Contributor Covenant
ols-devkit,0,0,0,0,0,6,Apache License 2.0,
MyGovBC-core-server,0,0,0,0,0,0,Apache License 2.0,
MyGovBC-core-client,0,0,0,0,0,0,Apache License 2.0,
MyGovBC-core-headerFooterService,0,0,0,0,0,0,Apache License 2.0,
MyGovBC-notification-server,0,0,32,0,0,3,Apache License 2.0,
MyGovBC-widget-sharedservices-foodsafe,0,0,0,0,0,0,Apache License 2.0,
MyGovBC-widget-info-template,0,0,0,0,0,0,Apache License 2.0,
BCStats,0,0,0,0,0,3,,
WES-engagement-states,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
simple-R-shiny,0,0,0,0,0,4,Apache License 2.0,
land-designations-indicator,0,0,2,0,0,4,Apache License 2.0,Contributor Covenant
land-designations-shinyapp,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
envreportbc-snippets,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
climate-change-indicators-2015,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
tire-recycling-indicator,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
invasive-species-indicator,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
update-VRI-volumes,0,0,0,0,0,1,Apache License 2.0,
cccharts,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
mygovbc,0,0,0,0,0,0,Apache License 2.0,
WES-demographic-profile,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
eDivorce,0,0,1,0,0,3,Apache License 2.0,
designatedlands,0,0,3,0,0,6,Apache License 2.0,
mygovbc-nginx,0,0,2,0,0,1,Apache License 2.0,
mygovbc-foodsafe-nginx,0,0,0,0,0,1,Apache License 2.0,
water-quality-analysis,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
SecurityAwareness,0,0,0,0,0,0,Apache License 2.0,
MyGovBC-MSP,0,0,11,0,0,2,Apache License 2.0,Contributor Covenant
smtp-om-core,0,0,0,0,0,0,Apache License 2.0,
schoolbus-orig,0,0,0,0,0,0,Apache License 2.0,
schoolbus,0,0,5,0,0,1,Apache License 2.0,Contributor Covenant
burn-severity,0,0,0,0,0,1,Apache License 2.0,
housing-data-visualization-project,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
ckanext-openapiviewer,0,0,8,0,0,7,MIT License,
BC-demography,0,0,0,0,0,5,Apache License 2.0,Contributor Covenant
smtp-om-cas-common,0,0,0,0,0,0,Other,
HelloSimon_Web,0,0,0,0,0,0,,
slack-dev-bot-BCGov,0,0,0,0,0,0,Apache License 2.0,
Mock-Server,0,0,0,0,0,0,Apache License 2.0,
Swagger-Editor,0,0,0,0,0,0,Apache License 2.0,
SchemaSpy,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
streamflow-trends-on-multi-stats,0,0,0,0,0,0,Apache License 2.0,
Swagger-Codegen-Extension,0,0,0,0,0,0,Apache License 2.0,
career-survey,0,0,0,0,0,2,Apache License 2.0,
mygovbc-foodsafe,0,0,0,0,0,1,Apache License 2.0,
hets,0,0,5,0,0,1,Apache License 2.0,Contributor Covenant
MyGovBC-MSP-Service,0,0,1,0,0,0,Apache License 2.0,
gwa,0,0,0,0,0,3,Apache License 2.0,
jxon,0,0,0,0,0,0,GNU General Public License v3.0,
batch-pdf-reports,0,0,0,0,0,2,Apache License 2.0,
R-presentation,0,0,0,0,0,0,Apache License 2.0,
tfrs,0,1,168,0,0,20,Apache License 2.0,Contributor Covenant
fabric.js,0,0,0,0,0,0,Other,Contributor Covenant
MyGovBC-CAPTCHA-Service,0,0,15,0,0,0,Apache License 2.0,
MyGovBC-CAPTCHA-Widget,0,0,20,0,0,0,Apache License 2.0,
housing-data-challenge-ruby,0,0,0,0,0,3,Apache License 2.0,Contributor Covenant
ligo-lib,0,0,4,0,0,1,Apache License 2.0,Other
kapua,0,0,0,0,0,0,Eclipse Public License 1.0,
kura,0,0,0,0,0,0,Eclipse Public License 1.0,
housing-data-challenge-exponentian,0,0,0,0,0,5,Apache License 2.0,
housing-data-challenge-plot-scatter,0,0,0,0,0,2,Apache License 2.0,
housing-data-challenge-plotly,0,0,0,0,0,4,Apache License 2.0,
housing-data-challenge-foundry-spatial,0,0,0,0,0,2,Apache License 2.0,
BCWaterDischargeAnalysis-SampleScripts,0,0,0,0,0,1,Apache License 2.0,
Oahu-UI,0,0,0,0,0,0,Apache License 2.0,
gwells,0,0,8,0,0,5,Apache License 2.0,Contributor Covenant
oahu-api,0,0,0,0,0,0,Apache License 2.0,
oahu-dbsrv,0,0,0,0,0,0,Apache License 2.0,
kura-emulator,0,0,0,0,0,0,Eclipse Public License 1.0,
chart-tool,0,0,0,0,0,0,MIT License,
legacy-eao-inspections-ios,0,0,0,0,0,0,,
epic-mobile-app-android,0,0,0,0,0,0,Apache License 2.0,
