Repository,PackageCount,ProjectCount,ReleaseCount,SubmoduleCount,DeployKeyCount,TopicCount,License,CodeOfConduct
moti-iot-challenges,0,0,0,0,0,1,Apache License 2.0,
LTEM-sample-analyses,0,0,0,0,0,1,Apache License 2.0,Contributor Covenant
moti-iot-poc,0,0,0,0,0,0,Apache License 2.0,
sonarqube-openshift-docker,0,0,0,0,0,0,,
navUnit,0,0,0,0,0,0,Apache License 2.0,
tfrs-sonar-scanner,0,0,0,0,0,0,,
dbc-kml-apps,0,0,0,0,0,4,Apache License 2.0,
dbc-cms-vis,0,0,0,0,0,5,Apache License 2.0,
tfrs-functional-test-runner,0,0,0,0,0,0,,
SSD-methods,0,0,0,0,0,2,Apache License 2.0,
csnr-dmod,0,0,0,0,0,6,Apache License 2.0,Contributor Covenant
nrs-cmdb,0,1,0,0,0,1,Apache License 2.0,None
sbc-qsystem,0,0,0,0,0,0,GNU General Public License v3.0,
openshift-openjfx,0,0,0,0,0,0,Other,
agile-sdlc,0,0,1,0,0,8,Apache License 2.0,
eao-nginx,0,0,0,0,0,0,Apache License 2.0,
mygovbc-bootstrap-theme,0,0,4,0,0,3,Apache License 2.0,
angular-scaffold,0,0,5,0,0,4,Other,
eao-parse-server,0,0,0,0,0,0,Apache License 2.0,
eao-public,0,0,3,0,0,0,Apache License 2.0,
eao-public-consultation,0,0,0,0,0,0,Apache License 2.0,
dbc-j2ee-template,0,0,0,0,0,8,Apache License 2.0,
gw-licensing-transition-summary,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
service-patterns-temp,0,0,0,0,0,0,Apache License 2.0,
ligo,0,0,2,0,0,4,Apache License 2.0,Contributor Covenant
FASSTX,0,0,0,0,0,6,Apache License 2.0,Contributor Covenant
shinyhydat,0,0,0,0,0,2,Apache License 2.0,Contributor Covenant
mem-admin,0,0,16,0,1,0,Other,
mem-mmti,0,0,3,0,0,0,Other,
eao-geo-service,0,0,0,0,0,0,Apache License 2.0,
mem-geo-service,0,0,0,0,0,0,Apache License 2.0,
mem-nginx,0,0,0,0,0,0,Apache License 2.0,
mem-mmti-public,0,0,4,0,1,4,Apache License 2.0,
nifi-atlas,0,0,0,0,0,6,Apache License 2.0,Contributor Covenant
namer,0,0,0,0,0,5,Apache License 2.0,
bcgovr,0,0,12,0,0,5,Apache License 2.0,Contributor Covenant
angular-scaffold-captcha,0,0,0,0,0,0,Other,
agri-nmp,0,0,3,0,0,2,Apache License 2.0,Contributor Covenant
sm-bridge-service,0,0,0,0,0,0,Apache License 2.0,
von,0,0,0,0,0,6,Other,Contributor Covenant
bc-raster-roads,0,0,1,0,0,4,Apache License 2.0,Contributor Covenant
IM-Report-GBears,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
CANSIM-dataviewer,0,0,0,0,0,5,Apache License 2.0,Contributor Covenant
prime-web,0,0,0,0,0,1,Other,
MyGovBC-ServiceProviderTools,0,0,0,0,0,0,Apache License 2.0,
water-quality-analysis-northeastbc,0,0,0,0,0,7,Apache License 2.0,Contributor Covenant
hydrolook,0,0,6,0,0,3,Apache License 2.0,Contributor Covenant
TheOrgBook,0,0,0,0,0,6,Apache License 2.0,Contributor Covenant
openshift-postgresql-oracle_fdw,0,0,0,0,0,0,Apache License 2.0,
NatureServe-GBPU-Ranking,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
ocp-sso,0,0,0,0,0,2,Apache License 2.0,
s2i-ruby-nodejs,0,0,0,0,0,0,Apache License 2.0,
jekyll-barebones,0,0,0,0,0,0,Other,
ckanext-galileo,0,0,0,0,0,0,MIT License,
WES-NLP-tool,0,0,0,0,0,6,Apache License 2.0,Contributor Covenant
HectaresBC,0,0,0,0,0,0,Apache License 2.0,
bootstrap-theme,0,0,4,0,0,1,Apache License 2.0,
quickstart,0,0,0,0,0,0,Other,
roadless-areas-indicator,0,0,1,0,0,4,Apache License 2.0,Contributor Covenant
child-support-lookup-tool,0,0,0,0,0,0,Apache License 2.0,
bcmapsdata,0,0,10,0,0,5,Apache License 2.0,Contributor Covenant
drat,0,0,0,0,0,4,Apache License 2.0,
fasstr,0,0,2,0,0,9,Apache License 2.0,Contributor Covenant
openshift-solr,0,0,0,0,0,0,MIT License,
von-connector,0,0,0,0,0,6,Apache License 2.0,
von-network,0,0,0,0,0,6,Apache License 2.0,
s2i-nginx,0,0,0,0,0,0,Apache License 2.0,
getting_started_with_R,0,0,0,0,0,3,Other,Contributor Covenant
WES-results-visualization,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
nrts-prc-public,0,0,15,0,0,1,Apache License 2.0,
forest-management-indicators,0,0,2,0,0,4,Apache License 2.0,Contributor Covenant
gcpe-news-api-client,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
ssdtools,0,0,7,0,0,4,Apache License 2.0,Contributor Covenant
bcgov-data-science-resources,0,0,0,0,0,4,Other,Contributor Covenant
Family-Protection-Order,0,0,0,0,0,1,Apache License 2.0,Contributor Covenant
greenlight,0,0,0,0,0,8,Apache License 2.0,
esm-admin,0,0,0,0,0,0,Other,
secure-image-android,0,0,0,0,0,5,Apache License 2.0,Contributor Covenant
secure-image-ios,0,0,0,0,0,5,Apache License 2.0,
jag-shuber-frontend,0,0,0,0,0,9,Apache License 2.0,Contributor Covenant
jag-shuber-api,0,0,0,0,0,14,Apache License 2.0,Contributor Covenant
secure-image-api,0,0,0,0,0,2,Apache License 2.0,
nrts-prc-api,0,0,15,0,0,1,Apache License 2.0,
air-monitoring-visualization,0,1,0,0,0,0,Apache License 2.0,
gcpe-news-media-proxy,0,0,0,0,0,0,Apache License 2.0,
nrts-prc-admin,0,0,15,0,0,1,Apache License 2.0,
splunk-forwarder,0,0,1,0,0,0,Apache License 2.0,Contributor Covenant
mobile-authentication-ios,0,0,0,0,0,0,Apache License 2.0,
mobile-authentication-android,0,0,6,0,0,0,Apache License 2.0,
mobile-authentication-js,0,0,0,0,0,0,Apache License 2.0,
bc-aquifer-dashboard,0,0,0,0,0,1,Apache License 2.0,
smk-legacy-ui,0,1,0,0,0,4,Apache License 2.0,Contributor Covenant
smk-datastore,0,0,0,0,0,2,Apache License 2.0,Contributor Covenant
gcpe-news-webapp,0,0,0,0,0,2,Apache License 2.0,
name-examination,0,0,8,0,0,9,Apache License 2.0,Contributor Covenant
canwqdata,0,0,0,0,0,6,Apache License 2.0,Contributor Covenant
shinyssdtools,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
range-ios,0,0,0,0,0,3,Apache License 2.0,
range-web,0,0,0,0,0,5,Apache License 2.0,
indy-sdk,0,0,0,0,0,5,Apache License 2.0,
wqindex,0,0,0,0,0,5,Apache License 2.0,Contributor Covenant
GDX-Analytics,0,0,0,0,0,10,Apache License 2.0,Contributor Covenant
http-did-auth-proxy,0,0,0,0,0,7,Apache License 2.0,Contributor Covenant
jag-efiling-hub,0,0,0,0,0,0,Apache License 2.0,
jag-efiling-frontend,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
jag-efiling-api,0,0,0,0,0,0,Apache License 2.0,
jag-lcrb-carla-public,0,0,0,0,0,1,Apache License 2.0,Contributor Covenant
gcpe-news-archive,0,0,0,0,0,0,Apache License 2.0,
did-auth-relying-party,0,0,0,0,0,7,Apache License 2.0,Contributor Covenant
did-auth-extension,0,0,0,0,0,7,Apache License 2.0,Contributor Covenant
eao-inspections-web,0,0,0,0,0,0,Apache License 2.0,
GDX-Analytics-Looker-Snowplow-Web-Block,0,0,0,0,2,6,Apache License 2.0,Contributor Covenant
grizzly-bear-IUCN-threats,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
clus,0,1,0,1,0,4,Apache License 2.0,Contributor Covenant
clamav,0,0,2,0,0,4,Apache License 2.0,
workforce-profile-tool,0,1,8,0,0,2,Apache License 2.0,
mds,0,0,3,0,0,3,Apache License 2.0,Contributor Covenant
student-outcomes-dataviz,0,0,0,0,0,5,Apache License 2.0,Contributor Covenant
msw-disposal-indicator,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
namex-solr,0,0,0,0,0,0,MIT License,
bc-hydrometric-dashboard,0,0,0,0,0,1,Apache License 2.0,
Skeena-CE-Grizzly,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
namex,0,0,17,0,0,10,Other,Contributor Covenant
queue-management,0,1,0,0,0,1,Apache License 2.0,Contributor Covenant
GDX-Analytics-Looker-cfms_block,0,0,0,0,2,6,Apache License 2.0,Contributor Covenant
moh-fpcare,0,0,2,0,0,0,Other,
intro-to-tidyhydat-and-tidyverse,0,0,0,0,0,6,Other,Contributor Covenant
field-inspection-app-ios,0,0,0,0,0,0,Apache License 2.0,
field-inspection-app-android,0,0,0,0,0,0,,
prime-session,0,0,1,0,0,0,,
nbcclim,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
gwa-ip-anonymity,0,0,0,0,0,1,Other,
gwa-ui,1,0,14,0,0,4,Apache License 2.0,
gwa-kong-endpoint,0,0,0,0,0,1,Other,
dbc-pylib,0,0,24,0,0,1,Apache License 2.0,Contributor Covenant
argg-api,1,0,6,0,0,5,Apache License 2.0,
argg-ui,1,0,6,0,0,1,Apache License 2.0,
ols-router,0,0,1,0,0,4,Apache License 2.0,
mwslds,0,0,1,0,0,0,Apache License 2.0,Contributor Covenant
GDX-Analytics-Looker-Redshift_Admin_By_AWS,0,0,0,0,2,6,Apache License 2.0,Contributor Covenant
devhub-signing-agent,0,0,0,0,0,1,Apache License 2.0,
devhub-signing-api,0,0,0,0,0,1,Apache License 2.0,
devhub-signing-web,0,0,0,0,0,1,Apache License 2.0,
prime-oauth,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
sp2s3,0,0,0,0,0,3,Apache License 2.0,
kirk,2,0,1,0,0,0,Apache License 2.0,Contributor Covenant
von-bc-registries-agent,0,0,1,0,0,6,Apache License 2.0,Contributor Covenant
geometr,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
SecNewsFeedReader,0,0,0,0,0,0,,
env-moosetracker-android,0,0,1,0,0,0,Other,Contributor Covenant
env-moosetracker-ios,0,0,1,0,0,0,Other,Contributor Covenant
servicebc,0,0,0,0,0,0,Apache License 2.0,
common-nodejs-utils,0,0,0,0,0,2,Apache License 2.0,
gcpe-azure-sample,0,0,0,0,0,0,MIT License,
representation-grant,0,0,0,0,0,1,Apache License 2.0,Contributor Covenant
pssg-cscp-vsd,0,0,0,0,0,0,Apache License 2.0,
BCwebcheck,0,0,0,0,0,1,Apache License 2.0,
SecNewsFeedReader-Drupal,0,0,0,0,0,6,Apache License 2.0,
moh-oauth,0,0,0,0,0,0,Apache License 2.0,
smk,0,2,0,0,0,9,Apache License 2.0,Contributor Covenant
snow-dur-analysis,0,0,0,0,0,6,Apache License 2.0,Contributor Covenant
bcgov-sso-theme,0,0,0,0,0,0,Apache License 2.0,
smk-bcparks,0,0,1,0,0,3,Apache License 2.0,Contributor Covenant
smk-moh,0,0,3,0,0,6,Apache License 2.0,Contributor Covenant
RasterLandCover,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
gcpe-NRMS-frontend,0,0,0,0,0,2,Apache License 2.0,Contributor Covenant
gcpe-NRMS-api,0,0,0,0,0,2,Apache License 2.0,Contributor Covenant
jag-scheduling-hub,0,0,0,0,0,0,,
kq-ui,1,0,8,0,0,2,Apache License 2.0,
kq-api,1,0,4,0,0,1,Apache License 2.0,
sbc-mcap,0,0,1,0,0,0,Apache License 2.0,Contributor Covenant
scj-online-booking-system,0,0,0,0,0,1,Apache License 2.0,
ldf_drf_db_comments,0,0,0,0,0,6,Apache License 2.0,Contributor Covenant
range-api,0,0,0,0,0,1,Apache License 2.0,
devhub-app-web,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
OCWA,0,0,15,0,0,12,Apache License 2.0,Other
common-ui-components,0,0,0,0,0,0,Apache License 2.0,
repomountie,0,0,0,0,0,6,Apache License 2.0,
common-web-utils,0,0,3,0,0,0,Apache License 2.0,Contributor Covenant
spa-env-server,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
design-system,0,2,0,0,0,3,Apache License 2.0,Contributor Covenant
bcgov-useR,0,0,0,0,0,5,Other,Contributor Covenant
bowron-ssn,0,0,0,0,0,6,Apache License 2.0,Contributor Covenant
scheduler,0,0,0,0,0,0,ISC License,
jag-pill-press-registry,0,0,1,0,0,0,Apache License 2.0,Contributor Covenant
gcpe-news-dashboard,0,0,0,0,0,2,Apache License 2.0,Contributor Covenant
VON-ESB-DRS-Agent,0,0,0,0,0,5,Apache License 2.0,Contributor Covenant
smk-common-iac,0,0,0,0,0,0,Apache License 2.0,
aquifer-factsheets,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
von-agent-template,0,0,0,0,0,5,Apache License 2.0,Contributor Covenant
bcgov-rstats-public-presentations,0,0,0,0,0,6,Other,Contributor Covenant
ckanext-bcgov-disqus,0,0,0,0,0,3,GNU Affero General Public License v3.0,
ckanext-bcgov-cli,0,0,0,0,0,4,GNU Affero General Public License v3.0,
HunterDensity,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
HumanLivestockDensity,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
gcpe-hub-api,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
entity,0,0,0,0,0,18,Apache License 2.0,
WEStblr,0,0,0,0,0,2,Apache License 2.0,Contributor Covenant
replication_health_check,0,0,16,1,0,0,Apache License 2.0,Contributor Covenant
EDUC-ECAS,0,0,0,0,0,7,Other,
bcgov-Shiny-deployment-paths,0,0,0,0,0,7,Apache License 2.0,Contributor Covenant
wqo_shuswap,0,0,0,0,0,5,Apache License 2.0,Contributor Covenant
hydrometric_stations,0,0,0,0,0,7,Apache License 2.0,Contributor Covenant
isb-rsi-courtsintegration,0,0,0,0,0,0,Apache License 2.0,
moh-common-styles,0,1,0,0,0,0,Other,
SCJ-Online-Booking,0,0,0,0,0,1,Apache License 2.0,
aries-vcr,0,0,2,0,1,14,Apache License 2.0,Contributor Covenant
bcdata,0,0,6,0,0,7,Apache License 2.0,Contributor Covenant
mdms-nodejs-client,0,0,0,0,0,0,Apache License 2.0,
CHSP_dataviewer,0,0,0,0,0,6,,
EDUC-NGN,0,0,0,0,0,2,Apache License 2.0,
eagle-public,0,0,0,0,0,6,Apache License 2.0,
eagle-admin,0,0,0,0,0,6,Apache License 2.0,
eagle-api,0,0,0,0,0,6,Apache License 2.0,
gcpe-hub,0,0,0,0,0,0,Apache License 2.0,
Caribou_disturb_TT,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
Caribou_Disturb_B,0,0,0,0,0,1,Apache License 2.0,Contributor Covenant
mdms-device-signout-api,0,0,0,0,0,0,Apache License 2.0,
mdms-device-signout-app,0,0,0,0,0,0,Apache License 2.0,
reggie,0,0,0,0,0,0,Apache License 2.0,
GB_Unreported,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
reggie-web,0,0,0,0,0,0,Apache License 2.0,
GB_Data,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
grizzly-bear-status-indicator,0,0,1,0,0,4,Apache License 2.0,Contributor Covenant
devhub-resources,0,0,0,0,0,1,Apache License 2.0,Contributor Covenant
GB_Mortality,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
teis-utilities,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
postman-bdd,0,0,0,0,0,0,MIT License,
wetlandmapR,0,0,1,0,0,11,Apache License 2.0,Contributor Covenant
chimp,0,0,0,0,0,0,Apache License 2.0,
FAIB,0,0,0,0,0,4,Apache License 2.0,
ckan-bcgov-terraform,0,0,0,0,0,0,,
docker-clamav,0,0,4,0,0,0,MIT License,
foi-requests,0,0,0,0,0,0,Apache License 2.0,
pdfmagic,0,0,0,0,0,0,,
ts-rs-modis-snow,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
lear,0,0,25,0,0,7,Apache License 2.0,
sbc-pay,0,0,26,0,0,1,Apache License 2.0,Contributor Covenant
sbc-auth,0,0,37,0,0,1,Apache License 2.0,Contributor Covenant
invasive-species-system-build,0,0,0,0,0,0,Apache License 2.0,
digital-gov,0,0,0,0,0,0,Other,Contributor Covenant
GB_DNA,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
GB_Salmon,0,0,0,0,0,0,Apache License 2.0,
data-stream,0,0,0,0,0,3,Apache License 2.0,
popApp,0,0,0,0,0,5,Apache License 2.0,
air-zone-reports,0,0,0,0,0,5,Apache License 2.0,Contributor Covenant
bcgov-looker-snowplow,0,0,0,0,0,5,GNU General Public License v2.0,
eao-inspections-evidence-locker,0,0,0,0,0,7,Apache License 2.0,
nr-messaging-service-showcase,0,0,0,0,0,5,Apache License 2.0,Contributor Covenant
nr-document-management-showcase,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
document-generation-showcase,0,0,0,0,0,5,Apache License 2.0,Contributor Covenant
FADM_Edit_Workflows,0,0,0,0,0,4,Apache License 2.0,
GDX-Analytics-Looker-Google-Block,0,0,0,0,1,4,Apache License 2.0,Contributor Covenant
GDX-Analytics-OpenShift-Snowplow-Gateway-Service,0,0,0,0,0,10,Apache License 2.0,Contributor Covenant
embc-ess,0,0,7,0,0,0,Apache License 2.0,Contributor Covenant
statscan-taxdata-tidying,0,0,0,0,0,4,Apache License 2.0,Contributor Covenant
TransAction,0,0,6,0,0,1,Apache License 2.0,Contributor Covenant
Project-and-time-tracker,0,0,0,0,0,1,Apache License 2.0,
moh-sitereg,0,0,2,0,0,0,Apache License 2.0,
landuseplanning-admin,0,0,0,0,0,0,Apache License 2.0,
landuseplanning-public,0,0,0,0,0,0,Apache License 2.0,
landuseplanning-api,0,0,0,0,0,0,Apache License 2.0,
CaribouBC,0,0,0,0,0,1,Apache License 2.0,Contributor Covenant
imit-procurement-data-analysis,0,0,0,0,0,5,Apache License 2.0,Contributor Covenant
ckanext-sso,0,0,0,0,0,5,GNU Affero General Public License v3.0,
ckan-ui,0,0,0,0,0,1,GNU Affero General Public License v3.0,
smk-francophone,0,0,0,0,0,4,Apache License 2.0,
csv-to-api,0,0,0,0,0,0,,
shinyrems,0,0,0,0,0,4,Other,Contributor Covenant
lngcanada-admin,0,0,0,0,0,0,Apache License 2.0,
lngcanada-api,0,0,0,0,0,0,Apache License 2.0,
lngcanada-public,0,0,0,0,0,0,Apache License 2.0,
GDX-Analytics-Looker-theq_sdpr_block,0,0,0,0,1,8,Apache License 2.0,Contributor Covenant
jag-spd-spice,0,0,0,0,0,0,Apache License 2.0,
iamp-maven-resources,0,0,0,0,0,0,Apache License 2.0,
bcgov-data-science-cop,0,0,0,0,0,4,Other,Contributor Covenant
range-dashboard-ios,0,0,0,0,0,3,,
nr-get-token,0,1,1,0,0,6,Apache License 2.0,Contributor Covenant
SharePoint_Solutions,0,0,0,0,0,0,MIT License,
bc-econ-status-indices,0,0,0,0,0,5,Apache License 2.0,Contributor Covenant
CITZ-IMB-SharePoint,0,0,4,0,0,0,Apache License 2.0,Contributor Covenant
realm-o-matic,0,0,0,0,0,2,Apache License 2.0,
jag-rsbc-carma,0,0,0,0,0,0,,
site-inspections-app-ios,0,0,0,0,0,0,,
cas-ggircs,0,0,0,1,1,0,Apache License 2.0,
indy-email-verification,0,0,0,0,0,7,Apache License 2.0,
agri-dcbr,0,0,0,0,0,1,Apache License 2.0,Contributor Covenant
cas-docker-sqitch,0,0,0,0,0,0,Apache License 2.0,
lucy-web,0,1,0,0,0,1,Apache License 2.0,Other
iiwbook,0,0,0,0,0,6,Apache License 2.0,
mobile-starter-kit,0,0,0,0,0,0,Other,Contributor Covenant
Agile-Delivery-Process,0,0,0,0,0,1,,Contributor Covenant
