Repository,Ministry Code,Ministry Name
a2a-trust-over-ip-configurations,ag,Attorney General
access-to-technology,sdpr,Social Development & Poverty Reduction
Agile-Delivery-Process,citz,Citizens' Services
agile-guide,,#N/A
agile-labor-categories,,#N/A
agile-sdlc,env,Environment & Climate Change Strategy
AGOL_getMapFromApp,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
AGOL_getSizeFromGroup,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
AGOL_UsageReport,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
AGOL-PullandPushMetadata,,#N/A
agri-dcbr,agri,Agriculture
agri-nmp,agri,Agriculture
agri-nmp-msa,agri,Agriculture
air-monitoring-visualization,,#N/A
air-zone-reports,env,Environment & Climate Change Strategy
angular-scaffold,,#N/A
angular-scaffold-captcha,,#N/A
api-guidelines,citz,Citizens' Services
api-serv-gw,,#N/A
api-specs,,#N/A
aporeto-demo-project,citz,Citizens' Services
aps-portal,,#N/A
aps-testing,,#N/A
aqadvisories-eservice,env,Environment & Climate Change Strategy
aquifer-factsheets,env,Environment & Climate Change Strategy
arcgis_hackers,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
argg-api,citz,Citizens' Services
argg-ui,,#N/A
aries-cloudagent-container,citz,Citizens' Services
aries-cloudcontroller-node,,#N/A
aries-vcr,citz,Citizens' Services
aries-vcr-api-draft,,#N/A
aries-vcr-client,citz,Citizens' Services
aries-vcr-issuer-agency,,#N/A
aries-vcr-issuer-controller,citz,Citizens' Services
asdm-postgres,citz,Citizens' Services
b2b-credential-manager,,#N/A
batch-pdf-reports,citz,Citizens' Services
bc_dtm_testing,env,Environment & Climate Change Strategy
bc-aquifer-dashboard,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
bc-data-literacy-self-assessment,,#N/A
BC-demography,citz,Citizens' Services
bc-econ-status-indices,citz,Citizens' Services
bc-fwa-river-profiles,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
bc-hydrometric-dashboard,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
bc-laws-api,,#N/A
BC-Policy-Framework-For-GitHub,citz,Citizens' Services
bc-population-indicator,env,Environment & Climate Change Strategy
bc-raster-roads,env,Environment & Climate Change Strategy
bc-sans,citz,Citizens' Services
bcca-payment-hub,citz,Citizens' Services
bcdata,env,Environment & Climate Change Strategy
bcdata,citz,Citizens' Services
bcdc-devops,citz,Citizens' Services
bcdc-smk,citz,Citizens' Services
bcdc-test,citz,Citizens' Services
bcdc2bcdc,citz,Citizens' Services
bcdevexchange,citz,Citizens' Services
BCDevExchange-app,,#N/A
bcgov-data-science-cop,citz,Citizens' Services
bcgov-data-science-resources,citz,Citizens' Services
bcgov-looker-snowplow,,#N/A
bcgov-python-presentations,citz,Citizens' Services
bcgov-r-geo-workshop,citz,Citizens' Services
bcgov-r-geo-workshop,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
bcgov-r-geo-workshop,env,Environment & Climate Change Strategy
bcgov-rstats-public-presentations,citz,Citizens' Services
bcgov-rstats-public-presentations,env,Environment & Climate Change Strategy
bcgov-rstats-public-presentations,jedc,"Jobs, Economic Development & Competitiveness"
bcgov-Shiny-deployment-paths,jedc,"Jobs, Economic Development & Competitiveness"
