Repository,Days Open,Issue Count,PR Count,Commit Count,Branch Protection Rule Count,Avg. Issue Count Per Day,Avg. PR Count Per Day,Avg. Commit Count Per Day,Default Branch Name,Languages
DevEx-Roadmap,1806,9,10,400,0,0,0.01,0.22,18f-pages,HTML_CSS_Ruby
interactive-infographic,1797,8,11,82,0,0,0.01,0.05,master,HTML_CSS
service-patterns,1794,4,4,3,0,0,0,0,master,
piwik,1784,0,2,23086,0,0,0,12.94,master,PHP_JavaScript_HTML_CSS_C_Shell_Smarty_Makefile_Java_ApacheConf
Gov-2.0-Bootstrap-Skeleton,1755,12,11,37,0,0.01,0.01,0.02,master,HTML_CSS_JavaScript
ckan,1744,0,19,15969,1,0,0.01,9.16,2.5.5-bcgov,Python_CSS_JavaScript_HTML_Shell_Nginx
PMO-Database,1743,2,1,1,0,0,0,0,master,
rems,1740,45,18,333,0,0.03,0.01,0.19,master,R
ckanext-geoview,1728,0,2,115,0,0,0,0.07,0.0.12-bcgov,JavaScript_Python_CSS_HTML
agile-labor-categories,1728,0,2,15,0,0,0,0.01,gh-pages,CSS_JavaScript_HTML
FGDB-Standards-Tools,1713,4,2,14,0,0,0,0.01,master,Python
ghg-emissions-indicator,1713,3,6,147,0,0,0,0.09,master,R
ols-devkit,1713,136,58,130,1,0.08,0.03,0.08,master,
MyGovBC-core-server,1703,0,1,51,0,0,0,0.03,master,JavaScript
MyGovBC-core-client,1703,0,1,291,0,0,0,0.17,master,CSS_JavaScript_TypeScript_HTML_Shell
MyGovBC-core-headerFooterService,1703,2,5,181,0,0,0,0.11,master,JavaScript_HTML_CSS_Shell
MyGovBC-notification-server,1703,42,44,725,0,0.02,0.03,0.43,master,JavaScript_Vue_Shell_HTML_Dockerfile
MyGovBC-widget-sharedservices-foodsafe,1703,2,1,24,0,0,0,0.01,master,HTML_JavaScript
MyGovBC-widget-info-template,1703,2,1,10,0,0,0,0.01,master,HTML_JavaScript
BCStats,1699,5,4,22,0,0,0,0.01,main,
WES-engagement-states,1699,25,3,131,0,0.01,0,0.08,master,R_Dockerfile_Shell_CSS_Rebol_Perl
simple-R-shiny,1695,16,5,136,0,0.01,0,0.08,master,Dockerfile_Shell_R_Perl_CSS
land-designations-indicator,1693,4,2,203,0,0,0,0.12,master,R
land-designations-shinyapp,1693,26,11,280,1,0.02,0.01,0.17,master,R_CSS
envreportbc-snippets,1689,2,5,142,0,0,0,0.08,master,R
climate-change-indicators-2015,1685,3,2,42,0,0,0,0.02,master,R
tire-recycling-indicator,1681,4,2,25,0,0,0,0.01,master,R
invasive-species-indicator,1679,2,2,44,0,0,0,0.03,master,R
update-VRI-volumes,1679,4,2,10,0,0,0,0.01,master,Python
cccharts,1678,41,8,398,0,0.02,0,0.24,master,R
mygovbc,1675,3,2,65,0,0,0,0.04,master,Shell
WES-demographic-profile,1671,4,1,7,0,0,0,0,master,R
eDivorce,1665,0,199,1861,0,0,0.12,1.12,master,HTML_Python_JavaScript_SCSS_Vue_Shell_CSS
designatedlands,1664,63,11,275,0,0.04,0.01,0.17,master,Python_PLpgSQL_Shell
mygovbc-nginx,1659,2,1,46,0,0,0,0.03,master,
mygovbc-foodsafe-nginx,1659,2,1,16,0,0,0,0.01,master,
water-quality-analysis,1652,24,4,75,0,0.01,0,0.05,master,R
SecurityAwareness,1652,2,4,186,0,0,0,0.11,master,JavaScript_CSS_HTML_Shell
MyGovBC-MSP,1644,0,656,4592,1,0,0.4,2.79,master,TypeScript_HTML_SCSS_JavaScript_Dockerfile_Shell
smtp-om-core,1643,2,21,11,0,0,0.01,0.01,master,PLSQL_SQLPL_Java
schoolbus-orig,1637,1,1,10,0,0,0,0.01,master,C#_JavaScript_CSS_Shell
schoolbus,1637,5,597,1547,1,0,0.36,0.94,master,C#_JavaScript_Mustache_SCSS_Groovy_HTML_Shell_Dockerfile
burn-severity,1632,5,2,9,0,0,0,0.01,master,Python
housing-data-visualization-project,1626,7,1,83,0,0,0,0.05,master,
ckanext-openapiviewer,1625,12,34,83,0,0.01,0.02,0.05,master,HTML_Python
BC-demography,1617,6,1,32,0,0,0,0.02,master,
smtp-om-cas-common,1612,4,38,3,0,0,0.02,0,master,JavaScript_PLSQL_CSS_HTML_SQLPL_Java
HelloSimon_Web,1611,0,2,2,0,0,0,0,master,C#
slack-dev-bot-BCGov,1608,2,1,9,0,0,0,0.01,master,JavaScript_CoffeeScript
Mock-Server,1604,2,7,8,0,0,0,0,master,JavaScript
Swagger-Editor,1604,3,6,11,0,0,0,0.01,master,JavaScript
SchemaSpy,1604,3,11,54,0,0,0.01,0.03,master,Dockerfile_Shell
streamflow-trends-on-multi-stats,1597,0,2,12,0,0,0,0.01,master,R
Swagger-Codegen-Extension,1594,3,30,62,0,0,0.02,0.04,master,HTML_Java_Batchfile_Shell_Scala
career-survey,1575,2,1,10,0,0,0,0.01,master,R
mygovbc-foodsafe,1575,2,1,29,0,0,0,0.02,master,Shell
hets,1573,3,1951,4515,0,0,1.24,2.87,master,C#_JavaScript_SCSS_PLpgSQL_Groovy_HTML_Batchfile_Handlebars_Shell_Dockerfile
MyGovBC-MSP-Service,1567,2,5,129,0,0,0,0.08,master,JavaScript
gwa,1567,58,2,108,0,0.04,0,0.07,master,
jxon,1563,0,1,88,0,0,0,0.06,master,JavaScript_HTML
batch-pdf-reports,1562,3,2,12,0,0,0,0.01,master,R
R-presentation,1555,3,3,20,0,0,0,0.01,master,HTML
tfrs,1554,728,1019,2487,3,0.47,0.66,1.6,release-1.6.24,Python_JavaScript_CSS_Shell_Groovy_SCSS_Less_Dockerfile_PLpgSQL_Go_HTML_Batchfile_Makefile
fabric.js,1553,0,1,3541,0,0,0,2.28,master,JavaScript_CSS_HTML_Shell
MyGovBC-CAPTCHA-Service,1553,5,11,133,0,0,0.01,0.09,master,TypeScript
MyGovBC-CAPTCHA-Widget,1553,5,12,98,0,0,0.01,0.06,master,TypeScript_HTML_SCSS_JavaScript
housing-data-challenge-ruby,1542,8,7,175,0,0.01,0,0.11,master,HTML_R_CSS_JavaScript_Dockerfile
ligo-lib,1542,15,17,218,1,0.01,0.01,0.14,master,Python_HTML_Dockerfile_Shell
kapua,1539,0,23,757,0,0,0.01,0.49,develop,Java_CSS_HTML_Gherkin_Shell_PowerShell_JavaScript
kura,1538,0,2,3002,0,0,0,1.95,develop,Java_HTML_C_Shell_JavaScript_C++_CSS_Makefile_Batchfile_Protocol Buffer_Objective-C
housing-data-challenge-exponentian,1534,3,17,82,0,0,0.01,0.05,master,JavaScript_CSS_HTML_Ruby
housing-data-challenge-plot-scatter,1534,3,5,18,0,0,0,0.01,master,Jupyter Notebook_JavaScript_CSS_HTML
housing-data-challenge-plotly,1534,4,3,54,0,0,0,0.04,master,R_Makefile_CSS
housing-data-challenge-foundry-spatial,1534,4,5,115,0,0,0,0.07,master,Vue_JavaScript_HTML_Dockerfile
Oahu-UI,1520,0,2,287,0,0,0,0.19,master,JavaScript_CSS_HTML_Shell
gwells,1520,11,1777,8485,3,0.01,1.17,5.58,release,Python_Vue_JavaScript_Groovy_Shell_HTML_SCSS_Dockerfile_Makefile_CSS
oahu-api,1518,0,3,8,0,0,0,0.01,master,C#
oahu-dbsrv,1518,0,2,8,0,0,0,0.01,master,Java_Shell
kura-emulator,1516,0,4,9,0,0,0,0.01,master,
chart-tool,1516,0,1,391,0,0,0,0.26,master,JavaScript_CSS_HTML
legacy-eao-inspections-ios,1512,2,2,67,0,0,0,0.04,master,Swift_Objective-C_Ruby
epic-mobile-app-android,1512,2,1,2,0,0,0,0,master,Java
moti-iot-challenges,1512,3,2,21,0,0,0,0.01,master,
LTEM-sample-analyses,1507,2,2,15,0,0,0,0.01,master,HTML_R
moti-iot-poc,1507,0,1,10,0,0,0,0.01,master,JavaScript_CSS_HTML_Java_C#_Shell
sonarqube-openshift-docker,1504,0,2,5,0,0,0,0,master,Shell
navUnit,1487,0,0,3,0,0,0,0,master,Groovy
tfrs-sonar-scanner,1486,3,2,10,0,0,0,0.01,master,Java
dbc-kml-apps,1484,11,22,184,1,0.01,0.01,0.12,master,XSLT_FreeMarker_Shell
dbc-cms-vis,1479,3,18,90,1,0,0.01,0.06,gh-pages,HTML_CSS_JavaScript_Dockerfile
tfrs-functional-test-runner,1478,3,2,6,0,0,0,0,master,
SSD-methods,1471,2,1,9,0,0,0,0.01,master,HTML_R
csnr-dmod,1458,2,104,223,1,0,0.07,0.15,master,JavaScript_HTML_CSS_Java_Groovy_Shell_Dockerfile
nrs-cmdb,1448,21,33,72,0,0.01,0.02,0.05,master,Java_HTML_Batchfile
sbc-qsystem,1443,17,331,875,0,0.01,0.23,0.61,master,Java_HTML_JavaScript_PLpgSQL_CSS_Groovy_PLSQL_SQLPL_Shell_Dockerfile
openshift-openjfx,1441,0,1,54,0,0,0,0.04,master,Shell_Java_Makefile
agile-sdlc,1432,2,4,17,0,0,0,0.01,master,
eao-nginx,1428,2,22,76,1,0,0.02,0.05,master,
mygovbc-bootstrap-theme,1427,5,2,35,0,0,0,0.02,master,CSS_JavaScript
angular-scaffold,1427,12,20,165,0,0.01,0.01,0.12,master,Shell_TypeScript_HTML_JavaScript_Dockerfile_SCSS
eao-parse-server,1426,2,18,37,1,0,0.01,0.03,master,JavaScript_HTML_CSS_Dockerfile
eao-public,1423,1,320,555,1,0,0.22,0.39,dev,TypeScript_HTML_CSS_Groovy_Shell_JavaScript_Dockerfile
eao-public-consultation,1422,2,1,3,1,0,0,0,master,
dbc-j2ee-template,1419,2,1,13,0,0,0,0.01,master,
gw-licensing-transition-summary,1413,3,9,262,0,0,0.01,0.19,master,R
service-patterns-temp,1408,3,1,11,0,0,0,0.01,master,
ligo,1407,3,5,176,1,0,0,0.13,master,Python_HTML_JavaScript_Shell_CSS_SCSS_Dockerfile
FASSTX,1405,3,2,48,0,0,0,0.03,master,
shinyhydat,1405,5,10,87,0,0,0.01,0.06,master,R
mem-admin,1399,3,317,4520,1,0,0.23,3.23,dev,JavaScript_HTML_CSS_Groovy_Shell_Dockerfile_Batchfile
mem-mmti,1399,2,49,4223,1,0,0.04,3.02,master,JavaScript_HTML_CSS_Shell_Batchfile
eao-geo-service,1399,2,4,17,1,0,0,0.01,master,JavaScript
mem-geo-service,1392,2,4,30,1,0,0,0.02,master,JavaScript
mem-nginx,1392,2,9,50,0,0,0.01,0.04,master,
mem-mmti-public,1391,4,348,741,2,0,0.25,0.53,BCMI-V2,TypeScript_HTML_Groovy_SCSS_JavaScript_Shell
nifi-atlas,1391,4,22,38,0,0,0.02,0.03,master,Java_HTML_Dockerfile_Shell
namer,1387,2,13,62,0,0,0.01,0.04,master,Python_TypeScript_JavaScript_HTML_CSS_Dockerfile
bcgovr,1379,38,24,606,0,0.03,0.02,0.44,master,R
angular-scaffold-captcha,1377,3,2,19,0,0,0,0.01,master,TypeScript_HTML_JavaScript_Shell_CSS
agri-nmp,1377,4,555,2800,1,0,0.4,2.03,master,C#_HTML_JavaScript_CSS_Shell_Groovy_Batchfile_PowerShell_Dockerfile
sm-bridge-service,1374,2,3,38,0,0,0,0.03,master,JavaScript_HTML
von,1371,251,120,330,0,0.18,0.09,0.24,master,
bc-raster-roads,1364,3,5,107,0,0,0,0.08,master,R
IM-Report-GBears,1364,2,1,30,0,0,0,0.02,master,R
CANSIM-dataviewer,1363,4,1,154,0,0,0,0.11,master,R
prime-web,1349,2,29,1643,0,0,0.02,1.22,master,TypeScript_HTML_CSS_JavaScript_Shell_Dockerfile
MyGovBC-ServiceProviderTools,1344,2,1,32,0,0,0,0.02,master,Shell
water-quality-analysis-northeastbc,1336,3,3,59,0,0,0,0.04,master,R
hydrolook,1329,14,10,147,0,0.01,0.01,0.11,master,R_TeX
TheOrgBook,1317,314,576,2578,1,0.24,0.44,1.96,master,Python_TypeScript_HTML_Shell_SCSS_JavaScript_Dockerfile
openshift-postgresql-oracle_fdw,1316,2,9,119,0,0,0.01,0.09,master,Dockerfile_Shell_Python
NatureServe-GBPU-Ranking,1315,2,1,6,0,0,0,0,master,R
ocp-sso,1314,262,60,171,1,0.2,0.05,0.13,master,Java_JavaScript_FreeMarker_Shell_Groovy_CSS_Dockerfile
s2i-ruby-nodejs,1310,2,1,18,0,0,0,0.01,master,Shell_Makefile
jekyll-barebones,1310,2,9,20,0,0,0.01,0.02,master,CSS_Shell_JavaScript_HTML_Python_Ruby
ckanext-galileo,1310,0,1,6,0,0,0,0,master,Python
WES-NLP-tool,1308,6,1,7,0,0,0,0.01,master,Python
HectaresBC,1307,13,1,1,1,0.01,0,0,master,
bootstrap-theme,1300,9,13,156,0,0.01,0.01,0.12,master,CSS_Ruby_HTML_JavaScript_Shell
quickstart,1300,0,10,1754,0,0,0.01,1.35,11.x,JavaScript_Java_CSS_HTML_Shell_Batchfile_GLSL
roadless-areas-indicator,1298,6,4,195,0,0,0,0.15,master,R_CSS
child-support-lookup-tool,1296,2,5,8,0,0,0,0.01,master,JavaScript_CSS_HTML
bcmapsdata,1287,12,10,155,0,0.01,0.01,0.12,master,R
drat,1286,6,5,62,0,0,0,0.05,gh-pages,
fasstr,1276,54,26,726,0,0.04,0.02,0.57,master,R
openshift-solr,1273,0,8,34,0,0,0.01,0.03,master,Shell
von-connector,1273,1,4,14,0,0,0,0.01,master,Python_Shell
von-network,1268,46,96,429,1,0.04,0.08,0.34,master,Python_HTML_Shell_JavaScript_CSS_Dockerfile
s2i-nginx,1268,0,1,93,0,0,0,0.07,master,Shell_HTML_Makefile
getting_started_with_R,1266,5,1,31,0,0,0,0.02,master,
WES-results-visualization,1258,5,1,10,0,0,0,0.01,master,R
nrts-prc-public,1253,3,426,947,0,0,0.34,0.76,master,TypeScript_SCSS_HTML_JavaScript_Shell_Dockerfile
forest-management-indicators,1252,2,3,75,0,0,0,0.06,master,R
gcpe-news-api-client,1247,2,62,214,0,0,0.05,0.17,master,Shell_C#_JavaScript_Batchfile
ssdtools,1247,114,68,698,0,0.09,0.05,0.56,master,R_C++_TeX
bcgov-data-science-resources,1245,6,3,11,0,0,0,0.01,master,
Family-Protection-Order,1244,2,83,541,0,0,0.07,0.43,master,TypeScript_HTML_Python_Shell_SCSS_JavaScript_Dockerfile
greenlight,1241,76,187,835,0,0.06,0.15,0.67,master,TypeScript_Shell_HTML_Python_SCSS_JavaScript_CSS_Dockerfile
esm-admin,1240,2,14,4616,0,0,0.01,3.72,master,JavaScript_HTML_CSS_Shell_Batchfile
secure-image-android,1234,4,5,209,0,0,0,0.17,master,Kotlin_Dockerfile
secure-image-ios,1233,1,33,183,0,0,0.03,0.15,master,Swift_Shell_Ruby
jag-shuber-frontend,1233,1,227,1895,0,0,0.18,1.54,master,TypeScript_CSS_JavaScript_Shell_Groovy_HTML_Dockerfile
jag-shuber-api,1232,0,123,919,0,0,0.1,0.75,master,TypeScript_TSQL_Shell_HTML_Batchfile_Groovy_JavaScript_Dockerfile
secure-image-api,1232,1,17,285,0,0,0.01,0.23,master,JavaScript_HTML_CSS_Dockerfile_Shell
nrts-prc-api,1230,3,248,453,0,0,0.2,0.37,master,JavaScript
air-monitoring-visualization,1227,4,1,29,0,0,0,0.02,master,JavaScript_HTML_CSS
gcpe-news-media-proxy,1227,2,49,110,0,0,0.04,0.09,develop,C#_Shell_HTML
nrts-prc-admin,1226,3,396,918,0,0,0.32,0.75,master,TypeScript_SCSS_HTML_JavaScript_Shell_Dockerfile
splunk-forwarder,1225,2,1,113,0,0,0,0.09,master,JavaScript
mobile-authentication-ios,1210,6,6,19,0,0,0,0.02,master,Swift_Ruby_Objective-C
mobile-authentication-android,1210,2,1,25,0,0,0,0.02,master,Kotlin
mobile-authentication-js,1210,2,1,1,0,0,0,0,master,
bc-aquifer-dashboard,1210,30,4,178,0,0.02,0,0.15,master,JavaScript_CSS_HTML
smk-legacy-ui,1204,211,97,782,1,0.18,0.08,0.65,master,Java_JavaScript_HTML_CSS_SCSS_Groovy_Dockerfile_Shell
smk-datastore,1199,0,1,4,1,0,0,0,master,
gcpe-news-webapp,1198,2,553,891,1,0,0.46,0.74,develop,JavaScript_CSS_HTML_C#_PowerShell_Groovy_Shell_TypeScript_Batchfile
name-examination,1196,891,382,900,0,0.74,0.32,0.75,master,JavaScript_Vue_CSS_Groovy_Gherkin_HTML_Stylus_Shell
canwqdata,1191,2,2,78,0,0,0,0.07,master,R
shinyssdtools,1177,60,30,332,0,0.05,0.03,0.28,master,HTML_R_TeX_CSS
range-ios,1174,19,147,595,0,0.02,0.13,0.51,master,Swift_Ruby_Shell
range-web,1174,501,436,2636,0,0.43,0.37,2.25,dev,JavaScript_Less_SCSS_HTML_Shell_Python_Dockerfile
indy-sdk,1167,0,14,7495,0,0,0.01,6.42,master,Rust_HTML_Java_C#_Python_Objective-C++_Objective-C_C_Shell_TypeScript_JavaScript_CSS_C++_Groovy_Ruby_Dockerfile_Makefile_CMake_Swift
wqindex,1161,6,3,638,0,0.01,0,0.55,master,R_TeX
GDX-Analytics,1157,2,332,1570,1,0,0.29,1.36,master,Python_JavaScript_Shell_Raku
http-did-auth-proxy,1155,2,5,11,0,0,0,0.01,master,Java_Dockerfile_Shell
jag-efiling-hub,1154,2,25,166,0,0,0.02,0.14,master,Java_JavaScript_Shell_Dockerfile
jag-efiling-frontend,1153,2,209,887,0,0,0.18,0.77,master,JavaScript_CSS_Shell_HTML_Dockerfile
jag-efiling-api,1153,2,50,304,0,0,0.04,0.26,master,JavaScript_TSQL_HTML_Shell
jag-lcrb-carla-public,1150,3,3162,16936,1,0,2.75,14.72,develop,C#_HTML_TypeScript_Gherkin_Mustache_Python_Shell_SCSS_JavaScript_Dockerfile_CSS_Groovy_Makefile_Batchfile
gcpe-news-archive,1149,2,12,20,0,0,0.01,0.02,develop,CSS_HTML_C#_TypeScript_JavaScript_Shell
did-auth-relying-party,1143,3,4,19,0,0,0,0.02,master,Java_Dockerfile_Shell
did-auth-extension,1142,3,2,12,0,0,0,0.01,master,JavaScript_HTML
eao-inspections-web,1136,4,78,460,1,0,0.07,0.4,master,TypeScript_HTML_CSS_JavaScript_Makefile_Dockerfile
GDX-Analytics-Looker-Snowplow-Web-Block,1126,2,234,776,1,0,0.21,0.69,master,LookML
grizzly-bear-IUCN-threats,1121,2,2,31,0,0,0,0.03,master,R
clus,1112,33,121,2051,0,0.03,0.11,1.84,master,HTML_R_Python_PLpgSQL_Java_JavaScript_TeX_Dockerfile_CSS
clamav,1107,3,7,21,0,0,0.01,0.02,master,Dockerfile
workforce-profile-tool,1104,131,26,501,0,0.12,0.02,0.45,master,TypeScript_SCSS_Shell_HTML_JavaScript
mds,1099,8,1713,2286,2,0.01,1.56,2.08,develop,JavaScript_Python_Groovy_PLpgSQL_SCSS_C#_Shell_Dockerfile_Makefile_HTML_PowerShell_Mako
student-outcomes-dataviz,1098,4,2,8,0,0,0,0.01,master,R_CSS
msw-disposal-indicator,1097,16,4,127,0,0.01,0,0.12,master,R_CSS
namex-solr,1090,2,4,21,0,0,0,0.02,master,Shell_Dockerfile
bc-hydrometric-dashboard,1087,8,6,16,0,0.01,0.01,0.01,master,
Skeena-CE-Grizzly,1084,2,1,10,0,0,0,0.01,master,R
namex,1080,23,1037,2237,0,0.02,0.96,2.07,master,HTML_Python_PLSQL_Makefile_Jupyter Notebook_Groovy_JavaScript_Shell_Dockerfile_Mako
queue-management,1080,9,564,2401,0,0.01,0.52,2.22,master,Vue_Python_TypeScript_JavaScript_Groovy_Shell_CSS_HTML_Dockerfile_SCSS_Makefile_Batchfile_Mako
GDX-Analytics-Looker-cfms_block,1079,2,159,408,1,0,0.15,0.38,master,LookML
moh-fpcare,1079,0,79,533,0,0,0.07,0.49,master,TypeScript_HTML_SCSS_Shell_JavaScript_Dockerfile
intro-to-tidyhydat-and-tidyverse,1079,6,2,111,0,0.01,0,0.1,master,
field-inspection-app-ios,1076,10,31,163,0,0.01,0.03,0.15,master,Swift_Objective-C_Ruby
field-inspection-app-android,1076,2,2,2,0,0,0,0,master,Kotlin
prime-session,1072,2,3,33,0,0,0,0.03,master,HTML_Python_Shell
nbcclim,1072,4,4,110,0,0,0,0.1,master,R_CSS_JavaScript
gwa-ip-anonymity,1065,6,10,39,0,0.01,0.01,0.04,master,Lua_Shell
gwa-ui,1064,5,33,275,0,0,0.03,0.26,master,Java_TypeScript_HTML_CSS_JavaScript_Dockerfile
gwa-kong-endpoint,1063,5,8,45,0,0,0.01,0.04,master,Lua_Shell
dbc-pylib,1063,2,34,106,0,0,0.03,0.1,master,Python
argg-api,1063,9,13,41,0,0.01,0.01,0.04,master,Python_Dockerfile
argg-ui,1063,14,22,79,0,0.01,0.02,0.07,master,TypeScript_HTML_JavaScript_Dockerfile_CSS
ols-router,1062,268,46,312,1,0.25,0.04,0.29,dev,Java_CSS_Dockerfile
mwslds,1058,2,38,250,1,0,0.04,0.24,master,JavaScript_CSS_HTML
GDX-Analytics-Looker-Redshift_Admin_By_AWS,1058,2,6,25,1,0,0.01,0.02,master,LookML
devhub-signing-agent,1056,7,40,224,0,0.01,0.04,0.21,master,JavaScript_Shell
devhub-signing-api,1056,3,35,352,0,0,0.03,0.33,master,JavaScript_Shell_Dockerfile
devhub-signing-web,1056,9,56,247,0,0.01,0.05,0.23,master,JavaScript_CSS_Groovy_HTML_Dockerfile_Shell
prime-oauth,1052,2,1,8,0,0,0,0.01,master,JavaScript
sp2s3,1042,3,5,31,0,0,0,0.03,master,JavaScript_Dockerfile
kirk,1037,3,51,209,0,0,0.05,0.2,master,Python_Smarty_Dockerfile
von-bc-registries-agent,1033,75,208,886,0,0.07,0.2,0.86,master,Python_Shell_Dockerfile_CSS_Makefile_JavaScript
geometr,1030,7,5,40,0,0.01,0,0.04,master,R
SecNewsFeedReader,1029,1,2,4,0,0,0,0,master,Python_JavaScript_CSS_HTML_Tcl_PowerShell_Batchfile
env-moosetracker-android,1028,2,4,17,0,0,0,0.02,master,Java_PostScript
env-moosetracker-ios,1028,5,5,29,0,0,0,0.03,master,Objective-C_Ruby_C
servicebc,1028,2,2,1,0,0,0,0,master,
common-nodejs-utils,1027,10,18,79,0,0.01,0.02,0.08,master,JavaScript
gcpe-azure-sample,1027,2,3,74,0,0,0,0.07,master,TypeScript_C#_HTML_CSS_JavaScript
representation-grant,1010,2,39,368,0,0,0.04,0.36,master,TypeScript_HTML_JavaScript_Python_Shell_SCSS_Dockerfile
pssg-cscp-vsd,1010,2,240,1012,0,0,0.24,1,development,C#_TypeScript_HTML_SCSS_Shell_Groovy_JavaScript_Dockerfile_Batchfile
BCwebcheck,1006,1,1,3,0,0,0,0,master,Python_JavaScript_HTML_CSS_Tcl_PowerShell_Batchfile
SecNewsFeedReader-Drupal,1006,2,7,79,0,0,0.01,0.08,master,Dockerfile
moh-oauth,1003,2,1,1,0,0,0,0,master,
smk,995,62,39,868,0,0.06,0.04,0.87,master,JavaScript_HTML_CSS_Shell_Scheme
snow-dur-analysis,994,3,2,96,0,0,0,0.1,master,R
bcgov-sso-theme,989,1,5,13,0,0,0.01,0.01,master,CSS_Dockerfile
smk-bcparks,988,6,7,39,1,0.01,0.01,0.04,qa,CSS_HTML
smk-moh,987,2,86,202,1,0,0.09,0.2,qa,JavaScript_CSS_HTML
RasterLandCover,985,2,1,2,0,0,0,0,master,R
gcpe-NRMS-frontend,985,2,36,37,0,0,0.04,0.04,develop,TypeScript_HTML_CSS_Shell_JavaScript_Dockerfile
gcpe-NRMS-api,985,2,11,22,0,0,0.01,0.02,develop,C#_Shell
jag-scheduling-hub,975,2,21,53,0,0,0.02,0.05,master,Java_Shell
kq-ui,972,25,20,78,0,0.03,0.02,0.08,master,TypeScript_HTML_JavaScript_CSS_Dockerfile
kq-api,972,2,11,54,0,0,0.01,0.06,master,Python_Dockerfile
sbc-mcap,966,2,2,267,0,0,0,0.28,master,HTML_CSS_JavaScript_Shell
scj-online-booking-system,961,3,1,3,0,0,0,0,master,
ldf_drf_db_comments,960,2,4,15,0,0,0,0.02,master,Python
range-api,958,65,196,1710,0,0.07,0.2,1.78,dev,JavaScript_HTML_Makefile_Dockerfile_Shell
