Repository,Days Open,Issue Count,PR Count,Commit Count,Branch Protection Rule Count,Avg. Issue Count Per Day,Avg. PR Count Per Day,Avg. Commit Count Per Day,Default Branch Name,Languages
wqbc,2325,104,56,778,0,0.04,0.02,0.33,master,R_TeX_Rebol
BC-Policy-Framework-For-GitHub,2253,20,43,186,0,0.01,0.02,0.08,master,
bcgroundwater,2238,19,14,256,0,0.01,0.01,0.11,master,R_Makefile
groundwater-levels-indicator,2238,12,5,218,0,0.01,0,0.1,master,R_CSS_TeX
ckanext-googleanalytics,2207,0,6,105,0,0,0,0.05,master,Python_JavaScript_HTML
ckanext-hierarchy,2207,0,6,36,0,0,0,0.02,master,Python_HTML_JavaScript_CSS
ckanext-ga-report,2207,0,13,262,0,0,0.01,0.12,master,JavaScript_Python_HTML_CSS
EnvReportBC,2196,3,3,87,0,0,0,0.04,master,R
envreportutils,2196,12,18,247,0,0.01,0.01,0.11,master,R_CSS
CSB-eFile,2189,0,1,7,0,0,0,0,master,XSLT_HTML_Shell_JavaScript
ckanext-bcgov,2175,462,406,1429,3,0.21,0.19,0.66,dev,Python_HTML_JavaScript_CSS
bcmaps,2157,51,45,720,1,0.02,0.02,0.33,master,R
dbcrss,2149,5,23,192975,0,0,0.01,89.79,master,Python
bc-laws-api,2099,4,11,31,0,0,0.01,0.01,master,XSLT
rcaaqs,2079,42,12,719,0,0.02,0.01,0.35,master,R
ozone-caaqs-indicator,2079,6,10,273,0,0,0,0.13,master,R_CSS
pm25-caaqs-indicator,2079,6,9,221,0,0,0,0.11,master,R_CSS
esm-server,1996,1,527,5061,1,0,0.26,2.54,dev,JavaScript_HTML_CSS_Groovy_Shell_Dockerfile_Batchfile
datapusher,1988,0,1,236,0,0,0,0.12,master,Python
ltema,1988,2,1,6,0,0,0,0,master,JavaScript_Python_CSS
bearmon,1988,2,2,9,0,0,0,0,master,JavaScript_CSS_HTML
openconsult,1960,7,4,27,0,0,0,0.01,master,
protected-lands-and-waters-indicator,1938,4,5,187,1,0,0,0.1,main,R
BCDevExchange-app,1938,0,0,1042,0,0,0,0.54,master,JavaScript_CSS_HTML_ApacheConf_Shell
bc-population-indicator,1912,3,4,183,0,0,0,0.1,master,R
data-fp,1889,12,56,220,2,0.01,0.03,0.12,dev,JavaScript_SCSS_HTML_Dockerfile
nrs-sparx-automation,1885,2,2,5,0,0,0,0,master,JavaScript
playbook,1884,0,4,259,0,0,0,0.14,BCDev,CSS_JavaScript_HTML_Ruby
govHackServiceCatalogue,1882,0,2,3,0,0,0,0,bcv1,JavaScript
guides,1881,0,1,64,0,0,0,0.03,bcv1,Ruby_HTML_CSS
pages,1878,0,2,140,0,0,0,0.07,18f-pages,Ruby_HTML_CSS
guides-template,1877,0,2,271,0,0,0,0.14,18f-pages,HTML_Ruby_CSS
DBC-APIM,1877,106,1,450,0,0.06,0,0.24,master,JavaScript_CSS_HTML
cpf,1874,67,33,513,2,0.04,0.02,0.27,master,Java_JavaScript_HTML_Shell_CSS_Batchfile_PLSQL_PLpgSQL_VBScript
drivebc-webcam-api,1870,2,1,3,0,0,0,0,master,
databc-web-map-services,1868,4,2,6,0,0,0,0,master,
agile-guide,1864,2,3,268,0,0,0,0.14,18f-pages,Ruby_CSS
digital-toolkit,1863,16,56,424,0,0.01,0.03,0.23,master,CSS_JavaScript_HTML_Ruby_Shell_Dockerfile
eba-guide,1862,3,5,362,0,0,0,0.19,18f-pages,HTML_Ruby_CSS
bcdc-devops,1855,3,5,19,0,0,0,0.01,master,Shell_Python
data-fp-features,1854,5,22,79,0,0,0.01,0.04,master,HTML_CSS
issue-aggregator,1854,3,6,13,0,0,0,0.01,master,JavaScript
api-specs,1828,336,57,533,1,0.18,0.03,0.29,master,
