Repository,Owner,Name With Owner,Url,Homepage Url,Description,Forks,Is Fork,Is Mirror,Is Private,Is Archived,Is Template,Stars,Disk Usage,Has Issues Enabled,Has Projects Enabled,Has Wiki Enabled,Merge Commit Allowed,Rebase Merge Allowed,Squash Merge Allowed,Created At,Updated At,Pushed At
openshift-workshop,BCDevOps,BCDevOps/openshift-workshop,https://github.com/BCDevOps/openshift-workshop,,Config files exported from the Feb. 2016  RedHat OpenShift workshop,0,0,11,false,false,false,false,false,true,true,true,true,true,true,2016-02-04T22:46:45Z,2016-02-04T22:46:45Z,2016-02-05T18:06:26Z
gigles,BCDevOps,BCDevOps/gigles,https://github.com/BCDevOps/gigles,,ping-pong,0,0,7,false,false,false,false,false,true,true,true,true,true,true,2016-02-05T05:01:56Z,2020-07-30T12:32:42Z,2019-11-01T13:18:55Z
templates,BCDevOps,BCDevOps/templates,https://github.com/BCDevOps/templates,,Custom OpenShift application templates,1,1,18,false,false,false,false,false,true,true,true,true,true,true,2016-02-19T21:29:33Z,2017-05-29T14:05:39Z,2016-03-15T22:34:14Z
openshift-components,BCDevOps,BCDevOps/openshift-components,https://github.com/BCDevOps/openshift-components,, A trove of apps/components/stuff/things that are usable by anyone running OpenShift - in particular BC Gov teams "doing" Agile/DevOps.,4,24,2033,false,false,false,false,false,true,true,true,true,true,true,2016-02-23T20:04:46Z,2021-01-15T17:23:24Z,2021-04-22T23:41:28Z
issues-and-solutions,BCDevOps,BCDevOps/issues-and-solutions,https://github.com/BCDevOps/issues-and-solutions,,,6,0,1668,false,false,false,false,false,true,true,true,true,true,true,2016-03-02T00:05:18Z,2020-09-21T12:48:43Z,2016-11-16T23:00:57Z
meta-guide-docker,BCDevOps,BCDevOps/meta-guide-docker,https://github.com/BCDevOps/meta-guide-docker,,,0,0,5,false,false,false,false,false,true,true,true,true,true,true,2016-03-03T20:20:50Z,2016-03-03T20:20:50Z,2016-03-10T20:12:00Z
openopps-platform,BCDevOps,BCDevOps/openopps-platform,https://github.com/BCDevOps/openopps-platform,https://pages.18f.gov/openopps-platform/,Open Opportunities open source platform,0,0,22854,true,false,false,true,false,false,true,true,true,true,true,2016-04-16T20:56:19Z,2019-02-11T21:53:27Z,2019-02-05T06:49:30Z
illr,BCDevOps,BCDevOps/illr,https://github.com/BCDevOps/illr,,liquor on the way home,0,4,251,false,false,false,false,false,true,true,true,true,true,true,2016-06-02T17:14:46Z,2016-06-02T17:25:35Z,2016-06-02T23:14:18Z
shiftbot,BCDevOps,BCDevOps/shiftbot,https://github.com/BCDevOps/shiftbot,,A hubot for automating useful things related to OpenShift.,0,0,16,false,false,false,false,false,true,true,true,true,true,true,2016-07-15T04:07:14Z,2016-07-15T04:13:23Z,2016-07-15T04:13:22Z
openshift-tools,BCDevOps,BCDevOps/openshift-tools,https://github.com/BCDevOps/openshift-tools,,,15,17,2628,false,false,false,false,false,true,true,true,true,true,true,2016-09-12T20:18:20Z,2020-10-09T18:00:57Z,2021-03-31T11:56:07Z
openshift-jee-sample,BCDevOps,BCDevOps/openshift-jee-sample,https://github.com/BCDevOps/openshift-jee-sample,,A sample app to be deployed on openshift environments,0,0,41,true,false,false,false,false,false,true,true,true,true,true,2016-09-29T22:40:05Z,2016-09-29T22:40:06Z,2016-08-02T20:17:51Z
