Repository,Owner,Name With Owner,Url,Homepage Url,Description,Forks,Is Fork,Is Mirror,Is Private,Is Archived,Is Template,Stars,Disk Usage,Has Issues Enabled,Has Projects Enabled,Has Wiki Enabled,Merge Commit Allowed,Rebase Merge Allowed,Squash Merge Allowed,Created At,Updated At,Pushed At
jee-wildfly-test,BCDevOps,BCDevOps/jee-wildfly-test,https://github.com/BCDevOps/jee-wildfly-test,,Experiments with Wildfly,0,0,55223,false,false,false,false,false,true,true,true,true,true,true,2016-09-29T23:10:23Z,2016-10-05T20:34:02Z,2016-10-05T21:42:52Z
s2i-nginx,BCDevOps,BCDevOps/s2i-nginx,https://github.com/BCDevOps/s2i-nginx,,S2I source code for making a builder image for nginx on OpenShift,0,6,82,true,false,false,false,false,true,true,true,true,true,true,2016-09-30T17:03:00Z,2018-12-06T04:07:10Z,2020-05-15T18:54:54Z
s2i-nginx-example,BCDevOps,BCDevOps/s2i-nginx-example,https://github.com/BCDevOps/s2i-nginx-example,,Example repo of what's needed for the s2i-nginx build image,0,3,16,false,false,false,false,false,true,true,true,true,true,true,2016-10-03T16:24:51Z,2016-11-16T18:33:07Z,2016-11-16T18:33:05Z
nodejs-ex,BCDevOps,BCDevOps/nodejs-ex,https://github.com/BCDevOps/nodejs-ex,,node.js example,0,0,128,true,false,false,false,false,false,true,false,true,true,true,2016-10-15T00:05:21Z,2016-10-15T00:11:58Z,2016-10-18T04:49:33Z
s2i-nginx-npm,BCDevOps,BCDevOps/s2i-nginx-npm,https://github.com/BCDevOps/s2i-nginx-npm,,Source to Image (S2I) for web apps that build via npm and hosted on nginx static file server,0,1,64,false,false,false,false,false,true,true,true,true,true,true,2016-10-24T18:29:41Z,2016-10-24T18:32:34Z,2016-10-27T03:47:06Z
tree-model-bower,BCDevOps,BCDevOps/tree-model-bower,https://github.com/BCDevOps/tree-model-bower,,Bower Package for Tree Model JS - https://github.com/joaonuno/tree-model-js,0,0,7,false,false,false,false,false,true,true,true,true,true,true,2016-12-09T00:56:32Z,2016-12-09T01:49:15Z,2016-12-09T01:49:14Z
BCDevOps-Guide,BCDevOps,BCDevOps/BCDevOps-Guide,https://github.com/BCDevOps/BCDevOps-Guide,,,7,7,22,false,false,false,true,false,true,true,true,true,true,true,2017-02-09T21:23:27Z,2019-04-23T16:57:43Z,2019-04-23T16:57:28Z
pathfinder-jenkins,BCDevOps,BCDevOps/pathfinder-jenkins,https://github.com/BCDevOps/pathfinder-jenkins,,,0,0,6,false,false,false,false,false,true,true,true,true,true,true,2017-03-21T23:49:28Z,2017-03-21T23:49:28Z,2017-09-13T17:03:13Z
sonar-pipeline,BCDevOps,BCDevOps/sonar-pipeline,https://github.com/BCDevOps/sonar-pipeline,,,1,3,189,true,false,false,false,false,false,true,true,true,true,true,2017-05-12T23:38:41Z,2019-06-03T12:46:07Z,2017-05-16T18:06:12Z
pathfinder,BCDevOps,BCDevOps/pathfinder,https://github.com/BCDevOps/pathfinder,,Start of a basic site for pathfinder.gov.bc.ca using the BCGov 2.0 Bootstrap theme,1,2,129070,false,false,false,false,false,true,true,true,true,true,true,2017-07-06T17:58:01Z,2019-04-18T19:02:55Z,2020-09-11T06:28:25Z
s2i-caddy,BCDevOps,BCDevOps/s2i-caddy,https://github.com/BCDevOps/s2i-caddy,,,0,10,23,false,false,false,false,false,true,true,true,true,true,true,2017-07-07T18:47:49Z,2020-04-18T00:22:07Z,2020-04-18T00:22:05Z
openshift-wiki,BCDevOps,BCDevOps/openshift-wiki,https://github.com/BCDevOps/openshift-wiki,https://pathfinder-faq-ocio-pathfinder-prod.pathfinder.gov.bc.ca/,Gitbook URL of WIKI,10,11,1129,false,false,false,false,false,true,true,true,true,true,true,2017-09-09T22:00:28Z,2021-04-01T16:04:48Z,2021-04-01T16:07:14Z
exo-community,BCDevOps,BCDevOps/exo-community,https://github.com/BCDevOps/exo-community,,,0,0,51,true,false,false,false,false,false,true,true,true,true,true,2017-10-18T22:21:09Z,2017-10-18T22:21:10Z,2018-01-30T23:32:52Z
opendev-template,BCDevOps,BCDevOps/opendev-template,https://github.com/BCDevOps/opendev-template,,BC Gov Open Development Repo Template,2,5,55,false,false,false,false,true,true,true,true,true,true,true,2017-10-20T19:57:54Z,2020-07-17T23:31:53Z,2019-11-05T21:33:24Z
jenkins,BCDevOps,BCDevOps/jenkins,https://github.com/BCDevOps/jenkins,,,0,1,3218,true,false,false,true,false,false,true,false,true,true,true,2017-10-26T21:10:43Z,2018-11-29T18:21:19Z,2017-10-26T22:43:50Z
examples,BCDevOps,BCDevOps/examples,https://github.com/BCDevOps/examples,,A set of simple conceptual examples using things like Ansible and OpenShift,0,0,205,true,false,false,false,false,false,true,true,true,true,true,2017-10-27T22:51:28Z,2017-10-27T22:51:30Z,2017-08-21T19:56:31Z
openshift-templates,BCDevOps,BCDevOps/openshift-templates,https://github.com/BCDevOps/openshift-templates,,A Repository of Reusable OpenShift Templates,1,0,43,true,false,false,false,false,false,true,true,true,true,true,2017-10-27T22:56:57Z,2020-08-26T14:09:52Z,2018-11-08T23:07:49Z
openshift-developer-tools,BCDevOps,BCDevOps/openshift-developer-tools,https://github.com/BCDevOps/openshift-developer-tools,,Tools for managing OpenShift projects.,12,38,546,false,false,false,false,false,true,true,true,true,true,true,2017-11-15T23:08:20Z,2021-04-05T04:06:45Z,2021-03-12T18:37:34Z
minio-openshift,BCDevOps,BCDevOps/minio-openshift,https://github.com/BCDevOps/minio-openshift,,Minio Object Storage Server,9,11,31,false,false,false,false,false,true,true,true,true,true,true,2017-11-21T19:17:40Z,2021-03-30T09:22:57Z,2019-11-19T22:55:45Z
BDDStack,BCDevOps,BCDevOps/BDDStack,https://github.com/BCDevOps/BDDStack,,This is the Geb, Spock Test stack as deployed at BCGOV, it supports Chrome and Firefox headless testing, which can be used in OpenShift pipelines. ***Warning: Default Branch is Develop, please clone from Latest Release for use in your project, or develop if you want to contribute.,3,12,782,false,false,false,false,false,true,true,true,true,true,true,2017-11-30T01:07:26Z,2020-08-03T05:50:42Z,2020-01-16T21:58:47Z
owasp-zap-openshift,BCDevOps,BCDevOps/owasp-zap-openshift,https://github.com/BCDevOps/owasp-zap-openshift,,A Docker build for OWASP Zed Attack Proxy to be used in CI/CD pipelines,0,2,2239,true,false,false,false,false,false,true,true,true,true,true,2018-01-05T18:40:07Z,2018-01-05T18:40:08Z,2020-05-01T23:13:12Z
innovation-lab-projects,BCDevOps,BCDevOps/innovation-lab-projects,https://github.com/BCDevOps/innovation-lab-projects,,Innovation LAB Project Tracking,0,0,6,false,false,false,false,false,true,true,true,true,true,true,2018-01-13T00:12:09Z,2018-01-13T00:12:09Z,2018-01-30T03:52:44Z
sonarqube,BCDevOps,BCDevOps/sonarqube,https://github.com/BCDevOps/sonarqube,,An OpenShift-focused Docker build of Sonarqube,3,22,226,true,false,false,false,false,true,true,true,true,true,true,2018-01-17T22:43:47Z,2021-03-04T20:10:57Z,2021-03-04T20:10:53Z
OWASP-ZAP,BCDevOps,BCDevOps/OWASP-ZAP,https://github.com/BCDevOps/OWASP-ZAP,,OWASP ZAP OpenShift Config/Setup,0,0,6,false,false,false,false,false,true,true,true,true,true,true,2018-01-23T21:08:08Z,2018-01-23T21:08:08Z,2018-01-30T03:49:53Z
geb-mobile,BCDevOps,BCDevOps/geb-mobile,https://github.com/BCDevOps/geb-mobile,,A geb navigator factory for mobile support for Appium, Selendroid and IosDriver,0,1,88791,true,false,false,false,false,false,true,true,true,true,true,2018-02-01T22:41:48Z,2018-02-01T22:41:49Z,2018-04-09T20:55:00Z
jenkins-pipeline-shared-lib,BCDevOps,BCDevOps/jenkins-pipeline-shared-lib,https://github.com/BCDevOps/jenkins-pipeline-shared-lib,,Extending Jenkins with a Shared Library,16,20,184,false,false,false,false,false,true,true,true,true,true,true,2018-02-02T19:19:56Z,2021-04-13T08:21:54Z,2021-04-23T00:27:50Z
rhsso-examples,BCDevOps,BCDevOps/rhsso-examples,https://github.com/BCDevOps/rhsso-examples,,,0,0,380,false,false,false,false,false,true,true,true,true,true,true,2018-06-06T21:09:37Z,2018-06-07T20:17:22Z,2019-04-15T01:43:33Z
pathfinder-static-web-pages,BCDevOps,BCDevOps/pathfinder-static-web-pages,https://github.com/BCDevOps/pathfinder-static-web-pages,,REPO for bcgov static file store - css, etc ,0,0,9,false,false,false,false,false,true,true,true,true,true,true,2018-06-07T20:13:00Z,2018-06-07T20:51:54Z,2018-06-07T20:51:53Z
certbot,BCDevOps,BCDevOps/certbot,https://github.com/BCDevOps/certbot,,RHEL-based certbot image  + CronJob,3,5,36,false,false,false,false,false,true,true,true,true,true,true,2018-07-04T18:04:05Z,2021-03-25T21:55:33Z,2021-03-25T21:55:30Z
ocp-cd-pipeline,BCDevOps,BCDevOps/ocp-cd-pipeline,https://github.com/BCDevOps/ocp-cd-pipeline,,,4,6,49,false,false,false,false,false,true,true,true,true,true,true,2018-07-18T19:15:57Z,2019-09-23T18:55:25Z,2019-08-05T02:17:19Z
keycloak-admin,BCDevOps,BCDevOps/keycloak-admin,https://github.com/BCDevOps/keycloak-admin,,,7,2,475,false,false,false,false,false,true,true,true,true,true,true,2018-08-23T21:58:50Z,2021-04-23T16:37:44Z,2021-04-23T16:37:40Z
developer-platform,BCDevOps,BCDevOps/developer-platform,https://github.com/BCDevOps/developer-platform,,Sandbox for prototyping some automation approaches.,1,0,24,false,false,false,false,false,false,false,false,true,true,true,2018-08-28T20:57:18Z,2018-09-13T18:16:35Z,2018-09-13T18:16:32Z
open-component-stewardship,BCDevOps,BCDevOps/open-component-stewardship,https://github.com/BCDevOps/open-component-stewardship,,,0,0,6,false,false,false,false,false,true,true,true,true,true,true,2018-09-05T20:45:59Z,2018-09-05T20:50:25Z,2018-09-05T20:50:24Z
backup-container,BCDevOps,BCDevOps/backup-container,https://github.com/BCDevOps/backup-container,,A simple container for a simple backup strategy. ,16,37,489,false,false,false,false,false,true,true,true,true,true,true,2018-09-20T13:12:04Z,2021-03-17T18:06:28Z,2021-03-03T22:12:08Z
devops-platform-workshops,BCDevOps,BCDevOps/devops-platform-workshops,https://github.com/BCDevOps/devops-platform-workshops,,OCP Training Workshop Material and Labs,7,12,76001,false,false,false,false,false,true,true,true,true,true,true,2018-09-21T06:42:40Z,2021-04-15T18:47:39Z,2021-04-07T16:03:58Z
devops-platform-workshops-labs,BCDevOps,BCDevOps/devops-platform-workshops-labs,https://github.com/BCDevOps/devops-platform-workshops-labs,,,0,22,6861,false,false,false,false,false,true,true,true,true,true,true,2018-09-25T20:11:14Z,2019-05-27T12:43:13Z,2020-02-05T06:35:12Z
provision-nfs-apb,BCDevOps,BCDevOps/provision-nfs-apb,https://github.com/BCDevOps/provision-nfs-apb,,Provision NFS persistent volume and claim for use as a backup target,0,1,239,false,false,false,false,false,true,true,true,true,true,true,2018-09-25T21:49:54Z,2019-10-28T21:31:24Z,2019-10-28T21:31:27Z
platform-services,BCDevOps,BCDevOps/platform-services,https://github.com/BCDevOps/platform-services,,Collection of platform related tools and configurations,13,25,42814,false,false,false,false,false,true,true,true,true,true,true,2018-11-01T23:36:01Z,2021-04-22T18:33:22Z,2021-04-22T18:33:23Z
pipeline-cli,BCDevOps,BCDevOps/pipeline-cli,https://github.com/BCDevOps/pipeline-cli,,,2,8,454,false,false,false,false,false,true,true,true,true,true,true,2018-11-02T06:00:22Z,2021-04-05T04:06:42Z,2020-12-29T17:18:29Z
fathom-openshift,BCDevOps,BCDevOps/fathom-openshift,https://github.com/BCDevOps/fathom-openshift,,OpenShift ready deployment of Fathom Analytics,0,3,106,false,false,false,false,false,true,true,true,true,true,true,2019-02-04T23:05:32Z,2021-02-24T20:55:49Z,2021-02-24T20:55:46Z
StorageMigration,BCDevOps,BCDevOps/StorageMigration,https://github.com/BCDevOps/StorageMigration,,Legacy Gluster Migration Project,0,9,169,false,false,false,false,false,true,true,true,true,true,true,2019-02-07T17:29:53Z,2021-04-10T13:08:46Z,2021-04-10T13:08:43Z
matomo-openshift,BCDevOps,BCDevOps/matomo-openshift,https://github.com/BCDevOps/matomo-openshift,,OpenShift ready deployment of Matomo Analytics ,2,9,145,false,false,false,false,false,true,true,true,true,true,true,2019-02-09T01:43:30Z,2021-03-03T17:16:27Z,2021-03-03T19:40:06Z
go-crond,BCDevOps,BCDevOps/go-crond,https://github.com/BCDevOps/go-crond,,:alarm_clock: Cron daemon written in golang (for eg. usage in docker images),0,3,106,true,false,false,false,false,false,true,true,true,true,true,2019-02-28T15:40:24Z,2020-02-10T20:16:10Z,2020-02-10T20:18:56Z
bcdk,BCDevOps,BCDevOps/bcdk,https://github.com/BCDevOps/bcdk,,BC Developer Kit,6,15,506,false,false,false,false,false,true,true,true,true,true,true,2019-03-06T19:19:31Z,2021-03-24T16:11:03Z,2021-03-30T22:50:19Z
developer-engagement,BCDevOps,BCDevOps/developer-engagement,https://github.com/BCDevOps/developer-engagement,,Materials related to developer community engagement, surveys, feedback, etc.,1,0,2,false,false,false,false,false,true,true,true,true,true,true,2019-05-01T22:12:50Z,2019-06-06T16:02:48Z,2019-06-06T16:02:46Z
docker-weasyprint,BCDevOps,BCDevOps/docker-weasyprint,https://github.com/BCDevOps/docker-weasyprint,,,5,6,1648,true,false,false,false,false,false,true,true,true,true,true,2019-05-21T20:18:10Z,2021-03-05T15:56:42Z,2021-03-05T16:24:05Z
platform-services-status-page-notifications,BCDevOps,BCDevOps/platform-services-status-page-notifications,https://github.com/BCDevOps/platform-services-status-page-notifications,,A simple repo for the source of notification files, separating it from the code itself to keep interaction as simple as possible.,0,2,255,false,false,false,false,false,true,true,true,true,true,true,2019-06-03T02:39:46Z,2021-04-20T16:13:31Z,2021-04-20T16:13:28Z
nr-pipeline-ext,BCDevOps,BCDevOps/nr-pipeline-ext,https://github.com/BCDevOps/nr-pipeline-ext,,Natural Resource (IIT) Module/Extension for pipeline-cli,0,8,828,false,false,false,false,false,true,true,true,true,true,true,2019-07-04T20:12:53Z,2020-11-09T22:02:20Z,2021-03-31T15:07:11Z
nr-jenkins-shared-lib,BCDevOps,BCDevOps/nr-jenkins-shared-lib,https://github.com/BCDevOps/nr-jenkins-shared-lib,,Jenkins Shared Library for IIT (Natural Resource Ministries),0,0,5,false,false,false,false,false,true,true,true,true,true,true,2019-07-11T18:46:11Z,2019-07-11T18:46:14Z,2019-07-11T18:46:12Z
nr-devops-tools,BCDevOps,BCDevOps/nr-devops-tools,https://github.com/BCDevOps/nr-devops-tools,,DevOps scripts and tools used by IIT (Natural Resource Ministries),0,0,5,false,false,false,false,false,true,true,true,true,true,true,2019-07-11T18:47:09Z,2019-07-11T18:47:12Z,2019-07-11T18:47:10Z
eval-crunchydata,BCDevOps,BCDevOps/eval-crunchydata,https://github.com/BCDevOps/eval-crunchydata,,Evaluating CrunchyData's Postgres Operator,0,0,0,false,false,false,false,false,true,true,true,true,true,true,2019-09-10T17:25:24Z,2019-09-10T17:33:50Z,2019-09-10T17:33:48Z
gh-deploy,BCDevOps,BCDevOps/gh-deploy,https://github.com/BCDevOps/gh-deploy,,A nodemodule/cli tool that wraps the github deployments API,1,0,855,false,false,false,false,false,true,true,true,true,true,true,2019-09-27T17:30:19Z,2020-09-08T20:47:17Z,2021-03-31T05:22:15Z
OpenShift4-RollOut,BCDevOps,BCDevOps/OpenShift4-RollOut,https://github.com/BCDevOps/OpenShift4-RollOut,,This is the primary board for all activities related to the roll out of OpenShift 4,1,1,700,false,false,false,false,false,true,true,true,true,true,true,2019-10-25T20:51:23Z,2020-11-04T00:59:24Z,2020-11-04T00:59:21Z
OpenShift4-Migration,BCDevOps,BCDevOps/OpenShift4-Migration,https://github.com/BCDevOps/OpenShift4-Migration,,Scripts and info for Ministry teams migration from OpenShift 3.11 to 4.x,2,0,17,false,false,false,false,false,true,true,true,true,true,true,2019-10-28T17:55:34Z,2021-01-15T08:58:08Z,2021-01-05T21:32:48Z
devops-requests,BCDevOps,BCDevOps/devops-requests,https://github.com/BCDevOps/devops-requests,,This repository is used to track the DevOps requests for platform services team.,13,9,142,false,false,false,false,false,true,true,true,true,true,true,2019-11-05T17:55:33Z,2021-03-30T17:51:05Z,2021-03-30T17:51:05Z
developer-experience,BCDevOps,BCDevOps/developer-experience,https://github.com/BCDevOps/developer-experience,,This repository is used to track all work for the BCGov Platform Services Team (This includes work for: 1. Platform Experience, 2. Developer Experience 3. Platform Operations/OCP 3),4,10,705894,false,false,false,false,false,true,true,true,true,true,true,2019-11-06T22:41:22Z,2021-04-22T18:58:35Z,2021-04-22T19:40:07Z
ha-tomcat9,BCDevOps,BCDevOps/ha-tomcat9,https://github.com/BCDevOps/ha-tomcat9,,Highly Available Tomcat 9 Image,0,1,95,false,false,false,false,false,true,true,true,true,true,true,2019-11-20T18:03:50Z,2021-02-25T21:50:24Z,2021-03-25T22:48:56Z
surveyjs-vue-scaffold,BCDevOps,BCDevOps/surveyjs-vue-scaffold,https://github.com/BCDevOps/surveyjs-vue-scaffold,,SurveyJS Widgets in Vue,1,4,2413,false,false,false,false,false,true,true,true,true,true,true,2020-01-27T23:10:13Z,2020-09-07T03:43:15Z,2021-03-31T13:58:22Z
managed-ocp,BCDevOps,BCDevOps/managed-ocp,https://github.com/BCDevOps/managed-ocp,,BC Gov OpenShift Container Platform Deployment Automation,1,4,29119,false,false,false,false,false,true,true,true,true,true,true,2020-04-16T18:08:20Z,2021-02-18T18:08:41Z,2020-06-18T00:24:34Z
azure-landing-zone,BCDevOps,BCDevOps/azure-landing-zone,https://github.com/BCDevOps/azure-landing-zone,,Automation scripts and other artifacts related to BC Gov's Landing Zone in Microsoft Azure.,0,0,5,false,false,false,false,false,true,true,true,true,true,true,2020-04-22T19:16:48Z,2020-04-22T19:16:52Z,2020-04-22T19:16:50Z
gcp-landing-zone,BCDevOps,BCDevOps/gcp-landing-zone,https://github.com/BCDevOps/gcp-landing-zone,,Automation scripts and other artifacts related to BC Gov's Landing Zone in Google Compute Platform.,0,0,5,false,false,false,false,false,true,true,true,true,true,true,2020-04-22T19:18:49Z,2020-04-22T19:18:53Z,2020-04-22T19:18:51Z
nr-elasticsearch-stack,BCDevOps,BCDevOps/nr-elasticsearch-stack,https://github.com/BCDevOps/nr-elasticsearch-stack,,NR Elastic Search Stack (Kibana + Elasticsearch),2,3,34,false,false,false,false,false,true,true,true,true,true,true,2020-05-25T20:00:43Z,2021-02-05T22:41:16Z,2021-04-12T23:49:15Z
aws-saml2sts-bookmarklet,BCDevOps,BCDevOps/aws-saml2sts-bookmarklet,https://github.com/BCDevOps/aws-saml2sts-bookmarklet,,,0,2,285,false,false,false,false,false,true,true,true,true,true,true,2020-06-01T23:08:09Z,2020-06-02T23:33:26Z,2020-07-20T23:11:46Z
nrdk,BCDevOps,BCDevOps/nrdk,https://github.com/BCDevOps/nrdk,,Natural Resource Ministries Developer/Deployment Kit,2,3,822,false,false,false,false,false,true,true,true,true,true,true,2020-06-18T17:20:42Z,2021-04-14T21:41:18Z,2021-04-19T20:13:50Z
aws-login,BCDevOps,BCDevOps/aws-login,https://github.com/BCDevOps/aws-login,,AWS login facility that supports web console access as well as temporary credential generation.,1,3,99,false,false,false,false,false,true,true,true,true,true,true,2020-06-29T20:15:27Z,2021-04-20T18:22:30Z,2021-04-20T18:22:27Z
bcgov-terraform-module-template,BCDevOps,BCDevOps/bcgov-terraform-module-template,https://github.com/BCDevOps/bcgov-terraform-module-template,,A template repo for BC Gov Terraform module repos.,0,1,17,false,false,false,false,true,true,true,true,true,true,true,2020-07-17T23:32:59Z,2020-07-17T23:44:07Z,2020-07-17T23:43:49Z
terraform-aws-account-set,BCDevOps,BCDevOps/terraform-aws-account-set,https://github.com/BCDevOps/terraform-aws-account-set,,A Terraform module to automate consistent provisioning of "account sets" (project workspaces) in an AWS organization.,0,0,9,false,false,false,false,false,true,true,true,true,true,true,2020-07-17T23:46:20Z,2020-07-17T23:46:25Z,2020-07-17T23:46:23Z
terraform-aws-organization-info,BCDevOps,BCDevOps/terraform-aws-organization-info,https://github.com/BCDevOps/terraform-aws-organization-info,,A Terraform module that provides info/data about an existing AWS organization that is not available from AWS TF provider.,1,0,11,false,false,false,false,false,true,true,true,true,true,true,2020-07-22T19:36:47Z,2020-11-17T20:05:46Z,2020-10-19T19:05:52Z
terraform-octk-tf-workspace,BCDevOps,BCDevOps/terraform-octk-tf-workspace,https://github.com/BCDevOps/terraform-octk-tf-workspace,,A Terraform module for creating Terraform Cloud (or Enterprise) workspaces and related resources, ready use as part of an automated pipeline.,0,0,10,false,false,false,false,false,true,true,true,true,true,true,2020-07-23T22:22:59Z,2020-12-02T04:38:24Z,2020-12-02T04:38:22Z
terraform-octk-aws-workspace,BCDevOps,BCDevOps/terraform-octk-aws-workspace,https://github.com/BCDevOps/terraform-octk-aws-workspace,,A Terraform module that can create multi-account (environment) "workspaces" in AWS in a consistent manner.,0,0,9,false,false,false,false,false,true,true,true,true,true,true,2020-07-28T23:13:45Z,2020-07-28T23:13:50Z,2020-07-28T23:13:47Z
terraform-keycloak-role-group-simplification,BCDevOps,BCDevOps/terraform-keycloak-role-group-simplification,https://github.com/BCDevOps/terraform-keycloak-role-group-simplification,,A Terraform module to create roles, groups, and mappings based on a set of simple conventions. This is of particular use where KeyCloak is being used to control access to a system which has a large number of resources, each requiring a unique set of role definitions.  For example, access to a public cloud environment where KeyCloak is used as the SSO identity provider.,0,0,14,false,false,false,false,false,true,true,true,true,true,true,2020-08-18T20:03:00Z,2021-03-11T05:25:16Z,2021-03-11T05:25:14Z
terraform-octk-gcp-workspace,BCDevOps,BCDevOps/terraform-octk-gcp-workspace,https://github.com/BCDevOps/terraform-octk-gcp-workspace,,Example of how a workspace might be provisioned in GCP.,0,0,9,false,false,false,false,false,true,true,true,true,true,true,2020-08-28T21:58:45Z,2020-08-28T21:58:50Z,2020-08-28T21:58:48Z
terraform-gcp-project-set,BCDevOps,BCDevOps/terraform-gcp-project-set,https://github.com/BCDevOps/terraform-gcp-project-set,,A Terraform module to automate the creation of a set of related projects in GCP.,0,0,9,false,false,false,false,false,true,true,true,true,true,true,2020-08-28T22:01:52Z,2020-08-28T22:01:59Z,2020-08-28T22:01:56Z
terraform-aws-keycloak-lz-sso-setup,BCDevOps,BCDevOps/terraform-aws-keycloak-lz-sso-setup,https://github.com/BCDevOps/terraform-aws-keycloak-lz-sso-setup,,A Terraform module to bootstrap/setup the elements needed to provide KeyCloak-based single sign-on to an AWS Landing Zone.,0,0,29,false,false,false,false,false,true,true,true,true,true,true,2020-10-02T23:00:43Z,2021-03-11T05:26:16Z,2021-03-11T05:26:13Z
terraform-aws-sea-organization-info,BCDevOps,BCDevOps/terraform-aws-sea-organization-info,https://github.com/BCDevOps/terraform-aws-sea-organization-info,,A Terraform module that provides a simple way to navigate/locate accounts in a Secure Enterprise Accelerator (SEA)-based AWS organization.,0,1,11,false,false,false,false,false,true,true,true,true,true,true,2020-10-13T23:45:40Z,2021-03-05T17:32:31Z,2021-03-05T17:32:29Z
terraform-aws-sea-account-set,BCDevOps,BCDevOps/terraform-aws-sea-account-set,https://github.com/BCDevOps/terraform-aws-sea-account-set,,A Terraform module to create "account sets" in a simple, consistency manner in an AWS SEA-based landing zone.,0,0,13,false,false,false,false,false,true,true,true,true,true,true,2020-10-21T22:35:40Z,2021-03-04T04:43:15Z,2021-03-04T04:43:13Z
terraform-octk-aws-sea-workspace,BCDevOps,BCDevOps/terraform-octk-aws-sea-workspace,https://github.com/BCDevOps/terraform-octk-aws-sea-workspace,,A Terraform module to create OCTK workspace in an AWS SEA-based landing zone.,0,0,10,false,false,false,false,false,true,true,true,true,true,true,2020-10-21T22:37:47Z,2021-03-04T01:38:14Z,2021-03-04T01:42:35Z
aws-secure-environment-accelerator,BCDevOps,BCDevOps/aws-secure-environment-accelerator,https://github.com/BCDevOps/aws-secure-environment-accelerator,,The AWS Secure Environment Accelerator is a tool designed to help deploy and operate secure multi-account AWS environments on an ongoing basis. The power of the solution is the configuration file which enables the completely automated deployment of customizable architectures within AWS without changing a single line of code.,0,0,12779,true,false,false,false,false,false,true,true,true,true,true,2020-11-04T23:30:51Z,2020-11-04T23:30:53Z,2020-11-04T20:31:47Z
terraform-octk-aws-workload-automation-setup,BCDevOps,BCDevOps/terraform-octk-aws-workload-automation-setup,https://github.com/BCDevOps/terraform-octk-aws-workload-automation-setup,,,0,0,14,false,false,false,false,false,true,true,true,true,true,true,2020-11-14T05:31:38Z,2021-03-18T03:57:24Z,2021-03-18T03:57:52Z
