Repository,PackageCount,ProjectCount,ReleaseCount,SubmoduleCount,DeployKeyCount,TopicCount,License,CodeOfConduct
terraform-octk-aws-sea-workspace,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
aws-secure-environment-accelerator,0,0,0,0,0,0,Apache License 2.0,Other
terraform-octk-aws-workload-automation-setup,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
baserow,0,0,0,0,0,0,Apache License 2.0,
terraform-octk-aws-keycloak-account-set-role-setup,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
cloudops,0,0,0,0,0,0,,
terraform-octk-aws-sea-dns,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
terraform-octk-tfc-workspace-set,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
cloud-guardrails-aws,0,0,0,0,0,0,MIT License,
allure-framework-openshift,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
sig-cli,0,0,0,0,0,0,Apache License 2.0,
terraform-octk-aws-sea-network-info,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
terraform-octk-aws-workload-alb,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
platform-services-documize,0,0,0,0,0,0,Apache License 2.0,
terraform-octk-aws-sea-routing,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
terraform-octk-aws-workload-ecr,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
terraform-octk-aws-sea-rocketchat-notifications,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
terraform-aws-sea-organization-info-extended,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
terraform-octk-aws-sea-billing-reports,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
openshift-quota-rec,0,0,0,0,0,0,,
terraform-octk-aws-sea-client-vpn-setup,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant
