Repository,Days Open,Issue Count,PR Count,Commit Count,Branch Protection Rule Count,Avg. Issue Count Per Day,Avg. PR Count Per Day,Avg. Commit Count Per Day,Default Branch Name,Languages
gh-deploy,579,2,22,78,0,0,0.04,0.13,master,JavaScript_Batchfile
OpenShift4-RollOut,551,486,8,12,0,0.88,0.01,0.02,master,
OpenShift4-Migration,548,73,1,9,0,0.13,0,0.02,master,
devops-requests,540,1017,44,147,0,1.88,0.08,0.27,master,
developer-experience,539,1002,131,516,0,1.86,0.24,0.96,master,Jinja_JavaScript_Perl_TypeScript_Shell_SCSS_Makefile_HTML_Dockerfile
ha-tomcat9,525,0,9,34,0,0,0.02,0.06,release/0.0.1,JavaScript_Dockerfile_Shell
surveyjs-vue-scaffold,457,0,23,79,0,0,0.05,0.17,master,Vue_TypeScript_CSS_JavaScript_HTML
managed-ocp,377,1,33,44,0,0,0.09,0.12,master,Shell_HCL
azure-landing-zone,371,0,0,1,0,0,0,0,master,
gcp-landing-zone,371,0,0,1,0,0,0,0,master,
nr-elasticsearch-stack,338,1,9,2,0,0,0.03,0.01,master,Shell_JavaScript
aws-saml2sts-bookmarklet,331,0,2,12,0,0,0.01,0.04,master,HTML_JavaScript
nrdk,314,30,35,21,0,0.1,0.11,0.07,master,TypeScript_Groovy_Dockerfile_JavaScript_Shell
aws-login,303,0,7,24,0,0,0.02,0.08,master,HTML_JavaScript_HCL
bcgov-terraform-module-template,285,0,0,2,0,0,0,0.01,master,HCL
terraform-aws-account-set,285,0,0,1,0,0,0,0,master,HCL
terraform-aws-organization-info,280,0,0,4,0,0,0,0.01,master,HCL
terraform-octk-tf-workspace,279,0,0,2,0,0,0,0.01,master,HCL
terraform-octk-aws-workspace,274,0,0,1,0,0,0,0,master,HCL
terraform-keycloak-role-group-simplification,253,0,0,9,0,0,0,0.04,master,HCL
terraform-octk-gcp-workspace,243,0,0,1,0,0,0,0,master,HCL
terraform-gcp-project-set,243,0,0,1,0,0,0,0,master,HCL
terraform-aws-keycloak-lz-sso-setup,208,0,0,20,0,0,0,0.1,master,HCL_Shell
terraform-aws-sea-organization-info,197,0,0,7,0,0,0,0.04,master,HCL
terraform-aws-sea-account-set,189,0,0,9,0,0,0,0.05,master,HCL
terraform-octk-aws-sea-workspace,189,0,0,4,0,0,0,0.02,master,HCL
aws-secure-environment-accelerator,175,0,0,125,0,0,0,0.71,master,TypeScript_Python_PowerShell_HTML_JavaScript_Shell
terraform-octk-aws-workload-automation-setup,165,0,1,6,0,0,0.01,0.04,master,HCL
baserow,161,0,0,1,0,0,0,0.01,main,
terraform-octk-aws-keycloak-account-set-role-setup,154,0,1,8,0,0,0.01,0.05,master,HCL
cloudops,152,0,1,4,0,0,0.01,0.03,main,
terraform-octk-aws-sea-dns,152,0,0,3,0,0,0,0.02,master,HCL
terraform-octk-tfc-workspace-set,148,0,1,3,0,0,0.01,0.02,master,HCL
cloud-guardrails-aws,146,0,0,39,0,0,0,0.27,master,Shell
allure-framework-openshift,145,0,5,30,0,0,0.03,0.21,main,Shell_Dockerfile
sig-cli,139,0,0,1,0,0,0,0.01,main,
terraform-octk-aws-sea-network-info,105,0,1,11,0,0,0.01,0.1,master,HCL
terraform-octk-aws-workload-alb,105,0,1,12,0,0,0.01,0.11,master,HCL
platform-services-documize,97,12,5,4,0,0.12,0.05,0.04,main,
terraform-octk-aws-sea-routing,83,0,1,8,0,0,0.01,0.1,master,HCL
terraform-octk-aws-workload-ecr,69,0,0,3,0,0,0,0.04,master,HCL
terraform-octk-aws-sea-rocketchat-notifications,68,0,1,3,0,0,0.01,0.04,master,Python_HCL
terraform-aws-sea-organization-info-extended,44,0,0,4,0,0,0,0.09,master,HCL
terraform-octk-aws-sea-billing-reports,33,0,0,7,0,0,0,0.21,master,HCL_Python_Makefile_Shell_HTML
openshift-quota-rec,28,0,4,21,0,0,0.14,0.75,main,Python
terraform-octk-aws-sea-client-vpn-setup,19,0,0,1,0,0,0,0.05,main,HCL
