Repository,Days Open,Issue Count,PR Count,Commit Count,Branch Protection Rule Count,Avg. Issue Count Per Day,Avg. PR Count Per Day,Avg. Commit Count Per Day,Default Branch Name,Languages
openshift-workshop,1910,30,0,5,0,0.02,0,0,master,
gigles,1909,0,2,9,0,0,0,0,master,JavaScript
templates,1895,0,0,20,0,0,0,0.01,master,
openshift-components,1891,18,40,374,0,0.01,0.02,0.2,master,Python_Groovy_Dockerfile_Shell
issues-and-solutions,1883,18,0,5,0,0.01,0,0,master,
meta-guide-docker,1882,0,0,2,0,0,0,0,master,
openopps-platform,1838,0,2,2942,0,0,0,1.6,dev,JavaScript_HTML_CSS_PLpgSQL
illr,1791,1,0,68,0,0,0,0.04,master,Python_HTML
shiftbot,1748,3,0,4,0,0,0,0,master,CoffeeScript_Batchfile_Shell
openshift-tools,1689,26,91,559,0,0.02,0.05,0.33,master,Python_Shell_JavaScript_Dockerfile_Go_PHP_Ruby_TypeScript_HTML_CSS
openshift-jee-sample,1672,0,0,6,0,0,0,0,master,HTML_Java_Shell
jee-wildfly-test,1672,0,0,10,0,0,0,0.01,master,Shell
s2i-nginx,1671,0,8,103,0,0,0,0.06,master,Shell_Groovy_Dockerfile_HTML_Makefile
s2i-nginx-example,1668,0,0,28,0,0,0,0.02,master,
nodejs-ex,1656,0,0,124,0,0,0,0.07,master,HTML_JavaScript_Shell
s2i-nginx-npm,1647,0,0,89,0,0,0,0.05,master,Shell_Nginx_HTML_Makefile
tree-model-bower,1601,0,0,6,0,0,0,0,master,
BCDevOps-Guide,1539,1,1,10,0,0,0,0.01,master,
pathfinder-jenkins,1499,0,0,4,0,0,0,0,master,
sonar-pipeline,1447,0,0,16,0,0,0,0.01,master,Java
pathfinder,1392,0,7,78,0,0,0.01,0.06,master,HTML_CSS_JavaScript_Shell
s2i-caddy,1391,3,5,24,0,0,0,0.02,master,Shell_Dockerfile_Groovy_Makefile
openshift-wiki,1327,33,42,300,0,0.02,0.03,0.23,master,Shell_CSS
exo-community,1288,0,0,58,0,0,0,0.05,master,Shell
opendev-template,1286,0,7,67,0,0,0.01,0.05,master,Shell
jenkins,1280,0,0,593,0,0,0,0.46,master,Shell_Smarty_Makefile
examples,1279,0,0,53,0,0,0,0.04,master,Java_Shell_HTML_Batchfile_CSS
openshift-templates,1279,0,0,17,0,0,0,0.01,master,
openshift-developer-tools,1260,2,136,337,0,0,0.11,0.27,master,Shell
minio-openshift,1254,3,3,30,0,0,0,0.02,master,Groovy_Dockerfile_Shell
BDDStack,1245,2,8,257,0,0,0.01,0.21,develop,Groovy_Dockerfile
owasp-zap-openshift,1209,0,1,46,0,0,0,0.04,master,Python_JavaScript_Shell
innovation-lab-projects,1201,3,1,3,0,0,0,0,master,
sonarqube,1197,12,20,127,0,0.01,0.02,0.11,master,Dockerfile_Shell
OWASP-ZAP,1191,0,0,3,0,0,0,0,master,
geb-mobile,1182,0,0,91,0,0,0,0.08,master,Groovy_Gherkin_Shell
jenkins-pipeline-shared-lib,1181,2,5,62,0,0,0,0.05,master,Groovy
rhsso-examples,1057,0,5,7,0,0,0,0.01,master,JavaScript_Groovy_CSS_HTML_Shell
pathfinder-static-web-pages,1056,0,0,7,0,0,0,0.01,master,HTML
certbot,1029,6,5,36,0,0.01,0,0.03,master,Shell_Dockerfile
ocp-cd-pipeline,1015,2,5,22,0,0,0,0.02,master,Groovy_Shell
keycloak-admin,979,5,33,201,0,0.01,0.03,0.21,master,Jinja_JavaScript_Shell_Python_Dockerfile
developer-platform,974,0,2,32,0,0,0,0.03,master,
open-component-stewardship,966,0,0,3,0,0,0,0,master,
backup-container,951,20,57,309,0,0.02,0.06,0.32,master,Shell_JavaScript_Dockerfile
devops-platform-workshops,950,47,50,346,0,0.05,0.05,0.36,master,JavaScript_Shell_HTML_CSS_Dockerfile_SCSS
devops-platform-workshops-labs,946,1,13,5,0,0,0.01,0.01,master,Dockerfile_Shell
provision-nfs-apb,946,4,6,24,0,0,0.01,0.03,master,Shell_Dockerfile_Makefile
platform-services,909,470,221,564,0,0.52,0.24,0.62,master,Jinja_JavaScript_Shell_Dockerfile_Groovy_CSS_HTML_Python
pipeline-cli,908,15,12,86,0,0.02,0.01,0.09,master,JavaScript_Shell
fathom-openshift,814,1,7,55,0,0,0.01,0.07,master,Shell_Dockerfile
StorageMigration,811,46,12,76,0,0.06,0.01,0.09,master,Shell_Dockerfile
matomo-openshift,809,6,17,92,0,0.01,0.02,0.11,master,Shell_Dockerfile
go-crond,790,0,4,109,0,0,0.01,0.14,master,Go_Makefile_Dockerfile
bcdk,784,64,32,91,0,0.08,0.04,0.12,master,JavaScript_Groovy_Dockerfile_Python_Shell
developer-engagement,728,0,0,3,0,0,0,0,master,
docker-weasyprint,708,0,6,49,0,0,0.01,0.07,master,Python_Dockerfile_HTML
platform-services-status-page-notifications,695,11,127,368,0,0.02,0.18,0.53,master,
nr-pipeline-ext,664,1,106,191,0,0,0.16,0.29,release/0.0.1,JavaScript_Shell
nr-jenkins-shared-lib,657,0,0,1,0,0,0,0,master,
nr-devops-tools,657,0,0,1,0,0,0,0,master,
eval-crunchydata,596,6,0,1,0,0.01,0,0,master,
